gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCA1,22,True,True,True,True,4,True,0.27879275411294707,up
ABCA7,23,True,True,True,True,4,True,0.09826660607929205,up
ABI3,6,True,True,True,True,4,True,0.14065697038750538,up
ADAM17,12,True,True,True,True,4,True,-0.020418738212340786,down
ADAMTS1,31,True,True,True,True,4,True,0.31851977128225095,up
ANK3,46,True,True,True,True,4,True,-0.17171273864944805,down
ANKH,46,True,True,True,True,4,True,-0.1774216663235325,down
APH1B,15,True,True,True,True,4,True,0.13458969994634143,up
APP,54,True,True,True,True,4,True,-0.13260939861027662,down
BCKDK,49,True,True,True,True,4,True,-0.06396476959253686,down
BIN1,40,True,True,True,True,4,True,0.04023332287640085,up
BLNK,26,True,True,True,True,4,True,0.11376029676370059,up
CD2AP,33,True,True,True,True,4,True,0.07088585005612208,up
CLU,28,True,True,True,True,4,True,0.16396079568992838,up
COX7C,49,True,True,True,True,4,True,-0.05332239377493225,down
CR1,37,True,True,True,True,4,True,0.07084690737037824,up
CTSH,25,True,True,True,True,4,True,0.1802339953106209,up
DOC2A,47,True,True,True,True,4,True,-0.1526516518586208,down
EED,16,True,True,True,True,4,True,0.11617206982749356,up
EPDR1,18,True,True,True,True,4,True,-0.255775950485978,down
FERMT2,25,True,True,True,True,4,True,0.1809441548416769,up
FOXF1,31,True,True,True,True,4,True,0.29741096857580107,up
GRN,23,True,True,True,True,4,True,0.09700624854727291,up
HS3ST5,49,True,True,True,True,4,True,-0.08486069686419213,down
ICA1,44,True,True,True,True,4,True,-0.1610654360967429,down
IDUA,34,True,True,True,True,4,True,0.04387065776379755,up
INPP5D,9,True,True,True,True,4,True,0.05526270796578155,up
JAZF1,20,True,True,True,True,4,True,-0.07556764915079844,down
LILRB2,22,True,True,True,True,4,True,0.26848267468044357,up
MAF,28,True,True,True,True,4,True,0.11196683327922491,up
MINDY2,16,True,True,True,True,4,True,0.09072508219087701,up
MS4A4A,7,True,True,True,True,4,True,0.270354857905313,up
NCK2,49,True,True,True,True,4,True,-0.08263980265762609,down
PLCG2,24,True,True,True,True,4,True,0.1998300716578414,up
PLEKHA1,49,True,True,True,True,4,True,-0.09243143014510713,down
PRKD3,24,True,True,True,True,4,True,0.2190363641022235,up
PSEN2,49,True,True,True,True,4,True,-0.08453341895634192,down
RASGEF1C,12,True,True,True,True,4,True,0.08359955293743891,up
RBCK1,23,True,True,True,True,4,True,0.09551629798676119,up
RHOH,8,True,True,True,True,4,True,-0.003857473565786492,down
SCIMP,33,True,True,True,True,4,True,0.06742617895561552,up
SEC61G,54,True,True,True,True,4,True,-0.1282291335391015,down
SHARPIN,39,True,True,True,True,4,True,-0.0284225957706799,down
SLC24A4,26,True,True,True,True,4,True,0.09507921656042355,up
SLC2A4RG,40,True,True,True,True,4,True,0.023476910169640264,up
SORL1,53,True,True,True,True,4,True,-0.10583987736760204,down
SORT1,40,True,True,True,True,4,True,0.04497636562808322,up
SPI1,23,True,True,True,True,4,True,0.09337453103571514,up
SPPL2A,17,True,True,True,True,4,True,0.1522652525966592,up
TNIP1,33,True,True,True,True,4,True,0.08383087576579751,up
TPCN1,33,True,True,True,True,4,True,0.07595813445353071,up
TREM2,22,True,True,True,True,4,True,0.28565135053474155,up
TSPAN14,40,True,True,True,True,4,True,0.03076921028921605,up
TSPOAP1,52,True,True,True,True,4,True,-0.09458971501287479,down
UNC5CL,26,True,True,True,True,4,True,0.048432868362614206,up
WDR81,2,True,True,True,True,4,True,-0.08629731863854317,down
WNT3,1,True,True,True,True,4,True,0.014341884943431438,up
ABCA8,24,True,True,True,True,4,True,0.19732718121877904,up
AHCYL1,34,True,True,True,True,4,True,0.045784909695422836,up
AK4,25,True,True,True,True,4,True,0.17255558362595447,up
AP2A2,42,True,True,True,True,4,True,-0.006664062504633102,down
APOC1,25,True,True,True,True,4,True,0.17847173564707083,up
APOE,33,True,True,True,True,4,True,0.08594979543860809,up
ASAH1,38,True,True,True,True,4,True,-0.0035774368051285275,down
ATL3,17,True,True,True,True,4,True,0.15844991113662812,up
ATP1B1,29,True,True,True,True,4,True,-0.344045959525953,down
ATP2B1,18,True,True,True,True,4,True,-0.2619075865351404,down
ATP5PO,53,True,True,True,True,4,True,-0.10961582563005849,down
ATP6V1A,30,True,True,True,True,4,True,-0.3892983375120824,down
ATP6V1B2,30,True,True,True,True,4,True,-0.4406624957820442,down
C1QTNF4,8,True,True,True,True,4,True,-0.014426680742474662,down
C4A,9,True,True,True,True,4,True,0.20019253163168926,up
CDK18,2,True,True,True,True,4,True,-0.12935008468548084,down
CELF1,34,True,True,True,True,4,True,0.06059252491198883,up
COX6B1,54,True,True,True,True,4,True,-0.1280796416572881,down
CS,44,True,True,True,True,4,True,-0.14306115074104442,down
CSMD1,43,True,True,True,True,4,True,-0.02891819746830927,down
DAGLA,47,True,True,True,True,4,True,-0.1509193373778924,down
DAXX,15,True,True,True,True,4,True,0.13004015717825967,up
DBI,24,True,True,True,True,4,True,0.21250038067354804,up
DDB1,53,True,True,True,True,4,True,-0.10811056022285721,down
DHRS11,45,True,True,True,True,4,True,-0.1962400442379476,down
DLAT,47,True,True,True,True,4,True,-0.14546987001682346,down
DLGAP2,48,True,True,True,True,4,True,-0.2133774669521503,down
DNAJC6,45,True,True,True,True,4,True,-0.19725417527728042,down
DNM1,46,True,True,True,True,4,True,-0.1747490454838542,down
DPP6,53,True,True,True,True,4,True,-0.18284522214863216,down
ENO3,21,True,True,True,True,4,True,-0.05601385280685436,down
ERBB3,35,True,True,True,True,4,True,0.07925866493829144,up
FARSA,44,True,True,True,True,4,True,-0.14882544714398088,down
FCER1G,7,True,True,True,True,4,True,0.20820116465178087,up
FGF2,10,True,True,True,True,4,True,0.10655069299801974,up
FOXO1,14,True,True,True,True,4,True,0.23723561557362605,up
FRAT2,15,True,True,True,True,4,True,0.12607365770563023,up
GABRA2,21,True,True,True,True,4,True,-0.04846954702905465,down
GAPDH,53,True,True,True,True,4,True,-0.10342884302251494,down
GCDH,11,True,True,True,True,4,True,-0.005825067594320189,down
GRIA2,29,True,True,True,True,4,True,-0.3205024864602651,down
GSN,14,True,True,True,True,4,True,0.22843836800311354,up
HABP4,44,True,True,True,True,4,True,-0.1598279819925272,down
HOMER1,47,True,True,True,True,4,True,-0.16092158560879208,down
HPR,9,True,True,True,True,4,True,0.06420208746661316,up
HSPA2,6,True,True,True,True,4,True,0.18541048854379757,up
HSPB2,14,True,True,True,True,4,True,0.24668793848724477,up
IGFBP5,24,True,True,True,True,4,True,0.21979206949560767,up
ISYNA1,14,True,True,True,True,4,True,0.2372795253507951,up
ITGB2,31,True,True,True,True,4,True,0.31833503940131475,up
ITPK1,16,True,True,True,True,4,True,0.11496320552433255,up
KCNK4,45,True,True,True,True,4,True,-0.19826705589128948,down
KCNN3,31,True,True,True,True,4,True,0.30134689887019633,up
