gene,cluster_id,max_level_survived,mean_log2fc,direction
CLASRP,0,4,0.12367542939333036,up
MIR646HG,0,4,0.1694806145991942,up
PRPF31,0,4,0.08107885444318481,up
SPTB,0,4,0.12417516449456499,up
SULT1A3,0,4,0.1432879445431748,up
ICE1,1,4,-0.019054923345354913,down
MS4A3,1,4,0.012899556862271289,up
OSBP2,1,4,0.003048567579614888,up
PIWIL1,1,4,-0.01802366872799624,down
SLC25A19,1,4,0.015057914072059161,up
TAFA5,1,4,0.0005710563494968068,up
WNT3,1,4,0.014341884943431438,up
CDK18,2,4,-0.12935008468548084,down
HCN1,2,4,-0.11183523688148671,down
LILRA5,2,4,-0.0788090924701083,down
MLLT3,2,4,-0.054699819677838435,down
SNX18,2,4,-0.08537183115449863,down
TKFC,2,4,-0.03970466057931151,down
TMEM163,2,4,-0.08775544188691597,down
VTI1A,2,4,-0.12824118105492766,down
WDR81,2,4,-0.08629731863854317,down
ARID4B,4,4,-0.004777523206969568,down
ARIH2,4,4,-0.06283516302952681,down
CST4,4,4,-0.07902658755558549,down
PUM3,4,4,0.0060942132446254295,up
SLC14A2,4,4,0.025810430068081102,up
ABI3,6,4,0.14065697038750538,up
CD33,6,4,0.13441709074278108,up
FBXL7,6,4,0.14143401137700473,up
HSPA2,6,4,0.18541048854379757,up
LAIR1,6,4,0.17569491853458183,up
NECTIN2,6,4,0.15469221291709592,up
PRDX6,6,4,0.16711234924726015,up
PREX1,6,4,0.1420390890873405,up
STC1,6,4,0.1837835526569579,up
TENT5A,6,4,0.1548905880949901,up
FCER1G,7,4,0.20820116465178087,up
HLA-DRB1,7,4,0.2516083417545654,up
MLPH,7,4,0.23049889885073194,up
MS4A4A,7,4,0.270354857905313,up
MS4A6A,7,4,0.2504885384889844,up
TBXAS1,7,4,0.23756981332452787,up
C1QTNF4,8,4,-0.014426680742474662,down
H4C8,8,4,-0.008788891158133453,down
IMMP2L,8,4,0.013455071408355982,up
KLHL29,8,4,0.006131212840668153,up
MYO16,8,4,0.010698544934113338,up
RHOH,8,4,-0.003857473565786492,down
ARHGAP45,9,4,0.0787577397239559,up
C4A,9,4,0.20019253163168926,up
FARP1,9,4,0.06967216136918143,up
HPR,9,4,0.06420208746661316,up
INPP5D,9,4,0.05526270796578155,up
OARD1,9,4,0.027005329296676577,up
PILRA,9,4,0.030405287481535277,up
SEMA3F,9,4,0.0460975213015243,up
TRPS1,9,4,0.04024003776368009,up
TUSC1,9,4,0.09003198551372661,up
ZNF652,9,4,0.07521799455196436,up
ADAM10,10,4,0.000347074422338232,up
FGF2,10,4,0.10655069299801974,up
MTHFD1,10,4,-0.03229502667365083,down
NDUFAF6,10,4,-0.010463922884671564,down
ALCAM,11,4,0.013815673206813381,up
GCDH,11,4,-0.005825067594320189,down
TRIB1,11,4,-0.005680039206342695,down
ADAM17,12,4,-0.020418738212340786,down
MS4A6E,12,4,-0.0757704663785837,down
NKPD1,12,4,0.03926859742961892,up
RASGEF1C,12,4,0.08359955293743891,up
TMEM132C,12,4,-0.16991769456966488,down
CDCA7,13,4,0.05375333132099317,up
MACROD2,13,4,-0.062008961970533516,down
NTRK2,13,4,0.034288170366645554,up
PTPRD,13,4,-0.06775651235773499,down
FOXO1,14,4,0.23723561557362605,up
GALNT15,14,4,0.2318766995827911,up
GSN,14,4,0.22843836800311354,up
HSPB2,14,4,0.24668793848724477,up
ISYNA1,14,4,0.2372795253507951,up
MSN,14,4,0.22600843554303954,up
SMARCC1,14,4,0.23285350034212848,up
TRIOBP,14,4,0.2346816649342829,up
APH1B,15,4,0.13458969994634143,up
CYYR1,15,4,0.13402679546990917,up
DAXX,15,4,0.13004015717825967,up
EGFLAM,15,4,0.13457786528668816,up
FRAT2,15,4,0.12607365770563023,up
MAP4K4,15,4,0.13513398704638493,up
TIMP2,15,4,0.12651325639231484,up
TSHZ2,15,4,0.14427258767696718,up
ZIC5,15,4,0.13463432824688296,up
CEACAM19,16,4,0.10555613835909616,up
EED,16,4,0.11617206982749356,up
ITPK1,16,4,0.11496320552433255,up
MINDY2,16,4,0.09072508219087701,up
NME8,16,4,0.12041289589028693,up
PAK2,16,4,0.10772989390986627,up
RPS6KA2,16,4,0.11472406940060798,up
SLC22A23,16,4,0.07870317226133666,up
ZNF462,16,4,0.11346845173282845,up
ATL3,17,4,0.15844991113662812,up
MAF1,17,4,0.15062137973587,up
PLEKHG1,17,4,0.1520080879668433,up
RBMS3,17,4,0.15355454005721614,up
SPPL2A,17,4,0.1522652525966592,up
ATP2B1,18,4,-0.2619075865351404,down
EPDR1,18,4,-0.255775950485978,down
FSTL5,18,4,-0.2664787492599932,down
MAP1B,18,4,-0.2653466209306249,down
NEGR1,18,4,-0.289581438791539,down
ROBO2,18,4,-0.25600349708209963,down
SCG3,18,4,-0.24886150550970698,down
TMEM132D,18,4,-0.2593195182127817,down
ATP6V0E2,19,4,-0.21798933233726414,down
ETV1,19,4,-0.23948321376098902,down
HACL1,19,4,-0.2394510146292775,down
LINGO1,19,4,-0.21295008971468987,down
MDH2,19,4,-0.22036996278367607,down
NRXN1,19,4,-0.2325554155315387,down
RELN,19,4,-0.23437374447675943,down
BORCS5,20,4,-0.07373519024179452,down
FABP6,20,4,-0.08910173252310181,down
FAR2,20,4,-0.13293271940207677,down
JAZF1,20,4,-0.07556764915079844,down
NPY,20,4,-0.12923629363281264,down
OLFM3,20,4,-0.26177316716243687,down
PDS5B,20,4,-0.08099216456782281,down
PTPRN2,20,4,-0.1483693433827958,down
RABEP1,20,4,-0.07788667635053281,down
SYNGR4,20,4,-0.08268348908107026,down
TMEM41B,20,4,-0.07087723121384333,down
CYCS,21,4,-0.06453720057702377,down
ENO3,21,4,-0.05601385280685436,down
FOXP2,21,4,-0.04917039047555294,down
GABRA2,21,4,-0.04846954702905465,down
GABRG3,21,4,-0.05758331474149658,down
RAPGEF2,21,4,-0.06545933274365777,down
SMARCA4,21,4,-0.06556049153658129,down
YTHDC2,21,4,-0.05820745116531251,down
ABCA1,22,4,0.27879275411294707,up
BCL3,22,4,0.25987877267839754,up
CNN2,22,4,0.26620238409867064,up
LAPTM5,22,4,0.27005802298068143,up
LILRB2,22,4,0.26848267468044357,up
PHYHD1,22,4,0.2638756866821708,up
PYGL,22,4,0.2660142058739878,up
TREM2,22,4,0.28565135053474155,up
ABCA7,23,4,0.09826660607929205,up
EGFR,23,4,0.10601959598874122,up
FBP1,23,4,0.09580234557496072,up
FBXO32,23,4,0.11600403812841627,up
FLNB,23,4,0.08919906306308582,up
GRN,23,4,0.09700624854727291,up
IQGAP2,23,4,0.10649772630629507,up
NFIC,23,4,0.1113565090661643,up
RBCK1,23,4,0.09551629798676119,up
SPI1,23,4,0.09337453103571514,up
ABCA8,24,4,0.19732718121877904,up
DBI,24,4,0.21250038067354804,up
DOCK1,24,4,0.21180015993553894,up
ECHDC3,24,4,0.21746570801580267,up
IGFBP5,24,4,0.21979206949560767,up
NOTCH1,24,4,0.21403013084216718,up
PLCG2,24,4,0.1998300716578414,up
PRKD3,24,4,0.2190363641022235,up
SEPTIN10,24,4,0.20522727875420013,up
AFF1,25,4,0.19004901281740372,up
AK4,25,4,0.17255558362595447,up
APOC1,25,4,0.17847173564707083,up
CTSH,25,4,0.1802339953106209,up
FERMT2,25,4,0.1809441548416769,up
IQCK,25,4,0.17035721873474466,up
PTPN6,25,4,0.18871374304765723,up
SNX29,25,4,0.1690360517013442,up
ALDH1A2,26,4,0.08487783228982847,up
BLNK,26,4,0.11376029676370059,up
GRK5,26,4,-0.06373266575388548,down
RHPN2,26,4,0.11007250174649985,up
SLC24A4,26,4,0.09507921656042355,up
SUMF1,26,4,0.1413980010466712,up
UNC5CL,26,4,0.048432868362614206,up
CABLES1,27,4,0.08424565991402072,up
DSG2,27,4,0.1261050383084857,up
FTH1P5,27,4,0.10086232200555764,up
RORA,27,4,0.10609611446560467,up
ZNRF4,27,4,0.05006765272168278,up
CLU,28,4,0.16396079568992838,up
MAF,28,4,0.11196683327922491,up
NGFR,28,4,0.12119464650622432,up
SYK,28,4,0.13441716173247442,up
ZBTB16,28,4,0.13369201630525337,up
ATP1B1,29,4,-0.344045959525953,down
CNTNAP2,29,4,-0.3312806700675361,down
GRIA2,29,4,-0.3205024864602651,down
NRXN3,29,4,-0.32801318178246713,down
RBFOX1,29,4,-0.3201560763417432,down
SV2B,29,4,-0.3274688133846817,down
ATP6V1A,30,4,-0.3892983375120824,down
ATP6V1B2,30,4,-0.4406624957820442,down
