cluster_id,threshold_level,n_surviving,surviving_genes,direction_uniformity,dissolved
4,1,23,ADARB2|AHNAK|ANTXR1|ARMH3|CHST12|CLASRP|CYYR1|ECHDC3|GALNT15|LILRA5|NCKAP5|OSBP2|PILRA|RBMS3|SLC26A1|SMARCC1|SNX18|TENT5A|TRPS1|VTI1A|YAP1|ZNF462|ZNF652,1.0,False
4,2,23,ADARB2|AHNAK|ANTXR1|ARMH3|CHST12|CLASRP|CYYR1|ECHDC3|GALNT15|LILRA5|NCKAP5|OSBP2|PILRA|RBMS3|SLC26A1|SMARCC1|SNX18|TENT5A|TRPS1|VTI1A|YAP1|ZNF462|ZNF652,1.0,False
4,3,23,ADARB2|AHNAK|ANTXR1|ARMH3|CHST12|CLASRP|CYYR1|ECHDC3|GALNT15|LILRA5|NCKAP5|OSBP2|PILRA|RBMS3|SLC26A1|SMARCC1|SNX18|TENT5A|TRPS1|VTI1A|YAP1|ZNF462|ZNF652,1.0,False
4,4,23,ADARB2|AHNAK|ANTXR1|ARMH3|CHST12|CLASRP|CYYR1|ECHDC3|GALNT15|LILRA5|NCKAP5|OSBP2|PILRA|RBMS3|SLC26A1|SMARCC1|SNX18|TENT5A|TRPS1|VTI1A|YAP1|ZNF462|ZNF652,1.0,False
6,1,14,ATP6V0E2|CYRIA|FSTL5|IMMP2L|KLHL29|LINGO1|MTMR2|MYO16|RAD23B|RBM34|SMARCA2|TENM2|TUSC1|WDR70,1.0,False
6,2,14,ATP6V0E2|CYRIA|FSTL5|IMMP2L|KLHL29|LINGO1|MTMR2|MYO16|RAD23B|RBM34|SMARCA2|TENM2|TUSC1|WDR70,1.0,False
6,3,14,ATP6V0E2|CYRIA|FSTL5|IMMP2L|KLHL29|LINGO1|MTMR2|MYO16|RAD23B|RBM34|SMARCA2|TENM2|TUSC1|WDR70,1.0,False
6,4,14,ATP6V0E2|CYRIA|FSTL5|IMMP2L|KLHL29|LINGO1|MTMR2|MYO16|RAD23B|RBM34|SMARCA2|TENM2|TUSC1|WDR70,1.0,False
8,1,8,COX7C|ATP5PO|COX6B1|NDUFA13|NDUFS3|NDUFV1|CYCS|NDUFA10,1.0,False
8,2,8,COX7C|ATP5PO|COX6B1|NDUFA13|NDUFS3|NDUFV1|CYCS|NDUFA10,1.0,False
8,3,8,COX7C|ATP5PO|COX6B1|NDUFA13|NDUFS3|NDUFV1|CYCS|NDUFA10,1.0,False
8,4,8,COX7C|ATP5PO|COX6B1|NDUFA13|NDUFS3|NDUFV1|CYCS|NDUFA10,1.0,False
10,1,12,CLNK|MS4A4A|RHOH|SORT1|TMEM106B|WNT3|BSCL2|LAPTM5|NBAS|RABEP2|STAU1|TARDBP,1.0,False
10,2,8,CLNK|SORT1|TMEM106B|WNT3|BSCL2|LAPTM5|NBAS|TARDBP,1.0,False
10,3,11,CLNK|RHOH|SORT1|TMEM106B|WNT3|BSCL2|LAPTM5|NBAS|RABEP2|STAU1|TARDBP,1.0,False
10,4,8,CLNK|SORT1|TMEM106B|WNT3|BSCL2|LAPTM5|NBAS|TARDBP,1.0,False
11,1,22,NTRK2|PGM5|ADAM10|ADAMTS20|CDCA7|CEACAM22P|CNGB1|CTNND2|DEDD|DSG2|GNPNAT1|LRP1B|LUZP2|MAD1L1|MSR1|PDE10A|PDE4D|PIWIL1|RELB|SQSTM1|STK32B|ZNF232,0.9545454545454546,False
11,2,15,PGM5|ADAM10|ADAMTS20|CTNND2|DEDD|GNPNAT1|LUZP2|MAD1L1|MSR1|PDE10A|PDE4D|RELB|SQSTM1|STK32B|ZNF232,0.9333333333333333,False
11,3,21,NTRK2|PGM5|ADAM10|ADAMTS20|CDCA7|CNGB1|CTNND2|DEDD|DSG2|GNPNAT1|LRP1B|LUZP2|MAD1L1|MSR1|PDE10A|PDE4D|PIWIL1|RELB|SQSTM1|STK32B|ZNF232,0.9523809523809523,False
11,4,20,PGM5|ADAM10|ADAMTS20|CDCA7|CNGB1|CTNND2|DEDD|DSG2|GNPNAT1|LRP1B|LUZP2|MAD1L1|MSR1|PDE10A|PDE4D|PIWIL1|RELB|SQSTM1|STK32B|ZNF232,0.95,False
12,1,9,AGAP1|BANK1|BORCS5|CAMK1D|CDKAL1|PUM3|RAPSN|SPATS2|ZIC5,1.0,False
12,2,5,AGAP1|BORCS5|CDKAL1|PUM3|RAPSN,1.0,False
12,3,9,AGAP1|BANK1|BORCS5|CAMK1D|CDKAL1|PUM3|RAPSN|SPATS2|ZIC5,1.0,False
12,4,7,AGAP1|BORCS5|CDKAL1|PUM3|RAPSN|SPATS2|ZIC5,1.0,False
13,1,13,ATP6V1B2|C1QTNF4|DHRS11|DLGAP2|DPP6|FARSA|NRN1|OLFM3|RPH3A|SERPINI1|SV2B|TAGLN3|VGF,1.0,False
13,2,13,ATP6V1B2|C1QTNF4|DHRS11|DLGAP2|DPP6|FARSA|NRN1|OLFM3|RPH3A|SERPINI1|SV2B|TAGLN3|VGF,1.0,False
13,3,13,ATP6V1B2|C1QTNF4|DHRS11|DLGAP2|DPP6|FARSA|NRN1|OLFM3|RPH3A|SERPINI1|SV2B|TAGLN3|VGF,1.0,False
13,4,13,ATP6V1B2|C1QTNF4|DHRS11|DLGAP2|DPP6|FARSA|NRN1|OLFM3|RPH3A|SERPINI1|SV2B|TAGLN3|VGF,1.0,False
14,1,6,CS|DLAT|MDH2|PDHA1|PDHB|SLC25A11,1.0,False
14,2,6,CS|DLAT|MDH2|PDHA1|PDHB|SLC25A11,1.0,False
14,3,6,CS|DLAT|MDH2|PDHA1|PDHB|SLC25A11,1.0,False
14,4,6,CS|DLAT|MDH2|PDHA1|PDHB|SLC25A11,1.0,False
16,1,13,AKAP6|CHRM3|DACH2|FAR2|NECAB1|NPY|PTPRN2|RBFOX1|RIMBP2|SLC2A13|STMN4|TMEM132D|TMEM163,1.0,False
