hgnc_symbol,cluster_id,dataset,tissue,log2fc,pvalue,direction,discovery_direction,concordant,significant,eliminated
PDE4D,11,GSE44770,brain,-0.0977208381675501,1.2869705301454815e-12,down,down,True,True,False
CS,14,GSE44770,brain,-0.14233071703591219,4.218847493575595e-14,down,down,True,True,False
PDHA1,14,GSE44770,brain,-0.09027847657177834,0.0,down,down,True,True,False
COX6B1,8,GSE44770,brain,-0.0872503685868524,0.0,down,down,True,True,False
TMEM132D,16,GSE44770,brain,-0.2090493533080881,0.0,down,down,True,True,False
DPP6,13,GSE44770,brain,-0.026931636969130406,0.004056829179734933,down,down,True,True,False
CYYR1,4,GSE44770,brain,0.09928198519290045,1.7763568394002505e-15,up,up,True,True,False
HPR,25,GSE44770,brain,0.22253952047713563,1.2994050280212832e-11,up,up,True,True,False
MAD1L1,11,GSE44770,brain,0.018440003983091563,0.00018671940854719793,up,up,True,True,False
GSN,25,GSE44770,brain,0.19935968389300024,0.0,up,up,True,True,False
COX7C,8,GSE44770,brain,-0.06272050967738887,8.286704655802168e-13,down,down,True,True,False
ANTXR1,4,GSE44770,brain,0.011815066045667358,0.008152520984792133,up,up,True,True,False
TENT5A,4,GSE44770,brain,0.1710421712304091,0.0,up,up,True,True,False
GALNT15,4,GSE44770,brain,0.25203633927927704,0.0,up,up,True,True,False
CR1,26,GSE44770,brain,0.13190309569435876,6.316024370178752e-08,up,up,True,True,False
RPH3A,13,GSE44770,brain,-0.2511784795499271,0.0,down,down,True,True,False
ISYNA1,25,GSE44770,brain,0.14691099711743033,1.354472090042691e-14,up,up,True,True,False
PLXNB1,25,GSE44770,brain,0.22685791779513392,0.0,up,up,True,True,False
NRN1,13,GSE44770,brain,-0.3167884774593522,0.0,down,down,True,True,False
NDUFA13,8,GSE44770,brain,-0.09309774960408934,0.0,down,down,True,True,False
TRPS1,4,GSE44770,brain,0.17714161564225955,0.0,up,up,True,True,False
HSPB2,25,GSE44770,brain,0.15966047461256427,0.0,up,up,True,True,False
WDR70,6,GSE44770,brain,-0.015613845007902371,0.024587681925918314,down,down,True,True,False
GNPNAT1,11,GSE44770,brain,-0.0027074214955790897,0.6527988125592383,down,up,False,False,False
NPY,16,GSE44770,brain,-0.2593019476243534,0.0,down,down,True,True,False
FARSA,13,GSE44770,brain,-0.13047469913354826,0.0,down,down,True,True,False
TSPOAP1,24,GSE44770,brain,-0.031081742367434183,0.007286084861830799,down,down,True,True,False
CTSH,26,GSE44770,brain,0.1406438190549697,1.0733636202076013e-12,up,up,True,True,False
KLHL29,6,GSE44770,brain,-0.05417399173512165,0.0001929887562748256,down,down,True,True,False
C1QTNF4,13,GSE44770,brain,-0.24153810385594443,0.0,down,down,True,True,False
STMN4,16,GSE44770,brain,-0.042923286762314834,0.0024093725696250345,down,down,True,True,False
SMARCC1,4,GSE44770,brain,0.1153301894793384,0.0,up,up,True,True,False
NCKAP5,4,GSE44770,brain,0.10993583982991786,1.4792044034095397e-08,up,up,True,True,False
AP2A2,24,GSE44770,brain,-0.08994744930036074,4.440892098500626e-16,down,down,True,True,False
ECHDC3,4,GSE44770,brain,0.22695856487351296,0.0,up,up,True,True,False
MDH2,14,GSE44770,brain,-0.213260893582585,0.0,down,down,True,True,False
DHRS11,13,GSE44770,brain,-0.1805443472525911,0.0,down,down,True,True,False
FSTL5,6,GSE44770,brain,-0.189718664658577,0.0,down,down,True,True,False
TMEM163,16,GSE44770,brain,-0.1851039978228874,0.0,down,down,True,True,False
TSPAN14,26,GSE44770,brain,0.08295604618834138,4.2752446027805036e-10,up,up,True,True,False
ADARB2,4,GSE44770,brain,0.17685149853865995,5.614486653371387e-10,up,up,True,True,False
CYRIA,6,GSE44770,brain,-0.13315066035643564,0.0,down,down,True,True,False
LAIR1,26,GSE44770,brain,0.24880492434615092,0.0,up,up,True,True,False
NECAB1,16,GSE44770,brain,-0.07171174052122188,1.1199010696572032e-06,down,down,True,True,False
SLC12A4,25,GSE44770,brain,0.14767155744301175,0.0,up,up,True,True,False
RIMBP2,16,GSE44770,brain,-0.25128593601860466,0.0,down,down,True,True,False
ATP6V0E2,6,GSE44770,brain,-0.13431099561575716,0.0,down,down,True,True,False
NBAS,10,GSE44770,brain,,,,up,,False,False
MSN,25,GSE44770,brain,0.2641395415989715,0.0,up,up,True,True,False
PDE10A,11,GSE44770,brain,0.020481368026602186,0.008744568402130781,up,up,True,True,False
ZNF232,11,GSE44770,brain,0.0030873846339554076,0.7358280865222859,up,up,True,False,False
ATP5PO,8,GSE44770,brain,-0.059952624921528884,2.6645352591003757e-14,down,down,True,True,False
RBMS3,4,GSE44770,brain,0.035605120711343925,6.374790791907614e-06,up,up,True,True,False
SV2B,13,GSE44770,brain,-0.39082327696392666,0.0,down,down,True,True,False
NDUFS3,8,GSE44770,brain,-0.10536785860300868,0.0,down,down,True,True,False
AGAP1,12,GSE44770,brain,-0.022004358280617836,0.006320126384436131,down,up,False,True,True
BORCS5,12,GSE44770,brain,-0.11341866585262875,0.0,down,up,False,True,True
HSPA2,25,GSE44770,brain,0.17295481091280984,3.3624794060216345e-09,up,up,True,True,False
PDHB,14,GSE44770,brain,-0.15008298149404403,0.0,down,down,True,True,False
TRIOBP,25,GSE44770,brain,0.1112224934582301,0.0,up,up,True,True,False
GRN,26,GSE44770,brain,0.06382137840096708,0.0,up,up,True,True,False
PILRA,4,GSE44770,brain,0.11502155858586231,0.0,up,up,True,True,False
NDUFA10,8,GSE44770,brain,0.07864183042832909,5.753322263046812e-10,up,down,False,True,True
RELB,11,GSE44770,brain,0.009498319753572806,0.5292942817809687,up,up,True,False,False
RBFOX1,16,GSE44770,brain,-0.18968092251439098,0.0,down,down,True,True,False
LUZP2,11,GSE44770,brain,0.00225292211919563,0.7091141624713388,up,up,True,False,False
DACH2,16,GSE44770,brain,-0.15911676918596976,4.440892098500626e-16,down,down,True,True,False
CYCS,8,GSE44770,brain,-0.2031998486086039,0.0,down,down,True,True,False
ADAM10,11,GSE44770,brain,-0.04054265220331569,0.00232314039324244,down,up,False,True,True
DLGAP2,13,GSE44770,brain,-0.1260618751112902,5.062616992290714e-14,down,down,True,True,False
SLC26A1,4,GSE44770,brain,-0.014647663336464811,0.0016761843887227457,down,up,False,True,True
NSF,24,GSE44770,brain,-0.2202878843109525,0.0,down,down,True,True,False
SCARA3,25,GSE44770,brain,0.17469659141162022,0.0,up,up,True,True,False
VGF,13,GSE44770,brain,-0.5738309794467036,0.0,down,down,True,True,False
CHST12,4,GSE44770,brain,0.08660585075685778,0.0,up,up,True,True,False
AHNAK,4,GSE44770,brain,0.02029567249460434,0.006357715718216195,up,up,True,True,False
MSR1,11,GSE44770,brain,-0.024482604184258194,0.00031599739562615525,down,up,False,True,True
APOC1,25,GSE44770,brain,0.15026242219686853,4.440892098500626e-16,up,up,True,True,False
FAR2,16,GSE44770,brain,-0.2195495084346074,0.0,down,down,True,True,False
TAGLN3,13,GSE44770,brain,-0.20944557923206691,0.0,down,down,True,True,False
AKAP6,16,GSE44770,brain,-0.15053382862631054,0.0,down,down,True,True,False
SEMA3F,25,GSE44770,brain,0.179368622298795,0.0,up,up,True,True,False
ABCA8,25,GSE44770,brain,0.14724165857180138,6.881219474230704e-07,up,up,True,True,False
IMMP2L,6,GSE44770,brain,-0.09881192843243534,0.0,down,down,True,True,False
RBM34,6,GSE44770,brain,-0.010283076045598279,0.11769693964794437,down,down,True,False,False
SERPINI1,13,GSE44770,brain,-0.31138077692977206,0.0,down,down,True,True,False
LILRA5,4,GSE44770,brain,0.04829827100537264,3.301126105803576e-08,up,up,True,True,False
CPLX1,24,GSE44770,brain,-0.025989390306393433,0.09585762528628372,down,down,True,False,False
VTI1A,4,GSE44770,brain,0.08899027036959091,5.554889881409508e-12,up,up,True,True,False
MTMR2,6,GSE44770,brain,-0.029934378333064702,4.8373923868805235e-06,down,down,True,True,False
LAPTM5,10,GSE44770,brain,0.2980898597191427,0.0,up,up,True,True,False
RAPSN,12,GSE44770,brain,0.03973108346826315,6.889224492656609e-06,up,up,True,True,False
WNT3,10,GSE44770,brain,-0.04190158338405096,0.00035476029768632955,down,up,False,True,True
PRDX6,26,GSE44770,brain,0.1854992476022565,0.0,up,up,True,True,False
LINGO1,6,GSE44770,brain,-0.19401456952060786,0.0,down,down,True,True,False
ADAMTS20,11,GSE44770,brain,0.01501621432359352,0.018871061702512293,up,up,True,True,False
ZNF462,4,GSE44770,brain,0.06230842202287206,2.7039060945810434e-07,up,up,True,True,False
ZNF652,4,GSE44770,brain,0.18902255656563055,0.0,up,up,True,True,False
TUSC1,6,GSE44770,brain,-0.03677240254877581,9.023289984089189e-06,down,down,True,True,False
ARMH3,4,GSE44770,brain,0.06421109738505641,3.0510086679313986e-08,up,up,True,True,False
TMEM106B,10,GSE44770,brain,0.02593494963031698,0.03622522029865416,up,up,True,True,False
ATP6V1B2,13,GSE44770,brain,-0.34167549702218136,0.0,down,down,True,True,False
PGM5,11,GSE44770,brain,-0.03163443998144447,0.00013173171507308012,down,up,False,True,True
SLC2A13,16,GSE44770,brain,-0.18511585268876354,0.0,down,down,True,True,False
SEPTIN10,25,GSE44770,brain,0.11858615151175839,4.440892098500626e-16,up,up,True,True,False
MYO16,6,GSE44770,brain,-0.14362345690613249,0.0,down,down,True,True,False
PTPRN2,16,GSE44770,brain,-0.21135999477189346,0.0,down,down,True,True,False
RHPN2,25,GSE44770,brain,0.11655619281640955,1.0977604603112923e-07,up,up,True,True,False
CDKAL1,12,GSE44770,brain,0.08003741313440017,2.8466118351389014e-13,up,up,True,True,False
DEDD,11,GSE44770,brain,0.035666478630631666,2.1916117067810603e-05,up,up,True,True,False
CELF1,25,GSE44770,brain,0.06903772960762913,0.0,up,up,True,True,False
TENM2,6,GSE44770,brain,-0.03976051207427278,1.0081493417857246e-09,down,down,True,True,False
FRAT2,25,GSE44770,brain,0.07886258722589608,1.3091749906379846e-12,up,up,True,True,False
SYT1,24,GSE44770,brain,-0.621868417044209,0.0,down,down,True,True,False
SORT1,10,GSE44770,brain,0.1128203603397974,0.0,up,up,True,True,False
CLNK,10,GSE44770,brain,0.03606849124568269,0.012840613667450818,up,up,True,True,False
DLAT,14,GSE44770,brain,-0.1678212831529588,0.0,down,down,True,True,False
YAP1,4,GSE44770,brain,0.2047472529539489,0.0,up,up,True,True,False
SNX18,4,GSE44770,brain,0.06569596255437254,2.6776351112367536e-05,up,up,True,True,False
PYGL,26,GSE44770,brain,0.3507858121139765,0.0,up,up,True,True,False
OSBP2,4,GSE44770,brain,0.021559371901312456,0.00047631335908504546,up,up,True,True,False
OLFM3,13,GSE44770,brain,-0.39758071729019884,0.0,down,down,True,True,False
SQSTM1,11,GSE44770,brain,0.007936382386660529,0.3989299978093497,up,up,True,False,False
CTNND2,11,GSE44770,brain,-0.017574089632230408,0.020837576717143813,down,up,False,True,True
BSCL2,10,GSE44770,brain,0.0039386848392278725,0.6952960331120179,up,up,True,False,False
CLASRP,4,GSE44770,brain,0.10838734182839051,3.3275036059876584e-08,up,up,True,True,False
TARDBP,10,GSE44770,brain,0.058031978962721616,2.220446049250313e-16,up,up,True,True,False
SLC25A11,14,GSE44770,brain,-0.04048832007107146,3.481299553076411e-07,down,down,True,True,False
PHYHD1,25,GSE44770,brain,0.30698436669775114,0.0,up,up,True,True,False
PUM3,12,GSE44770,brain,0.029321605875661984,0.0024869070200446153,up,up,True,True,False
NDUFV1,8,GSE44770,brain,-0.1731342814891396,0.0,down,down,True,True,False
CHRM3,16,GSE44770,brain,-0.22497555204281372,0.0,down,down,True,True,False
PLEC,25,GSE44770,brain,0.10027405638904752,0.0,up,up,True,True,False
STK32B,11,GSE44770,brain,-0.015641590090486608,0.08944040481245263,down,up,False,False,False
RAD23B,6,GSE44770,brain,-0.04805845607506332,3.111345008299793e-07,down,down,True,True,False
SMARCA2,6,GSE44770,brain,-0.1061226609739811,0.0,down,down,True,True,False
PDE4D,11,GSE15222,brain,,,,down,,False,False
CS,14,GSE15222,brain,-0.14947889969236705,4.200937482767841e-06,down,down,True,True,False
PDHA1,14,GSE15222,brain,-0.20650741569289188,1.120126214004813e-11,down,down,True,True,False
COX6B1,8,GSE15222,brain,-0.21292533707063477,8.534928890302496e-07,down,down,True,True,False
TMEM132D,16,GSE15222,brain,-0.6438385982093493,2.248867758680717e-11,down,down,True,True,False
DPP6,13,GSE15222,brain,inf,,up,down,False,False,False
CYYR1,4,GSE15222,brain,0.2732749260278746,0.018851118016618207,up,up,True,True,False
HPR,25,GSE15222,brain,0.2694099575084614,0.07911154744939353,up,up,True,False,False
MAD1L1,11,GSE15222,brain,0.055562075192740146,0.5606934036005271,up,up,True,False,False
