gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
CLASRP,0,0.10014963502860005,0.012717107917327275,3.4022673296226973e-15,0.09895563169143776,0.011325157894494096,2.379415296968735e-18,11.434290808743475,6.742239143392335e-05,2.25821033700642,3,up
MIR646HG,0,0.073271146821908,0.025439004048218562,0.003973373842401481,0.05039510032721281,0.006463102015547034,6.321824976639174e-15,86.90477715306521,0.0012877076116996206,15.272745056554292,3,up
PRPF31,0,0.03481474478379783,0.0074502020375815745,2.9684134156945373e-06,0.03347846046457991,0.0038675354468239785,4.8742069943641515e-18,57.40002546053358,8.188091121615456e-05,4.694838486692322,3,up
SPTB,0,0.04662311656397572,0.017607614488843217,0.008099464741114315,0.037967695411640565,0.005387970775363266,1.831419171451327e-12,83.42359317247993,0.0005869141789216651,12.065340943971096,3,up
SULT1A3,0,0.05590018590169416,0.019086724054602044,0.0034033130680108234,0.044328773819749714,0.00575938315135447,1.3952480328341574e-14,82.43636331008423,0.0006873575129971353,11.387163349537449,3,up
ICE1,1,-0.04790951992659344,0.008138026333033531,3.929885427235483e-09,-0.04857645956314283,0.006755432734079607,6.444813842669588e-13,18.533965197343495,4.1615469313212486e-05,2.4550108580156187,3,down
MS4A3,1,-0.036961783474715286,0.01003296340452921,0.00022957113447488387,-0.039178325790715174,0.005847581433236749,2.0853416100128425e-11,46.992739476170534,0.00013117417942736076,3.7730680292389343,3,down
OSBP2,1,0.023869556265885827,0.003523766784385253,1.253778771805927e-11,0.023869556265885827,0.003523766784385253,1.253778771805927e-11,0.0,0.0,0.9627554237639747,3,up
PIWIL1,1,-0.06923408664195321,0.020818288728333793,0.0008821650138705539,-0.07600950838781421,0.010658643907931468,9.945781286536201e-13,57.788621429967066,0.0006678361930662149,4.738058949393937,3,down
TAFA5,1,-0.03415944410201733,0.004785688097824167,9.481348091091876e-13,-0.03415944410201733,0.004785688097824167,9.481348091091876e-13,0.0,0.0,1.689827961085293,3,down
WNT3,1,-0.03684595034538006,0.01703136830727373,0.030509127455205613,-0.045534052851577425,0.006997276916951873,7.646457784921692e-11,70.8710210094709,0.0005061802067264633,6.866014770549538,3,down
HCN1,2,-0.1360773364228378,0.08292091818447232,0.10078712757671404,-0.2679806948848472,0.013770665348298178,2.3858274140786082e-84,96.23366275857896,0.018883493840535732,53.10198932810918,3,down
MLLT3,2,0.02477948656292192,0.02642943640739573,0.34846465902265533,0.05997135052280349,0.005645839813826013,2.349079633731236e-26,91.71830133046942,0.0014888952327987382,24.149634994065337,3,up
SNX18,2,-0.010560847201009648,0.04688038557832754,0.8217675316079405,0.0691483510565216,0.00910019513086121,2.9945104765024305e-14,93.4902102827337,0.005144959472696103,30.7229586033368,3,down
TKFC,2,-0.09931595193919583,0.027415852272871393,0.0002916860477553108,-0.13279934171262084,0.006738138248285229,1.818933816212689e-86,89.15782329699799,0.001614953211756151,18.44648039582528,3,down
TMEM163,2,-0.13203402823402802,0.04577345001536344,0.003920218409909985,-0.20108741913642209,0.009953994021873363,9.461949759501567e-91,92.72026117374622,0.005071385019360048,27.473513098947503,3,down
CST4,4,-0.025232689303146493,0.04067541717879319,0.5350323308422045,0.02563780912085862,0.01073086283948855,0.016886685559503397,89.16109383156169,0.0037459150952148124,18.452046441953502,3,down
PUM3,4,0.028699747639618245,0.00613204669628883,2.8647150532243885e-06,0.028699747639618245,0.00613204669628883,2.8647150532243885e-06,0.0,0.0,1.8313059127433182,3,up
SLC14A2,4,-0.01769253247549653,0.0074617057897018255,0.017734705388832536,-0.018626111515184247,0.003693655116816686,4.589326796589761e-07,59.38678015169353,8.420476590841618e-05,4.924504896361715,3,down
ABI3,6,0.12949120249800222,0.007651928885637108,3.0613583876729466e-64,0.12949120249800222,0.007651928885637108,3.0613583876729466e-64,0.0,0.0,0.13519576656311294,3,up
FBXL7,6,0.18924617783933023,0.025175370752486683,5.599780617646079e-14,0.20479507583930634,0.00983609604546791,2.8065012222095002e-96,74.85293445877151,0.001195983072515042,7.9532142496746205,3,up
HSPA2,6,0.17173330665613085,0.017583436922011086,1.563643242311967e-22,0.17173330665613085,0.017583436922011086,1.563643242311967e-22,0.0,0.0,0.16601885475441427,3,up
