gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
A1BG,2,2,0.5506689351411502,True
A1CF,2,2,-0.10900450485464175,False
A2M,3,2,-0.6571454408851208,True
AADAC,2,2,-1.6871315438559216,True
AAGAB,3,2,0.36426402578130634,True
AAMDC,3,3,-0.8834398020140778,True
ABAT,3,3,0.5549125233401941,False
ABCA1,3,3,-1.0828161531540401,True
ABCA3,3,2,0.5525280321354774,True
ABCA5,3,3,-1.1560355215277092,True
ABCA6,3,3,-2.1026807641758625,True
ABCA8,3,3,-4.020674155051119,True
ABCA9,2,2,-2.353531690015876,True
ABCB6,3,2,-0.2790149081685381,True
ABCC5,3,2,0.8280139775434332,True
ABCD2,2,2,-1.2329795669415988,True
ABCD3,3,3,0.4687242228053812,True
ABCE1,3,2,0.20841325636472163,True
ABCF3,3,2,0.046452259091028715,True
ABHD11,3,2,0.8097943604392585,True
ABHD12,2,2,0.7170692307482827,True
ABHD14A,3,3,-0.7378849460326146,True
ABHD14B,2,2,-1.0425613769060345,True
ABHD15,2,2,-1.4223309956359782,True
ABHD16A,2,2,0.6135004387514744,True
ABHD17C,2,2,1.1401795453095653,True
ABHD2,3,2,0.4932452617908047,True
ABHD4,3,2,-0.2834629977644454,True
ABHD5,3,3,-1.0586116037582916,True
ABHD6,3,2,-0.9621430186042277,True
ABI3BP,3,2,-1.4678430225954848,True
ABITRAM,3,2,-0.08209876432031245,False
ABL2,3,2,0.18157097742125336,True
ABLIM1,3,3,-1.0813347116123193,True
ABLIM3,3,3,-1.2338792552933684,True
ABRACL,2,2,1.433605493532792,True
ABRAXAS1,2,2,-0.5691519748415717,True
ACAA2,3,3,-1.8455752000583578,True
ACACB,3,3,-3.36152700525637,True
ACAD9,2,2,-0.4586163860788939,True
ACADL,3,3,-2.6482148403390524,True
ACADM,3,2,-0.9165192855018187,True
ACADS,3,3,-0.9327416943171105,True
ACADVL,3,3,-0.6657362045618443,True
ACAP2,3,2,-0.30923384743768817,True
ACAT1,3,3,-1.5045615220499304,True
ACBD3,3,2,0.4045292941484604,True
ACBD6,2,2,0.484524192952426,True
ACER3,2,2,-1.041863331960951,True
ACKR1,3,2,-1.5154383182516495,True
ACKR3,3,3,-1.7279799843879073,True
ACKR4,2,2,-1.5535302169124456,True
ACLY,3,2,0.3095005529470291,True
ACO1,3,3,-1.9797102025746993,True
ACO2,3,3,-0.7923265863818809,True
ACOT1,3,3,-1.9295425167890305,True
ACOT7,3,2,0.6834199071625416,True
ACOT8,3,2,0.3470692662755151,True
ACOT9,3,2,-0.31833526656194283,True
ACOX1,3,3,-0.7619867014595144,True
ACP5,3,3,0.69701904206857,True
ACSF2,3,2,-0.48277458561915115,True
ACSL1,3,3,-2.576716976886822,True
ACSL5,3,2,-0.6630907192933094,True
ACSM5,3,3,-2.0223043612255185,True
ACSS2,2,2,-1.9489457486288422,True
ACSS3,3,3,-1.5753715974795188,True
ACTG1,3,2,0.3718242002528053,True
ACTL6A,3,2,0.6550967245381726,True
ACTR3,3,3,0.5622843062413049,True
ACTR5,3,2,0.4223344760221286,True
ACTR8,3,2,-0.13972576016221852,False
ACVR1C,2,2,-4.612349440078212,True
ACVR2A,3,2,-0.41789793307713613,True
ACVRL1,3,2,-0.7364396336022322,True
ACYP1,3,2,0.5313005919425006,True
ADAM10,3,3,0.3353800885288318,True
ADAM12,3,2,0.6586827513422501,True
ADAM15,3,2,0.2271038091219113,True
ADAM17,3,2,0.39044619988181556,True
ADAM28,3,2,0.5569484059494832,True
ADAM8,3,2,0.7717333292152367,True
ADAMTS1,3,3,-1.8650016653915304,True
ADAMTS5,3,3,-2.3144875207492044,True
ADAMTS9,3,2,-0.9786855589980833,True
ADAP1,3,3,0.11687963392995233,False
ADAR,3,3,0.8057764313401403,True
ADAT3,2,2,0.5738621751090571,True
ADCK2,3,2,0.4354784887869636,True
ADCY1,2,2,0.33905587481968613,False
ADCY3,3,2,-0.320904878173244,True
ADCY4,2,2,-0.918817583547797,True
ADCY6,3,3,-0.7542847048209737,True
ADD1,3,3,-0.515047868798351,True
ADD3,3,3,-1.1162156693854601,True
ADGRA2,3,2,-1.0355647368021217,True
ADGRA3,3,2,-0.6024924638364176,True
ADGRE5,3,2,-0.352668681797204,True
ADGRF5,3,3,-1.5966684449299404,True
ADGRG2,2,2,-0.6589541660056406,True
ADGRL2,3,2,-1.0147692605406913,True
ADGRL4,3,3,-1.4337435850336828,True
ADH1A,2,2,-0.7925712544984513,True
ADH1B,3,3,-4.370431727706522,True
ADH1C,3,3,-2.8481232435702757,True
ADH5,3,3,-0.8971285066660221,True
ADHFE1,2,2,-1.9268234061606289,True
ADI1,3,2,-0.6296260208612576,True
ADIPOQ,3,3,-4.115309935893408,True
ADIPOR2,3,3,-0.7214915322757361,True
ADIRF,3,3,-2.85590377159586,True
ADISSP,3,2,-0.2081989251089643,True
ADK,3,2,-0.6937055856188236,True
ADM,3,3,-2.1744314970360503,True
ADM2,3,2,-0.06943799376013349,False
ADM5,2,2,-0.03652587912777716,False
ADNP,3,3,0.7118774567252482,True
ADPGK,3,2,0.29858221514995115,True
ADPRH,2,2,-0.342046473085599,True
ADPRS,2,2,0.6466374495328142,True
ADRA2A,3,3,-1.9800754423056572,True
ADRB1,3,2,-2.5515054541209374,True
ADRB2,3,2,-1.613401429853866,True
ADRM1,3,2,0.02865908375325521,False
ADSS1,2,2,-1.3365779395755375,True
ADSS2,3,3,0.8004486347522001,True
AEN,3,2,0.3293937424156225,True
AFAP1L1,2,2,-2.3827713593058295,True
AFDN,3,2,0.1703648178681855,False
AFF1,3,3,-0.49659600201914483,True
AFG3L2,3,2,0.20473959251580057,True
AFTPH,3,2,0.5443787180868114,True
AGA,3,2,0.13637499353585683,True
AGAP3,2,2,0.17493191680031916,False
AGFG1,3,2,-0.3526441142854238,True
AGO2,3,2,-0.08796834156139462,False
AGO3,3,3,0.04026264328696586,False
AGPAT2,3,3,-1.8915064993372008,True
AGPAT5,3,2,0.7434116905552397,True
AGPS,3,2,-0.8371654934945928,True
AGR2,3,3,2.986207423380885,True
AGR3,2,2,2.5580706590803097,True
AGRN,3,2,0.9134268750933398,True
AGTPBP1,3,2,-0.6125045056932423,True
AGTR1,3,3,-1.9431183000014018,True
AGTRAP,2,2,0.7539913335995667,True
AHCY,3,3,0.9222102809736885,True
AHI1,3,2,0.07189033268592422,False
AHNAK,3,2,-0.7869724573413149,True
AHSA1,3,2,0.2720911874706813,True
AIDA,3,2,-0.4720490296635713,True
AIFM2,2,2,-2.2771993392161054,True
AIG1,2,2,-0.8003333899795821,True
AIMP2,3,2,0.2550007844145039,True
AK2,3,2,-0.08818072805869726,False
AK3,2,2,-1.2313477433793736,True
AK5,3,2,-0.11865578609449123,False
AK6,3,3,-0.10609742492688252,False
AKAP1,3,2,-0.397329571590013,True
