gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
A1BG,50,True,True,True,True,4,True,0.5506689351411502,up
A2M,75,True,True,True,True,4,True,-0.6571454408851208,down
AADAC,56,True,True,True,True,4,True,-1.6871315438559216,down
AAGAB,37,True,True,True,True,4,True,0.36426402578130634,up
AAMDC,341,True,True,True,True,4,True,-0.8834398020140778,down
ABAT,258,True,True,True,True,4,True,0.5549125233401941,up
ABCA1,415,True,True,True,True,4,True,-1.0828161531540401,down
ABCA5,262,True,True,True,True,4,True,-1.1560355215277092,down
ABCA6,78,True,True,True,True,4,True,-2.1026807641758625,down
ABCA8,79,True,True,True,True,4,True,-4.020674155051119,down
ABCA9,122,True,True,True,True,4,True,-2.353531690015876,down
ABCC5,88,True,True,True,True,4,True,0.8280139775434332,up
ABCD2,1,True,True,True,True,4,True,-1.2329795669415988,down
ABCD3,0,True,True,True,True,4,True,0.4687242228053812,up
ABHD11,42,True,True,True,True,4,True,0.8097943604392585,up
ABHD12,25,True,True,True,True,4,True,0.7170692307482827,up
ABHD14A,64,True,True,True,True,4,True,-0.7378849460326146,down
ABHD14B,270,True,True,True,True,4,True,-1.0425613769060345,down
ABHD15,349,True,True,True,True,4,True,-1.4223309956359782,down
ABHD16A,276,True,True,True,True,4,True,0.6135004387514744,up
ABHD17C,20,True,True,True,True,4,True,1.1401795453095653,up
ABHD4,170,True,True,True,True,4,True,-0.2834629977644454,down
ABHD5,380,True,True,True,True,4,True,-1.0586116037582916,down
ABHD6,216,True,True,True,True,4,True,-0.9621430186042277,down
ABI3BP,67,True,True,True,True,4,True,-1.4678430225954848,down
ABITRAM,356,True,True,True,True,4,True,-0.08209876432031245,down
ABLIM1,152,True,True,True,True,4,True,-1.0813347116123193,down
ABLIM3,347,True,True,True,True,4,True,-1.2338792552933684,down
ABRACL,225,True,True,True,True,4,True,1.433605493532792,up
ACAA2,205,True,True,True,True,4,True,-1.8455752000583578,down
ACACB,82,True,True,True,True,4,True,-3.36152700525637,down
ACAD9,222,True,True,True,True,4,True,-0.4586163860788939,down
ACADL,208,True,True,True,True,4,True,-2.6482148403390524,down
ACADM,184,True,True,True,True,4,True,-0.9165192855018187,down
ACADS,394,True,True,True,True,4,True,-0.9327416943171105,down
ACADVL,446,True,True,True,True,4,True,-0.6657362045618443,down
ACAT1,185,True,True,True,True,4,True,-1.5045615220499304,down
ACBD3,237,True,True,True,True,4,True,0.4045292941484604,up
ACBD6,351,True,True,True,True,4,True,0.484524192952426,up
ACER3,362,True,True,True,True,4,True,-1.041863331960951,down
ACKR1,363,True,True,True,True,4,True,-1.5154383182516495,down
ACKR3,205,True,True,True,True,4,True,-1.7279799843879073,down
ACLY,22,True,True,True,True,4,True,0.3095005529470291,up
ACO1,288,True,True,True,True,4,True,-1.9797102025746993,down
ACOT1,203,True,True,True,True,4,True,-1.9295425167890305,down
ACOT7,9,True,True,True,True,4,True,0.6834199071625416,up
ACSL1,207,True,True,True,True,4,True,-2.576716976886822,down
ACSL5,222,True,True,True,True,4,True,-0.6630907192933094,down
ACSM5,289,True,True,True,True,4,True,-2.0223043612255185,down
ACSS2,44,True,True,True,True,4,True,-1.9489457486288422,down
ACSS3,115,True,True,True,True,4,True,-1.5753715974795188,down
ACTG1,46,True,True,True,True,4,True,0.3718242002528053,up
ACTL6A,137,True,True,True,True,4,True,0.6550967245381726,up
