gene,cluster_id,max_level_survived,mean_log2fc,direction
ABCD3,0,4,0.4687242228053812,up
ADAM10,0,4,0.3353800885288318,up
APRT,0,4,0.44846886143931286,up
BCL10,0,4,0.46762532429629317,up
CHORDC1,0,4,0.4791546844386092,up
DDX21,0,4,0.3573111132818448,up
LRRFIP1,0,4,0.4287243002607628,up
PCNX4,0,4,0.5748102925441172,up
ABCD2,1,4,-1.2329795669415988,down
CHCHD10,1,4,-1.24593686015873,down
FMNL2,1,4,-1.1023949413754952,down
HACL1,1,4,-1.1246479878448747,down
SLC25A33,1,4,-1.3385876005951531,down
ZNF521,1,4,-1.1870597579539455,down
ALDH5A1,2,4,-0.8264682468899404,down
CALCRL,2,4,-0.9094918405912651,down
CALM1,2,4,-0.9063311479607016,down
EPB42,2,4,-1.0114740165622302,down
NHLRC3,2,4,-0.8384896476158477,down
OSR2,2,4,-0.9937609826560175,down
RASSF9,2,4,-1.1042404897418503,down
RNF145,2,4,-1.0082339722098812,down
SPATA7,2,4,-0.8190609402800354,down
SRPX2,2,4,-0.9603126947196484,down
ADGRE5,3,4,-0.352668681797204,down
MANEA,3,4,-0.4040540196681146,down
MIER2,3,4,-0.23372522307864774,down
TACO1,3,4,-0.10818660104608509,down
ZSWIM1,3,4,-0.11557087342917456,down
F2R,4,4,0.3870254599255685,up
HAT1,4,4,0.23257617611058437,up
PSEN2,4,4,0.19092536703199267,up
ADK,5,4,-0.6937055856188236,down
AGTPBP1,5,4,-0.6125045056932423,down
CDC26,5,4,-0.6978886692336248,down
COL5A3,5,4,-0.7509051678560258,down
DPH3,5,4,-0.7375690541531208,down
EML3,5,4,-0.5552068110844411,down
IDH3A,5,4,-0.7733716666744339,down
KCTD9,5,4,-0.7314694060144941,down
KLF10,5,4,-0.613568033180222,down
NMRK1,5,4,-0.705838341677483,down
ROBO1,5,4,-0.757310492983207,down
STAMBPL1,5,4,-0.6582215589528886,down
WTIP,5,4,-0.7122227391170877,down
ARRDC1,7,4,1.4534702641101527,up
BIK,7,4,1.4891312963907355,up
C9orf152,7,4,1.4990923804513494,up
GINS2,7,4,1.3389763821132463,up
KIF20A,7,4,1.4387555283744369,up
LRATD2,7,4,1.6849669285994082,up
PLPP5,7,4,1.6743671237411082,up
RAB3IP,7,4,1.4147710245260572,up
SLC39A11,7,4,1.474362027882885,up
SLC7A5,7,4,1.453265154487119,up
TMEM87B,7,4,1.3256004262939336,up
VMP1,7,4,1.8084281366571062,up
GRP,8,4,1.1306543412682548,up
KNOP1,8,4,1.044433887010374,up
MICALL2,8,4,1.1046308567487735,up
RGS1,8,4,1.0935786771556508,up
SULF1,8,4,1.203615450790035,up
TYMP,8,4,1.0893966557399999,up
ACOT7,9,4,0.6834199071625416,up
ATAD2B,9,4,0.6547174457407611,up
ATAD3A,9,4,0.6176610854452886,up
COMTD1,9,4,0.6860200220471446,up
DPCD,9,4,0.7723672449555616,up
KIFC1,9,4,0.644196019503401,up
KRAS,9,4,0.5877695203674227,up
PIP4K2C,9,4,0.7375554741561524,up
SLC25A15,9,4,0.7067152687903938,up
SSR2,9,4,0.6111230330574381,up
ATG4B,10,4,0.3447177580758754,up
CNIH4,10,4,0.48142321498005103,up
DEDD2,10,4,0.6116186338230714,up
EFR3A,10,4,0.5234281946645775,up
HM13,10,4,0.6023565602777632,up
