gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
ABCD3,0,0.47189191976447775,0.1014415683767714,3.2895524439380206e-06,0.47189191976447775,0.1014415683767714,3.2895524439380206e-06,0.0,0.0,0.04007671217858073,3,up
ADAM10,0,0.3271367094581891,0.07004259229882788,3.0040938583414514e-06,0.3271367094581891,0.07004259229882788,3.0040938583414514e-06,0.0,0.0,0.4225568099965965,3,up
BCL10,0,0.40870331742692695,0.08465340627066135,1.379383153560147e-06,0.40870331742692695,0.08465340627066135,1.379383153560147e-06,0.0,0.0,1.0657763919967773,3,up
CHORDC1,0,0.4735450596048346,0.09628636865937899,8.739258103881383e-07,0.4735450596048346,0.09628636865937899,8.739258103881383e-07,0.0,0.0,0.38102313714543745,3,up
DDX21,0,0.2940306731056842,0.08222740736868546,0.00034912751566869196,0.2808835103055135,0.06378638929523286,1.0651716694494467e-05,32.19209543533409,0.006681093886804694,2.9495086344876995,3,up
LRRFIP1,0,0.3277670104950071,0.10353575972567954,0.0015469045891743126,0.29178169573434387,0.06708074239105456,1.363184294148583e-05,43.00380683630005,0.01397989957429996,3.5090062844298364,3,up
PCNX4,0,0.4922547981169859,0.10952774326374426,6.978640911615854e-06,0.48349509672289365,0.1016295462010087,1.960766093809243e-06,9.686522201635281,0.003926393266067065,2.2145088958540953,3,up
ABCD2,1,-1.1924543286737561,0.5784808291139816,0.039269188062226186,-0.9077345709332728,0.16946932953468308,8.492679009557317e-08,87.5400886208237,0.5887637599549378,8.025739265459427,2,down
CHCHD10,1,-1.2028896324318408,0.5141175400768587,0.019298348478244787,-0.9652135876564367,0.16950279696830076,1.2381996224367649e-08,84.66560063112065,0.45070870401986063,6.521285744190715,2,down
HACL1,1,-1.0829544754148883,0.495846061583404,0.02895829491997463,-0.8062911697575099,0.1383967830841225,5.679247260311542e-09,86.90352772072724,0.4303491644927842,7.635644001496939,2,down
SLC25A33,1,-1.2876366652564655,0.601153246040807,0.032197978326575116,-0.9711261246475714,0.17817370632492033,5.02437212219532e-08,86.13434640806928,0.6270256950225266,7.212065362587461,2,down
ZNF521,1,-1.1830597941773362,0.20952148452348607,1.637620161246044e-08,-1.1830597941773362,0.20952148452348607,1.637620161246044e-08,0.0,0.0,0.010393081797629811,2,down
ALDH5A1,2,-0.7909422484090294,0.43155491904368726,0.0668363205651268,-0.585088930436831,0.13091554483942658,7.850939198704768e-06,89.77330257510918,0.4940060055968127,19.55665565241216,3,down
CALCRL,2,-0.835633311492503,0.41211340537786256,0.04259311600063972,-0.48842991798736773,0.11833500006558094,3.666987229814654e-05,89.93885851732409,0.4452864477668106,19.878460147327857,3,down
EPB42,2,-0.9792198600034109,0.6747237071297674,0.14669908711216764,-0.480727173026744,0.10300812993175848,3.057992630313298e-06,93.92287359752089,0.857125889923452,16.45514563580674,2,down
NHLRC3,2,-0.7802607544200337,0.24086076925747857,0.0011975290323844087,-0.6873692729900591,0.12190359429061252,1.714083174887347e-08,61.46853570208316,0.0754889114306943,2.5952815918653367,2,down
