gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
A1CF,2,2,-0.10900450485464175,False
ABCA1,3,3,-1.0828161531540401,True
ABRAXAS1,2,2,-0.5691519748415717,True
ACBD6,2,2,0.484524192952426,True
ADCY3,3,2,-0.320904878173244,True
AKAP12,3,3,-2.839935116740429,True
AKAP9,3,3,0.5436181214634143,True
AKT1,3,3,0.49252835178801124,True
ALCAM,3,3,1.592902945776012,True
AMFR,3,2,0.2645213147851493,True
ANKRD30A,2,2,2.5890652923278332,True
ANKRD35,2,2,-1.8767703291915678,True
AP4B1,2,2,0.008374568361314338,False
APC,3,2,-0.43485821396687907,True
ARRDC3,2,2,-1.0742522821725236,True
ASXL1,3,2,-0.04558386323406113,False
ATAD5,2,2,-0.06973221640533467,False
ATF7IP,3,2,0.11695022503390422,False
ATG10,2,2,-0.4067315492682333,True
AURKA,3,2,1.9178240669113444,True
BANP,3,2,0.47010795592881954,True
BARD1,3,2,1.2287450611758957,True
BCAR1,2,2,0.3204138143311188,True
BCKDHB,3,2,-0.7146953453974018,True
BCL2,3,3,-0.8666519351399072,True
BCL2L1,3,2,0.35616034381419465,True
BCL2L11,3,2,0.3662756737976484,True
BHLHE40,3,3,1.0031323957578546,True
BIRC5,3,2,1.5090544579803178,True
BRCA2,2,2,0.12936710133678497,False
BRIP1,2,2,0.3275623022492564,False
BTBD3,3,2,0.3473145374045039,True
CACNA2D1,3,3,-1.988325276164305,True
CASP3,3,3,0.4547692234390392,True
CASP9,3,2,0.1686542955709426,True
CASZ1,3,2,1.0532152565687125,True
CAVIN1,3,3,-1.7799572079921433,True
CBX6,3,2,-0.013798969231084257,False
CCDC88C,2,2,0.41251092892622476,False
CCNG1,3,2,-0.6954717968120369,True
CD248,3,3,-1.3906652547185834,True
CD34,3,3,-1.181047002906077,True
CD8A,3,2,0.39716458963977974,True
CDC73,3,2,-0.051951523179785276,False
CDH1,3,3,3.0049130936666546,True
CDK12,3,2,0.22347337035681245,True
CDK20,3,3,0.24068267567476168,False
CDKAL1,3,2,-0.3126725115425506,True
CDKN2A,3,2,0.40097198517842436,True
CDKN2B,3,2,-1.859342282593232,True
CDYL2,2,2,0.5276904090969587,True
CEBPB,3,3,-0.7993091763770478,True
CEP120,2,2,-0.4743929146988366,True
CFLAR,3,2,-0.0027752288934141944,False
CHD1,3,2,0.39917334406302035,True
CHD1L,3,3,0.5718141300178713,True
CPXM2,2,2,-1.1380006128426752,True
CTLA4,2,2,0.02125469153428239,False
CTPS1,3,2,0.985559193421124,True
CXCR2,2,2,-0.4188549344900556,True
CYBRD1,3,2,-1.0382091471311903,True
DNAJC1,3,2,0.9086334572676247,True
DUSP4,3,2,0.7939333936313506,True
EBF1,2,2,-3.989835148770206,True
EGFR,3,3,-1.7414061841013357,True
EGR2,3,2,-0.7769557505538375,True
EIF2B5,3,2,0.47711283625474543,True
EIF3H,3,3,0.3660906155195131,True
ELOVL5,3,2,-0.7754615526656204,True
ENO2,3,3,0.9948922759942058,True
EPCAM,3,3,3.27311047531488,True
ERBB2,3,3,1.6621741531780954,True
ERCC8,2,2,-0.7518847656378602,True
ESR1,3,2,0.9913770940014454,True
FAT1,3,2,-0.612530794969039,True
FAT4,3,2,-0.9779982081441688,True
FEN1,3,2,0.8567522948297212,True
FGFR1,3,3,-0.8456549753482498,True
FILIP1L,3,3,-1.2641221613894693,True
FTO,3,2,-0.4659507368972446,True
GAREM1,3,2,-0.5662071153700398,True
GPR68,3,2,0.5114501082334195,True
GREB1,3,2,0.7160891447562693,True
GRHL2,3,3,1.3775878118537372,False
GSTM1,3,2,-0.5178805374048222,True
GTF3A,3,2,-0.15784511235747387,False
HLF,3,3,-1.7796926598576306,True
HPGD,3,2,-0.8333935967930901,True
HSPA4,3,3,0.5505623973083722,True
HSPB7,3,3,-2.6752719244175416,True
IGF1,3,3,-2.3722682853923804,True
IL6,3,3,-1.1583237503197494,True
INHBB,3,3,-0.8780983136749825,True
IRX3,2,2,1.8776835760546051,True
IRX5,3,3,1.61187919197826,True
ITGA1,3,3,-1.5159862284153507,True
JAZF1,2,2,-1.5529203678463883,True
KCTD1,2,2,0.7937811916980264,True
KDM7A,3,2,-0.009797750844060834,False
KLC1,3,2,-0.2743138705299059,True
KLF4,3,3,-2.3464311417278307,True
KRAS,3,2,0.5877695203674227,True
KRT19,3,3,4.270111438840086,True
LDAH,3,2,-0.41438683889401745,True
LIFR,3,2,-1.6348859112848337,True
LRATD2,2,2,1.6849669285994082,True
LYPD3,3,2,0.7538567820575812,True
MAFG,3,2,-0.004875871211538356,False
MAP1LC3B,3,2,-0.5822017539725456,True
MAP3K1,3,2,0.4675344392591434,True
MARCO,3,2,-0.973900950483528,True
MDM2,3,3,0.4821194799274163,False
MELK,3,3,2.2629539222503166,True
MEN1,3,2,0.4821986594333841,True
MET,3,2,-0.9516783883745811,True
MITF,3,3,-1.1656862040717522,True
MME,3,3,-2.6484201704864527,True
MN1,3,3,-0.8126946970561523,True
MRPS30,3,3,0.8758365130206537,True
MRTFA,3,2,0.06339397357394017,False
MSH6,3,3,0.5846636751858677,True
MTMR11,3,2,0.13454280286626874,True
MUC1,3,2,2.19502342701823,True
MYO5A,3,2,-0.4235723041886672,True
NCAM1,2,2,-0.46893570894981385,True
NCOA1,3,2,-0.3378126450357953,True
NCOA4,3,2,-0.5591443849354635,True
NFKB2,3,2,0.15219417572082902,True
NR2F6,3,3,0.7682141913531284,True
NREP,3,3,0.9365800358428352,True
NUAK2,2,2,0.13625463505872393,False
NUDT17,2,2,0.3065986213617484,True
PAK4,3,2,0.6286715218353844,True
PALB2,3,2,0.38458714064547433,True
PCM1,3,2,-0.21475336326976802,True
PEG10,3,2,0.8475428843653038,True
PHLDA3,3,2,-0.8327732928374653,True
PHLDB3,2,2,1.2349695823159614,True
PID1,3,3,-2.350959286016713,True
PIDD1,3,2,0.2857096380565925,True
PIK3CA,3,2,-0.7008413896147688,True
PIK3R1,3,3,-0.5413777028793074,True
PKNOX2,3,2,-0.3069359633327733,True
PLAUR,3,3,0.4902212379391804,False
PLCG1,3,2,0.07973114460192872,False
PLK1,2,2,-0.05165475025769961,False
PLK2,3,2,0.7238416094940398,True
PNPLA2,3,2,-0.6539955530254448,True
POGLUT3,2,2,-0.9126955026248322,True
POT1,3,2,0.3644027894821293,True
PPP2R1B,3,3,-1.930393473642794,True
PPP2R3C,3,2,-0.8407355123108818,True
PRC1,3,3,2.4332183841507624,True
PRLR,3,2,1.8025948934131704,True
PSIP1,3,2,-0.5676167038220177,True
PSME4,3,2,0.45515204305840423,True
PTCH1,3,2,-0.7995583193380206,True
PTEN,3,3,-1.0146039470320407,True
PTPN11,3,3,-0.793261820593297,True
PTPRK,3,2,0.7613359045000608,True
RALB,3,2,-0.3019932386756829,True
RALY,3,2,0.48721107942738523,True
RFC1,3,2,-0.3344450112265216,True
RNF115,3,2,0.387736279814827,True
RPN1,3,3,0.4675609433087464,True
RPS23,3,2,-0.1278496030498554,True
SAV1,3,2,-0.6140348306739964,True
SERINC1,3,3,-1.199368065596439,True
SERPINF1,3,3,-1.8965069095704568,True
SGCE,3,3,-1.3131660772058007,True
SGCG,3,3,-2.698371134921491,True
SGSM3,3,2,0.42992121299551983,True
SIAH2,3,2,0.601747067295426,True
SLC22A5,3,2,0.3678899098069121,True
SLC25A15,3,2,0.7067152687903938,True
SLC35E3,3,3,0.5244080090805058,True
SLC4A7,3,2,0.603869943282516,True
SLITRK6,2,2,1.9605672014442552,True
SMAD7,3,2,-0.48158957454964274,True
SOX4,3,3,1.353360221239633,True
SPCS3,3,2,0.24522455502820803,True
SRGAP2C,3,2,-0.3438068618697138,True
SSBP2,3,2,-0.5107738788602019,True
STRADB,2,2,-1.342857143450101,True
SYNE1,3,2,-0.6083176292339854,True
TAB2,3,2,-0.4090413102594977,True
TACC3,3,2,0.7601882606569816,True
TAF5L,3,2,0.21009136586140809,True
TASOR2,3,3,0.8553705007789052,True
TBX5,3,2,-0.6469221715739168,True
TCF25,3,3,0.026781858630367122,False
TCF7L2,3,3,-0.8928199308001675,True
TDG,3,3,0.836457022009756,True
TEFM,3,3,0.8935567245095504,True
TENT5C,3,2,0.8055028962500442,True
TFRC,3,2,0.6130258417033575,True
TGFBR2,3,3,-1.7357850882717747,True
TGIF1,3,3,0.8642682791989594,True
THEM6,3,2,0.40136318132793525,True
THSD4,3,2,1.28426948799878,True
TIMP3,3,2,-1.0724872943528585,True
TNC,3,2,0.8981399733258133,True
TNFSF10,3,2,0.1910629426134521,False
TNNT3,3,3,-0.6654071133449652,True
TNS1,3,3,-2.2597528998882708,True
TOP1,3,3,0.6217180137042314,True
TOP2A,3,3,2.8105345575955147,True
TOX3,3,3,2.313357466175821,True
TPM4,3,2,0.8359037506676822,True
TRAK2,3,3,-0.49211309618785865,True
TRAP1,3,2,0.3090791015550109,True
TRIM46,2,2,0.15535085038050145,False
TRPS1,3,3,1.6377238843526525,True
TTC28,3,3,-1.0039093373902686,True
TTK,2,2,1.3309682275409038,True
TXNIP,3,3,-1.303984944922582,True
TYRO3,3,3,-1.6730153825577165,True
UTRN,3,3,-1.1043078106321662,True
UVSSA,2,2,0.9569830890170699,True
VEGFC,3,2,-0.9542935045374034,True
VGLL3,3,3,-2.130522888609223,True
WWOX,3,2,-0.5625393796929483,True
XBP1,3,3,1.369958541798656,True
ZBTB38,3,2,-0.43998414427111027,True
ZFPM2,3,3,-1.671856208460879,True
ZMIZ1,3,2,0.15590786581026825,False
ZNF217,3,3,0.8186701273608245,True
