gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCA1,8,True,True,True,True,4,True,-1.0828161531540401,down
ACBD6,10,True,True,True,True,4,True,0.484524192952426,up
AKAP12,1,True,True,True,True,4,True,-2.839935116740429,down
AKAP9,11,True,True,True,True,4,True,0.5436181214634143,up
ALCAM,29,True,True,True,True,4,True,1.592902945776012,up
ANKRD30A,24,True,True,True,True,4,True,2.5890652923278332,up
ANKRD35,12,True,True,True,True,4,True,-1.8767703291915678,down
ARRDC3,26,True,True,True,True,4,True,-1.0742522821725236,down
ASXL1,5,True,True,True,True,4,True,-0.04558386323406113,down
AURKA,15,True,True,True,True,4,True,1.9178240669113444,up
BANP,18,True,True,True,True,4,True,0.47010795592881954,up
BARD1,25,True,True,True,True,4,True,1.2287450611758957,up
BCAR1,19,True,True,True,True,4,True,0.3204138143311188,up
BCKDHB,20,True,True,True,True,4,True,-0.7146953453974018,down
BCL2,22,True,True,True,True,4,True,-0.8666519351399072,down
BCL2L1,5,True,True,True,True,4,True,0.35616034381419465,up
BHLHE40,11,True,True,True,True,4,True,1.0031323957578546,up
BIRC5,15,True,True,True,True,4,True,1.5090544579803178,up
CACNA2D1,17,True,True,True,True,4,True,-1.988325276164305,down
CASP3,28,True,True,True,True,4,True,0.4547692234390392,up
CAVIN1,17,True,True,True,True,4,True,-1.7799572079921433,down
CBX6,4,True,True,True,True,4,True,-0.013798969231084257,down
CCNG1,12,True,True,True,True,4,True,-0.6954717968120369,down
CD248,8,True,True,True,True,4,True,-1.3906652547185834,down
CD34,16,True,True,True,True,4,True,-1.181047002906077,down
CDH1,2,True,True,True,True,4,True,3.0049130936666546,up
CDK20,23,True,True,True,True,4,True,0.24068267567476168,up
CDKN2B,12,True,True,True,True,4,True,-1.859342282593232,down
CEBPB,22,True,True,True,True,4,True,-0.7993091763770478,down
CFLAR,4,True,True,True,True,4,True,-0.0027752288934141944,down
CHD1,19,True,True,True,True,4,True,0.39917334406302035,up
