gene,cluster_id,max_level_survived,mean_log2fc,direction
AKAP12,1,4,-2.839935116740429,down
HSPB7,1,4,-2.6752719244175416,down
KLF4,1,4,-2.3464311417278307,down
MME,1,4,-2.6484201704864527,down
PID1,1,4,-2.350959286016713,down
TNS1,1,4,-2.2597528998882708,down
CDH1,2,4,3.0049130936666546,up
ENO2,2,4,0.9948922759942058,up
EPCAM,2,4,3.27311047531488,up
KRT19,2,4,4.270111438840086,up
MELK,2,4,2.2629539222503166,up
PRC1,2,4,2.4332183841507624,up
TOP2A,2,4,2.8105345575955147,up
TRPS1,2,4,1.6377238843526525,up
CBX6,4,4,-0.013798969231084257,down
CFLAR,4,4,-0.0027752288934141944,down
RFC1,4,4,-0.3344450112265216,down
RPS23,4,4,-0.1278496030498554,down
SIAH2,4,4,0.601747067295426,up
ASXL1,5,4,-0.04558386323406113,down
BCL2L1,5,4,0.35616034381419465,up
LYPD3,5,4,0.7538567820575812,up
PIK3CA,5,4,-0.7008413896147688,down
PRLR,5,4,1.8025948934131704,up
TACC3,5,4,0.7601882606569816,up
FILIP1L,7,4,-1.2641221613894693,down
SERINC1,7,4,-1.199368065596439,down
SERPINF1,7,4,-1.8965069095704568,down
TNNT3,7,4,-0.6654071133449652,down
ZFPM2,7,4,-1.671856208460879,down
ABCA1,8,4,-1.0828161531540401,down
CD248,8,4,-1.3906652547185834,down
EGFR,8,4,-1.7414061841013357,down
IGF1,8,4,-2.3722682853923804,down
INHBB,8,4,-0.8780983136749825,down
PPP2R1B,8,4,-1.930393473642794,down
PTEN,8,4,-1.0146039470320407,down
SGCG,8,4,-2.698371134921491,down
VGLL3,8,4,-2.130522888609223,down
EGR2,9,4,-0.7769557505538375,down
MYO5A,9,4,-0.4235723041886672,down
PKNOX2,9,4,-0.3069359633327733,down
SMAD7,9,4,-0.48158957454964274,down
SRGAP2C,9,4,-0.3438068618697138,down
ACBD6,10,4,0.484524192952426,up
IRX3,10,4,1.8776835760546051,up
PLK2,10,4,0.7238416094940398,up
SGSM3,10,4,0.42992121299551983,up
TAF5L,10,4,0.21009136586140809,up
TFRC,10,4,0.6130258417033575,up
TPM4,10,4,0.8359037506676822,up
AKAP9,11,4,0.5436181214634143,up
BHLHE40,11,4,1.0031323957578546,up
CHD1L,11,4,0.5718141300178713,up
MRPS30,11,4,0.8758365130206537,up
MSH6,11,4,0.5846636751858677,up
NR2F6,11,4,0.7682141913531284,up
RPN1,11,4,0.4675609433087464,up
TASOR2,11,4,0.8553705007789052,up
TGIF1,11,4,0.8642682791989594,up
ZNF217,11,4,0.8186701273608245,up
ANKRD35,12,4,-1.8767703291915678,down
CCNG1,12,4,-0.6954717968120369,down
CDKN2B,12,4,-1.859342282593232,down
EBF1,12,4,-3.989835148770206,down
JAZF1,12,4,-1.5529203678463883,down
LIFR,12,4,-1.6348859112848337,down
PPP2R3C,12,4,-0.8407355123108818,down
TIMP3,12,4,-1.0724872943528585,down
VEGFC,12,4,-0.9542935045374034,down
NCOA4,13,4,-0.5591443849354635,down
PHLDA3,13,4,-0.8327732928374653,down
PNPLA2,13,4,-0.6539955530254448,down
PSIP1,13,4,-0.5676167038220177,down
STRADB,13,4,-1.342857143450101,down
FEN1,14,4,0.8567522948297212,up
MRTFA,14,4,0.06339397357394017,up
PAK4,14,4,0.6286715218353844,up
AURKA,15,4,1.9178240669113444,up
BIRC5,15,4,1.5090544579803178,up
GPR68,15,4,0.5114501082334195,up
PLCG1,15,4,0.07973114460192872,up
PTCH1,15,4,-0.7995583193380206,down
CD34,16,4,-1.181047002906077,down
FGFR1,16,4,-0.8456549753482498,down
MITF,16,4,-1.1656862040717522,down
PTPN11,16,4,-0.793261820593297,down
TCF7L2,16,4,-0.8928199308001675,down
TTC28,16,4,-1.0039093373902686,down
TXNIP,16,4,-1.303984944922582,down
UTRN,16,4,-1.1043078106321662,down
CACNA2D1,17,4,-1.988325276164305,down
CAVIN1,17,4,-1.7799572079921433,down
HLF,17,4,-1.7796926598576306,down
ITGA1,17,4,-1.5159862284153507,down
TGFBR2,17,4,-1.7357850882717747,down
TYRO3,17,4,-1.6730153825577165,down
BANP,18,4,0.47010795592881954,up
DUSP4,18,4,0.7939333936313506,up
ESR1,18,4,0.9913770940014454,up
RNF115,18,4,0.387736279814827,up
TENT5C,18,4,0.8055028962500442,up
BCAR1,19,4,0.3204138143311188,up
CHD1,19,4,0.39917334406302035,up
TRAP1,19,4,0.3090791015550109,up
BCKDHB,20,4,-0.7146953453974018,down
CPXM2,20,4,-1.1380006128426752,down
CYBRD1,20,4,-1.0382091471311903,down
FAT4,20,4,-0.9779982081441688,down
MARCO,20,4,-0.973900950483528,down
POGLUT3,20,4,-0.9126955026248322,down
FAT1,21,4,-0.612530794969039,down
SYNE1,21,4,-0.6083176292339854,down
TAB2,21,4,-0.4090413102594977,down
TBX5,21,4,-0.6469221715739168,down
BCL2,22,4,-0.8666519351399072,down
CEBPB,22,4,-0.7993091763770478,down
IL6,22,4,-1.1583237503197494,down
