gene,cluster_id,status,discovery_direction,n_brain_concordant,n_brain_discordant,n_blood_concordant,reason
AKAP12,1,survived,down,0,0,0,No brain replication datasets; retained by default.
HSPB7,1,survived,down,0,0,0,No brain replication datasets; retained by default.
KLF4,1,survived,down,0,0,0,No brain replication datasets; retained by default.
MME,1,survived,down,0,0,0,No brain replication datasets; retained by default.
PID1,1,survived,down,0,0,0,No brain replication datasets; retained by default.
TNS1,1,survived,down,0,0,0,No brain replication datasets; retained by default.
CDH1,2,survived,up,0,0,0,No brain replication datasets; retained by default.
ENO2,2,survived,up,0,0,0,No brain replication datasets; retained by default.
EPCAM,2,survived,up,0,0,0,No brain replication datasets; retained by default.
KRT19,2,survived,up,0,0,0,No brain replication datasets; retained by default.
MELK,2,survived,up,0,0,0,No brain replication datasets; retained by default.
PRC1,2,survived,up,0,0,0,No brain replication datasets; retained by default.
TOP2A,2,survived,up,0,0,0,No brain replication datasets; retained by default.
TRPS1,2,survived,up,0,0,0,No brain replication datasets; retained by default.
CBX6,4,survived,down,0,0,0,No brain replication datasets; retained by default.
CFLAR,4,survived,down,0,0,0,No brain replication datasets; retained by default.
RFC1,4,survived,down,0,0,0,No brain replication datasets; retained by default.
RPS23,4,survived,down,0,0,0,No brain replication datasets; retained by default.
SIAH2,4,survived,up,0,0,0,No brain replication datasets; retained by default.
ASXL1,5,survived,down,0,0,0,No brain replication datasets; retained by default.
BCL2L1,5,survived,up,0,0,0,No brain replication datasets; retained by default.
LYPD3,5,survived,up,0,0,0,No brain replication datasets; retained by default.
PIK3CA,5,survived,down,0,0,0,No brain replication datasets; retained by default.
PRLR,5,survived,up,0,0,0,No brain replication datasets; retained by default.
TACC3,5,survived,up,0,0,0,No brain replication datasets; retained by default.
FILIP1L,7,survived,down,0,0,0,No brain replication datasets; retained by default.
SERINC1,7,survived,down,0,0,0,No brain replication datasets; retained by default.
SERPINF1,7,survived,down,0,0,0,No brain replication datasets; retained by default.
TNNT3,7,survived,down,0,0,0,No brain replication datasets; retained by default.
ZFPM2,7,survived,down,0,0,0,No brain replication datasets; retained by default.
ABCA1,8,survived,down,0,0,0,No brain replication datasets; retained by default.
CD248,8,survived,down,0,0,0,No brain replication datasets; retained by default.
EGFR,8,survived,down,0,0,0,No brain replication datasets; retained by default.
IGF1,8,survived,down,0,0,0,No brain replication datasets; retained by default.
INHBB,8,survived,down,0,0,0,No brain replication datasets; retained by default.
PPP2R1B,8,survived,down,0,0,0,No brain replication datasets; retained by default.
PTEN,8,survived,down,0,0,0,No brain replication datasets; retained by default.
SGCG,8,survived,down,0,0,0,No brain replication datasets; retained by default.
VGLL3,8,survived,down,0,0,0,No brain replication datasets; retained by default.
EGR2,9,survived,down,0,0,0,No brain replication datasets; retained by default.
MYO5A,9,survived,down,0,0,0,No brain replication datasets; retained by default.
PKNOX2,9,survived,down,0,0,0,No brain replication datasets; retained by default.
SMAD7,9,survived,down,0,0,0,No brain replication datasets; retained by default.
SRGAP2C,9,survived,down,0,0,0,No brain replication datasets; retained by default.
ACBD6,10,survived,up,0,0,0,No brain replication datasets; retained by default.
IRX3,10,survived,up,0,0,0,No brain replication datasets; retained by default.
PLK2,10,survived,up,0,0,0,No brain replication datasets; retained by default.
SGSM3,10,survived,up,0,0,0,No brain replication datasets; retained by default.
TAF5L,10,survived,up,0,0,0,No brain replication datasets; retained by default.
TFRC,10,survived,up,0,0,0,No brain replication datasets; retained by default.
TPM4,10,survived,up,0,0,0,No brain replication datasets; retained by default.
AKAP9,11,survived,up,0,0,0,No brain replication datasets; retained by default.
BHLHE40,11,survived,up,0,0,0,No brain replication datasets; retained by default.
CHD1L,11,survived,up,0,0,0,No brain replication datasets; retained by default.
