gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
A1CF,3,3,-1.2453534046411028,True
A2M,3,3,-0.9070437495579746,True
A4GNT,2,2,-0.4890870884931293,True
AAAS,3,2,0.4718943889021485,True
AADAT,3,3,0.6979437156402616,True
AAK1,3,2,-0.33128154662652953,True
AAR2,3,3,0.9209049085954666,True
AARS1,3,3,0.9472533451978021,True
AARS2,3,2,0.26892533382011913,True
AASDHPPT,3,2,0.6757260660618609,True
AATF,3,3,0.8751504880613247,True
ABAT,3,2,-0.38868918175960143,True
ABCA1,3,2,-0.6192172949448341,True
ABCA5,3,2,-1.3114922824127266,True
ABCA6,2,2,-1.624900899535339,True
ABCA7,3,2,0.10568417942814919,True
ABCA8,3,3,-4.5113661077028056,True
ABCA9,2,2,-1.467882140578937,True
ABCB1,3,3,-1.8963828424935574,True
ABCB11,2,2,-1.6158397441439483,True
ABCB4,3,3,-1.5766256642378653,True
ABCB6,3,2,0.6979140618420531,True
ABCC1,3,3,1.5497042608539193,True
ABCC10,3,3,0.8237514878913729,True
ABCC3,3,2,-0.7038742549461396,True
ABCD3,3,2,-0.8050049991008782,True
ABCD4,3,2,-0.4029523717398078,True
ABCE1,3,3,0.9271778612928913,True
ABCF1,3,3,0.39230937231802826,True
ABCF2,3,3,0.5665313545764595,True
ABCG1,3,2,-0.320144700154561,True
ABCG2,3,3,-4.2963092007769275,True
ABHD11,3,2,0.29940561935087445,True
ABHD13,3,2,0.2945065685931407,True
ABHD15,3,2,-0.4275984496363166,True
ABHD16A,3,2,0.32389933804925725,True
ABHD17C,3,2,-0.6114075980504884,True
ABHD18,3,2,-0.2885575723757805,True
ABHD3,3,3,-1.6364108077010286,True
ABHD5,3,2,-0.7350421267582762,True
ABHD6,3,3,-0.5775367233655867,True
ABI2,3,2,0.7247569755700051,True
ABI3,3,3,-0.33541257708531536,True
ABI3BP,3,3,-2.9080574255161515,True
ABL2,3,2,0.3826193538184312,True
ABO,3,2,-0.4983097584804546,True
ABR,3,2,-0.2246026452950014,True
ABRACL,3,2,-0.08527369331772998,False
ABT1,3,2,0.341739220587787,True
ABTB1,3,2,0.35787193604591955,True
ACAA1,3,3,-0.8885160314197957,True
ACAA2,3,3,-1.3311106933345151,True
ACACA,3,3,0.986670591854506,True
ACACB,3,2,-0.568624761168279,True
ACAD8,3,3,-0.6634047584960451,True
ACAD9,3,3,0.4115617259775286,True
ACADM,3,2,-0.9946955282580406,True
ACADS,3,3,-1.6172531636215963,True
ACADSB,3,2,-0.8626851904181336,True
ACADVL,3,3,-0.886444539870201,True
ACAP2,3,2,-0.3285852591834206,True
ACAT1,3,2,-1.0950747243076961,True
ACBD4,3,3,-0.5975294942420032,True
ACBD5,3,2,0.087189619037033,False
ACBD6,3,3,1.1334695687372969,True
ACD,3,3,1.3474004887155464,True
ACER1,2,2,-0.27839627846169357,False
ACER2,3,2,-0.5286482533087735,True
ACER3,3,2,-0.4515946266576272,True
ACKR1,3,3,-1.5973060632753162,True
ACKR3,3,3,0.5363273160706162,False
ACKR4,3,2,-0.7920231641930707,True
ACLY,3,3,1.0247297024135655,True
ACO1,3,2,0.009551512096570569,False
ACO2,3,2,-0.7844051166972914,True
ACOD1,2,2,-0.560936838593648,True
ACOT1,3,2,-0.6520882666648559,True
ACOT11,3,3,-0.6638890784585039,True
ACOT13,3,2,-0.605991747700766,True
ACOT4,3,2,-0.5664194086757769,True
ACOT9,3,2,0.7102554988027038,True
ACOX1,3,2,-0.8266085917131489,True
ACOX2,3,2,-0.17678628123423965,True
ACOX3,3,2,-0.2984539262941315,True
ACP1,3,2,0.35297774305509283,True
ACP2,3,2,-0.4607052675700434,True
ACP6,3,3,0.8217292122848855,True
ACRBP,3,2,-0.18941935330203621,True
ACSF2,3,3,-0.986561192514183,True
ACSL4,3,2,1.0946798560553284,True
ACSL6,3,3,2.4578987914408787,True
ACSM3,3,3,-1.591177137678624,True
ACSS1,3,2,0.4633716619933148,True
ACSS2,3,2,-0.5775152591287865,True
ACTL10,3,3,0.6647328336766938,True
ACTL6A,3,3,0.8366759238571527,True
ACTL8,2,2,0.04536408869998643,False
ACTN1,3,2,0.8111858545890426,True
ACTR10,3,3,-0.3979495136734303,True
ACTR2,3,2,-0.2807664130529191,True
ACTR3B,3,3,1.0676812256237118,True
ACTR5,3,3,0.9851289472648205,True
ACVR1,3,2,0.5806926897739286,True
ACVR1C,3,3,-1.5169682315737207,True
ACVR2A,3,2,-0.3891312913022575,True
ACVR2B,3,3,0.5930630895369168,True
ACVRL1,3,3,-1.2637603813849945,True
ACYP1,3,3,0.5260911568870229,True
ADA,3,3,1.20259811316539,True
ADA2,3,3,-1.078038716551189,True
ADAM10,3,2,-0.14668033557795765,True
ADAM12,3,2,1.2364547779360529,True
ADAM15,3,3,0.6892221468810006,True
ADAM17,3,3,0.6789560380650362,True
ADAM19,3,2,0.45635966026661023,True
ADAM28,3,3,-2.655182351559207,True
ADAMDEC1,3,3,-3.584550338609532,True
ADAMTS1,3,2,-0.32464794557282445,False
ADAMTS12,3,3,2.2551824271366674,True
ADAMTS17,2,2,-0.40401672821195156,True
ADAMTS2,3,3,2.525238683675672,True
ADAMTS5,3,2,0.11260734040335911,False
ADAMTS6,3,2,0.7372575512156541,True
ADAMTS9,3,2,1.325514493516452,True
ADAMTSL1,3,3,-1.1185350462999037,True
ADAMTSL2,2,2,0.24361306152301454,False
ADAMTSL3,3,2,-1.1713587463354884,True
ADAP1,3,2,0.3425380793256772,True
ADAP2,3,2,-0.29290292595892975,True
ADAR,3,2,0.5056755729875952,True
ADAT1,3,2,0.5709483745946186,True
ADAT2,3,2,0.4171434595906212,True
ADAT3,3,2,0.24982080044797458,True
ADCK2,3,2,0.2517622550453069,True
ADCK5,3,2,0.3874732558813759,True
ADCY3,3,3,0.9183590801580683,True
ADCY6,3,3,-0.9338926021890961,True
ADD1,3,2,-0.2661942613429738,True
ADD3,3,2,-0.1783306664753551,True
ADGRA3,3,3,-0.8385546524394888,True
ADGRB3,2,2,-1.5748126987319386,True
ADGRE5,3,2,0.4830377917022721,True
ADGRF4,3,2,0.3598692454757317,True
ADGRG1,3,3,1.5036222997365591,True
ADGRG5,3,3,-0.02986043089489791,False
ADGRG6,3,2,-0.42873610295622644,True
ADGRG7,3,2,-1.4470220977290376,True
ADGRL1,3,2,0.31846533623972445,True
ADGRL2,3,2,-0.7319817271899997,True
ADGRL3,3,3,-1.775180329969305,True
ADGRV1,3,2,-0.982959268159282,True
ADH1A,3,3,-2.300149230333347,True
ADH1B,3,3,-4.457294762649291,True
ADH1C,3,3,-4.48509839038707,True
ADH5,3,2,-0.2726425492770825,True
ADH6,3,3,-1.7306099328844509,True
ADHFE1,2,2,-1.0065935348894626,True
ADIPOR1,3,2,0.30975905232434603,True
ADIRF,3,3,-1.1511966896578238,True
ADISSP,3,3,1.2202045331025966,True
ADK,3,3,0.8439297092382324,True
ADNP,3,3,0.994599841334337,True
ADO,3,3,0.6627717630867066,True
ADORA2B,3,2,0.1125980857300218,False
ADORA3,3,2,-1.2362532149689345,True
ADPGK,3,2,0.3498869242445677,True
ADPRM,3,2,-0.1494932038579385,True
ADRA1A,2,2,-0.582784983048779,True
ADRA2A,3,3,-1.7863694380887163,True
ADRB1,3,3,-1.9252389079610086,True
ADRB2,3,2,-1.0732010874371478,True
ADRM1,3,3,1.2786468110503388,True
ADSL,3,3,0.6567994381185039,True
ADSS1,3,2,-0.05187449043431558,False
ADSS2,3,2,0.32183545696020843,True
ADTRP,3,3,-3.6355506664807753,True
AEBP1,3,2,0.685538515331681,True
AEBP2,3,3,0.6502805991838709,True
AEN,3,3,1.1799494539742519,True
AFAP1L2,3,2,-0.23645146268930825,True
AFF1,3,2,-0.6282434464745498,True
AFF3,3,3,-2.1505710174816177,True
AFF4,3,2,-0.23780057258085416,True
AFG1L,3,2,-0.37089730681292526,True
AFG2A,3,2,0.5239895008917598,True
AFG2B,3,2,0.3399286286799172,True
AFG3L2,3,2,-0.671745814371798,True
AGA,3,2,-0.19940684571979853,True
AGAP3,3,3,1.0616233268583672,True
AGBL1,2,2,-0.8500911268692566,True
AGBL2,2,2,-0.6056034454839176,True
AGBL5,3,2,0.5024014889531129,True
AGFG1,3,3,0.6500911935218188,True
AGGF1,3,2,0.06982169014678045,False
AGK,3,3,0.5469089353119063,True
AGL,3,2,-0.6394814836943098,True
AGMAT,3,3,0.7825605601264053,True
AGO1,3,2,-0.15559270895146712,True
AGO2,3,3,0.6801094375050788,True
AGO3,3,2,0.23509959566274366,True
AGPAT4,3,2,0.08098170050755209,False
AGR2,3,2,-0.689112268295748,True
AGR3,3,3,-2.361682414943168,True
AGRN,3,3,0.9004352805321286,True
AGT,3,3,1.714570714710477,True
AGTPBP1,3,2,0.7057859793605266,True
AGTR1,3,2,-0.9644295939592492,True
AGTRAP,3,3,0.7658172788030647,True
AHCTF1,3,2,0.5703206029918482,True
AHCY,3,3,1.5288775599803826,True
AHCYL2,3,3,-2.119774471214315,True
AHNAK,3,3,-1.2157445850739699,True
AHNAK2,3,2,0.09805769583936803,False
AHRR,3,3,-0.8226241778127915,True
AHSA1,3,3,0.4371298108301917,True
AICDA,2,2,-0.9469583620390332,True
AIDA,3,3,0.5716340098699296,True
AIFM2,3,2,0.06721307432656183,False
AIFM3,3,3,-1.059900076768047,True
AIG1,3,2,0.5593506709326658,True
AIMP1,3,2,0.36631986972042735,True
AIMP2,3,3,0.5884899436619797,True
AIRIM,3,3,0.8658155408368883,True
AJUBA,3,3,3.029881736440292,True
AK2,3,2,0.03861433092439034,False
AK3,3,3,-0.3554691724710099,True
AK5,2,2,-0.7695072674621841,True
AK6,3,2,0.25147075829058707,True
AK8,2,2,-0.1268613228901847,False
AKAP11,3,2,0.7226963197587827,True
AKAP13,3,2,-0.71644500857004,True
AKAP17A,3,2,0.3636745587684575,True
AKAP19,3,3,-3.6684840999524404,True
AKAP5,3,2,-1.5339747816368814,True
AKAP6,2,2,-0.5101266251186114,True
AKAP7,3,3,-1.5629631154794374,True
AKAP8,3,2,0.3366150767325993,True
AKAP8L,3,2,0.4339376505735091,True
AKAP9,3,3,-1.247731688840007,True
AKIP1,3,3,0.6518902640067129,True
AKIRIN1,3,2,-0.35014946871929986,True
AKIRIN2,3,3,0.7387478422318358,True
AKR1B1,3,2,-0.3579792770220192,True
AKR1B10,3,3,-3.6578662287493895,True
AKR1C1,3,2,-1.0004475475902692,True
AKR1C3,3,2,-1.0485024355043056,True
AKR7A2,3,2,-0.3421778613283089,True
AKR7A3,3,3,-0.7111428154791367,True
AKT2,3,2,0.6685801684985178,True
AKTIP,3,2,-0.21447434829075865,True
ALAD,3,3,-0.8385257945749872,True
ALAS1,3,3,-0.14431159992792963,False
ALCAM,3,3,0.7690651684199459,True
ALDH1A1,3,3,-1.986974041254175,True
ALDH1A3,3,2,0.8971172935923665,True
ALDH1B1,3,2,0.7325522536533035,True
ALDH1L1,3,2,-0.6309713571726627,True
ALDH2,3,2,-0.23914570105938893,True
ALDH3A2,3,2,-0.5700154065313736,True
ALDH4A1,3,3,1.6968052603474888,True
ALDH6A1,3,2,-0.73500654571141,True
ALDH7A1,3,2,0.12624980111427794,False
ALDH9A1,3,2,-0.0641056858598219,True
ALDOA,3,2,0.15723568713148003,True
ALDOB,3,2,1.3892853357959234,True
ALDOC,3,2,0.4117758220667076,True
ALG1,3,3,0.6284926830455945,True
ALG10,3,2,0.3139045758248442,True
ALG12,3,2,-0.27958808746539976,True
ALG13,3,2,-0.3790135384611159,True
ALG3,3,3,0.9156879107204814,True
ALG5,3,3,0.8066422426913835,True
