gene,cluster_id,max_level_survived,mean_log2fc,direction
AQP11,0,4,-1.2245464205501035,down
C2orf72,0,4,-1.2271676081554537,down
CAPN5,0,4,-1.2242610115723105,down
DSC2,0,4,-1.2372536188624885,down
RELN,0,4,-1.2305441902726295,down
SLC25A20,0,4,-1.2357222011232374,down
SLC30A4,0,4,-1.2322728027265422,down
VPS35L,0,4,-1.2259528304501155,down
BEST2,1,4,-3.0500745800427165,down
BRINP3,1,4,-3.021369270769471,down
CDKN2B,1,4,-3.129991271741203,down
CNTN3,1,4,-3.132996103254092,down
DHRS9,1,4,-3.1131797852356176,down
EPB41L3,1,4,-3.1362119838868066,down
IGH,1,4,-3.173366661124463,down
NXPE4,1,4,-3.159974389680974,down
RGS13,1,4,-3.140144439512189,down
SCGB2A1,1,4,-3.091089609020855,down
TSPAN7,1,4,-3.066599257817939,down
ARL6IP6,2,4,0.4493966464429698,up
BICDL1,2,4,0.4410497813102759,up
CIZ1,2,4,0.4447216577400394,up
COG6,2,4,0.4582030249037355,up
DPYSL2,2,4,0.47317138643861156,up
FHIP2A,2,4,0.406535762029766,up
HSPA13,2,4,0.4342512196004102,up
LYSMD2,2,4,0.42802792577380533,up
MB21D2,2,4,0.45159515803265915,up
POLD3,2,4,0.3231373748128699,up
PWP2,2,4,0.28534686557326666,up
SNX16,2,4,0.5316753562575599,up
ABI3BP,3,4,-2.9080574255161515,down
ASPA,3,4,-2.8561614289301374,down
IRAG2,3,4,-2.892187201328133,down
MMP28,3,4,-2.873828003760172,down
PLAC8,3,4,-2.8830464696244955,down
CEACAM7,4,4,-2.9700369968701748,down
LIFR,4,4,-2.9659004710935837,down
PCK1,4,4,-2.9626280862455387,down
SLC26A2,4,4,-2.9416033874849608,down
TPH1,4,4,-2.937987845584941,down
ZBTB7C,4,4,-2.920175627489268,down
ENY2,5,4,0.5981617525374384,up
MIER2,5,4,0.6808750150135786,up
PPM1G,5,4,0.6389423306092009,up
PRDX1,5,4,0.7101521836207129,up
TBCB,5,4,0.5566414781537716,up
TSEN2,5,4,0.707021209097816,up
ADAM19,6,4,0.45635966026661023,up
AIMP1,6,4,0.36631986972042735,up
GPN1,6,4,0.48364547607024316,up
JUP,6,4,0.4803191894989123,up
MROH6,6,4,0.3683475989782859,up
NAP1L4,6,4,0.42510858791281486,up
NEK3,6,4,0.5828862624210794,up
PAXX,6,4,0.5093295410249891,up
PTPA,6,4,0.3485963418956179,up
