gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
ETS2,0,0.8422258312716213,0.41282174696581775,0.041333568417583316,0.8448350407985543,0.10009871952733053,3.172875456984806e-17,92.33353162226302,0.46342870159898936,26.08763124632319,3,up
GZMB,0,1.8732999846990788,0.5833552099153922,0.0013215845960478298,1.9981253521207598,0.1912512874000811,1.5021044845087112e-25,88.97529190075689,0.9068162832012596,18.14106987682793,3,up
IL1B,0,1.4360830815055732,0.6777489850386722,0.03409882453395278,1.2065417224114694,0.15421735652878793,5.13157254870006e-15,91.28475510021522,1.2399261946061484,22.948293742719613,3,up
IRS2,0,1.146919450867072,0.3927083937113683,0.0034942853950090114,1.1392281525785126,0.10848749867659267,8.546208519657806e-26,90.38280443742391,0.4120586861311177,20.79608329670146,3,up
ODC1,0,1.0614406269982128,0.3287102110054982,0.0012417718182663458,1.181267117902123,0.09834262364590902,3.0824796026687204e-33,88.46007416289663,0.2836798662581244,17.3311339104933,3,up
PMAIP1,0,1.4133427921522692,0.478375890076189,0.00313215990245613,1.6919026740311494,0.10535227547889374,4.906538006964849e-58,94.30218627330896,0.6443689974173714,35.10118259273956,3,up
WEE1,0,0.8117650596730633,0.34038644467347107,0.017086844093609815,0.893360606050404,0.09419250283608542,2.437508925413807e-21,90.90969070779597,0.31297946078495775,22.001451608640302,3,up
ABCG2,1,-4.325448946879396,1.0030879561717851,1.6168692404616873e-05,-5.066117097487618,0.18851575987822888,4.457885322460796e-159,95.49037547001532,2.8689462392268332,44.34959023089208,3,down
ANPEP,1,-3.7742542284121994,0.5761322063041598,5.7144990734838125e-11,-3.977899152447384,0.24086919837001067,2.8725909807015096e-61,81.39617167606451,0.8034442839562116,10.750475467604812,3,down
CDKN2B,1,-3.149662132119616,0.8154787298143553,0.00011230272571731164,-3.781579803505311,0.14580208681613135,2.5896123393273828e-148,95.28194309284073,1.882646252807265,42.39033227778932,3,down
CXCL12,1,-3.561749848176656,0.19010471668903173,2.531657014649098e-78,-3.561749848176656,0.19010471668903173,2.531657014649098e-78,0.0,0.0,1.1722430362035432,3,down
NR1H4,1,-3.3011771262408454,0.9173596762062737,0.0003199796214106358,-3.844953771545816,0.21407649337883555,3.9611492441932734e-72,93.70054722241518,2.355156941396732,31.74878946813526,3,down
SLC26A3,1,-3.636063093482742,0.42564352788753923,1.3134000187665162e-17,-3.7615558330417898,0.2295939942325136,2.508346243271311e-60,68.03084680758602,0.36504870541618717,6.2560305803613945,3,down
ABCB1,2,-1.9210797200553598,0.4319113545921091,8.673144310623242e-06,-2.0371291462740553,0.18707384019451936,1.294353078600418e-27,80.16697345705619,0.44598146312754605,10.084189599955733,3,down
ALDH1A1,2,-1.9613312237997025,0.1632063867553359,2.8757248170416345e-33,-1.9613312237997025,0.1632063867553359,2.8757248170416345e-33,0.0,0.0,0.6322592978673285,3,down
APC,2,-1.2222465830623876,0.08613079417714037,1.0477703785274505e-45,-1.2222465830623876,0.08613079417714037,1.0477703785274505e-45,0.0,0.0,1.9008911979232461,3,down
BCL2,2,-1.6126048128343422,0.09555778338308159,6.791117307931493e-64,-1.6126048128343422,0.09555778338308159,6.791117307931493e-64,0.0,0.0,1.5397857992685977,3,down
BMP2,2,-1.6903229755006746,0.34768656192310615,1.164238350202443e-06,-1.9079953891565218,0.1293807793616757,3.2102115744544836e-49,83.55703498793588,0.29718014761580963,12.16325643539721,3,down
CLDN7,2,-0.8885718870422085,0.31966511854767654,0.005440978897496832,-1.0118560130233825,0.08663925700742249,1.6328996886316356e-31,91.82981285944715,0.2794017107159852,24.479243444412294,3,down
DCLK1,2,-1.456988359366657,0.346075012234027,2.5532967608869628e-05,-1.5147252555151909,0.12783448561262775,2.1748076636879105e-32,84.53640788270842,0.29971590887485333,12.9336054962519,3,down
DPYD,2,-1.7559801890892743,0.2718425113483636,1.0501505381440006e-10,-1.8835382459823247,0.13137472247914206,1.2822554475812371e-46,73.75859834907321,0.15969669432225025,7.621544102730368,3,down
GPA33,2,-1.712926296375491,0.576659143270042,0.0029738203293598682,-2.30113168296574,0.12316990013957213,6.8619111585665205e-78,92.05540955790184,0.9071812848361568,25.174362537331803,3,down
KLF4,2,-2.0045241579997164,0.4694300697353843,1.9536515720822564e-05,-2.4082764889354755,0.10577249642371042,9.42053274840672e-115,93.40715478767054,0.6062657917607264,30.335916218080495,3,down
KRT20,2,-1.855160934708511,0.42028598761864333,1.0145722072531084e-05,-2.0221604509490185,0.1220456921160207,1.1698407052457445e-61,90.08476338710248,0.46828576773998914,20.170976024903386,3,down
RSPO2,2,-1.6981741864149578,0.7397050676569336,0.02169046770768049,-1.1083329603754992,0.10543209581804075,7.582803762679287e-26,97.28756348031948,1.5815475144475741,73.73444449256877,3,down
ZEB2,2,-1.3453476684195351,0.14198481709760802,2.6601444467256123e-21,-1.3526661283764938,0.1332878250914974,3.366342423432047e-24,9.501516411263767,0.006150926399111422,2.2099817816714524,3,down
FABP1,3,-2.2781314773991843,0.18233256193813677,8.01230719961957e-36,-2.2781314773991843,0.18233256193813677,8.01230719961957e-36,0.0,0.0,0.4604305181293761,3,down
FGFR2,3,-2.2325698925395216,0.6094591562933833,0.00024908532158847446,-2.4940230289348264,0.17231336638113323,1.7748712190961658e-47,91.526502925235,1.0155502435892487,23.603005728959477,3,down
IL6R,3,-2.402644653890188,0.2910650444608043,1.5232794145672988e-16,-2.412433144334821,0.110539581336778,1.3683827141003189e-105,85.09689606597712,0.21536799545357646,13.420023163323192,3,down
MUC2,3,-2.29107170497554,0.38094730845023167,1.8084048243444238e-09,-2.397699978666411,0.24362893970351843,7.451193271020272e-23,55.09108907182997,0.23992144173855146,4.4534591435515285,3,down
SFRP1,3,-2.536800556473945,0.5836906565734981,1.3855496982322133e-05,-2.7550254277600774,0.20603615494226407,8.865805293878046e-41,86.66093974455119,0.8819918707031089,14.99355997873261,3,down
UGT1A1,3,-2.356267928460848,0.40905475559366355,8.397694804871002e-09,-2.5539726707470907,0.13738292631747773,3.859152253399796e-77,86.67024836176452,0.4285632389558581,15.004030489683979,3,down
ABCC1,4,1.5274810457958363,0.3326374602267795,4.389562022029773e-06,1.4959769082751389,0.08116738546384966,7.442488238211185e-76,92.40870095039688,0.29642751916585147,26.345951950141696,3,up
BIRC5,4,1.6541505862678263,0.15826254199593326,1.4355824288593916e-25,1.6690605846227011,0.12834698940400688,1.1567862726133227e-38,31.90789978947079,0.02419771154495785,2.937198285581352,3,up
BRCA2,4,1.6418684998908242,0.17766920094411728,2.4385218884156618e-20,1.6667177548685654,0.12308616749095805,8.948250629025993e-42,51.0023581749249,0.04827407762383983,4.0818290952453085,3,up
CCNE1,4,1.441642988532303,0.09915408199387354,6.816630506626012e-48,1.441642988532303,0.09915408199387354,6.816630506626012e-48,0.0,0.0,0.21343984081589812,3,up
FASN,4,1.629581673634893,0.12195065216446088,9.996607284022988e-41,1.6472299098231484,0.08182742965965302,3.986698719393788e-90,39.978322722443096,0.018800122330723194,3.332129475075221,3,up
JAG2,4,1.4616556145771564,0.20423425682093008,8.260596926245841e-13,1.4053778064851292,0.08568319853035729,1.849738962439381e-60,80.40652418786794,0.09851650665634021,10.207479362909275,3,up
PHGDH,4,1.4667116660875528,0.38681155060477346,0.00014955991783176272,1.4354853688692508,0.13106204573271368,6.44845520085826e-28,87.53360783312719,0.3908987312079099,16.043133997618337,3,up
SFRP4,4,1.5069161716916248,0.2792739356211992,6.820547523824063e-08,1.5616275953011451,0.1699026517281409,3.88093283649187e-20,61.10259734417618,0.14244397105284198,5.1417314870522715,3,up
SRM,4,1.4563955348105933,0.0975332219722558,2.0313039858637507e-50,1.4584893908938181,0.08569126553661165,5.809150030013392e-65,21.093053805103327,0.006122140036258297,2.53463110213401,3,up
WNT5A,4,1.4792939621686327,0.3315396925323786,8.123955826498818e-06,1.4000390889630243,0.13287688817754267,5.872648510145222e-26,83.43957436096883,0.27451386055307886,12.076984273195325,3,up
CDC20,5,1.3754637266574403,0.10761673661001663,2.090049224037796e-37,1.3754637266574403,0.10761673661001663,2.090049224037796e-37,0.0,0.0,0.6274659470951262,3,up
CDK4,5,1.2661530893716944,0.22622271373079036,2.1817854424168408e-08,1.2811353115582975,0.08132817536783447,6.584931259927888e-56,87.02376207255855,0.13355512716772083,15.412787675313101,3,up
EPHB4,5,1.2398380548225698,0.07957956069363603,9.978007488150145e-55,1.2398380548225698,0.07957956069363603,9.978007488150145e-55,0.0,0.0,1.1812942246948732,3,up
NKD2,5,1.3258963800224868,0.4786656097521138,0.005605893863362148,0.7148928679437246,0.0753785906855331,2.4464614433969096e-21,95.49463682470522,0.6419328097626199,44.391537866847926,3,up
SKP2,5,1.1751455548609848,0.09082982733726405,2.7511104218748743e-38,1.182058862793347,0.07794874612562212,6.069929887339591e-52,14.806021054566182,0.004367570068131546,2.347583743307713,3,up
SOX4,5,1.39905165459426,0.09714574211726673,5.057791540644936e-47,1.39905165459426,0.09714574211726673,5.057791540644936e-47,0.0,0.0,1.225845377090553,3,up
BRCA1,6,1.1828866927798733,0.09594051938768579,6.293253146551789e-35,1.1828866927798733,0.09594051938768579,6.293253146551789e-35,0.0,0.0,1.357590515328809,3,up
EXO1,6,1.2712887618736175,0.13429028635262297,2.887642710480375e-21,1.2393663985720822,0.10084514741197748,1.0276365800305174e-34,38.343397658557734,0.021055124208679894,3.243772644046114,3,up
FOXA2,6,1.4527959709590015,0.45820963408566673,0.0015212845555508912,1.6335905264200632,0.1482628736027189,3.1222791041498203e-28,88.53894397103423,0.5534785072498182,17.450398941819635,3,up
SHH,6,1.152259511787918,0.1679970276592454,6.9437041181703735e-12,1.1240130842076306,0.09325717838060753,1.873992034581841e-33,66.20489555559521,0.0555827163292465,5.918016922510578,3,up
VEGFA,6,1.1692891874913176,0.26711963910642245,1.2010409697756988e-05,1.1406894546792774,0.08949035128714256,3.2602607161023015e-37,87.6583740007141,0.18546483049695206,16.205320110297635,3,up
CASP9,7,-0.13658475631477363,0.15971212422247807,0.39244408322746316,-0.2970234683496541,0.05015375037928088,3.175501757727819e-09,85.9674572808643,0.06042177685863667,14.25258443911714,3,down
IFNGR1,7,-0.08632078978451758,0.23933742610829878,0.7183494015901546,-0.2877921853396905,0.059750549337794744,1.4605328886623718e-06,92.27540803840526,0.15562630218653217,25.89133523095635,3,down
KDM6A,7,-0.2415981439845827,0.25872619861292473,0.3504078278492099,-0.44107731332318645,0.08843310910540222,6.110415752776299e-07,83.82568499402767,0.1594492517368303,12.365284089381868,3,down
TGFBR2,7,0.28456009952707695,0.3017109157378112,0.3456017272217672,0.09754749381144076,0.08105416561702355,0.22878859089925485,91.07973800459106,0.23773359156697488,22.420866125113303,3,up
CDH3,8,5.643796292615167,0.658195969290153,9.93935276749106e-18,5.683050894010266,0.15130369338372107,9.4748933827939e-309,94.62506992858638,1.228845209684729,37.209786423770126,3,up
CLDN1,8,4.013622346699467,0.572488651943664,2.3690333216048262e-12,3.7453579449397023,0.11322010958934056,5.702199285798995e-240,95.3644174499392,0.9231422092561296,43.144523442339924,3,up
CXCL8,8,4.211901782259729,1.1679736046228495,0.0003107594293043236,4.257339540009353,0.28335306793666054,5.04695642989182e-51,94.07481505249778,3.8486694225515876,33.754220631427,3,up
DPEP1,8,4.360377192420017,0.5560112037979553,4.425547760702139e-15,4.348645889903182,0.22034554662240255,1.0672739982552405e-86,81.29457500341312,0.7227575789104055,10.692085319445741,3,up
INHBA,8,4.831377224643472,0.6967805795231533,4.095172725035545e-12,4.702408818175983,0.20412973428352932,2.0146804451174088e-117,91.2934319553723,1.3286319407343623,22.971163720865622,3,up
MMP3,8,4.482990418521707,0.7163881025219486,3.905266221879101e-10,4.781728457557582,0.27462597825844054,6.71570983575806e-68,83.99711735839051,1.286576766239689,12.497748341912796,3,up
MMP7,8,4.511616620490394,0.24533564233132013,1.5924205536777174e-75,4.502778467232602,0.2047817433649157,3.736512924401779e-107,28.96843406216344,0.05274394625935156,2.8156495968993625,3,up
CXCL10,9,1.459601920915173,0.836979183885793,0.08117779511155593,1.3842044693874938,0.18459916733181025,6.458529981625132e-14,93.88208929358764,1.9620760612968544,32.69089883746978,3,up
IL6ST,9,-0.6128152308412627,0.2979148620449507,0.039684818248378315,-0.8315975978560788,0.09233776844305953,2.1363208053289647e-19,88.54820336423478,0.2275160302282822,17.46450852745481,3,down
JUN,9,0.7604854568462527,0.6836492572902192,0.26596996200183964,0.9836983798635691,0.1022054799551647,6.288240803146748e-22,96.82332771630121,1.3329722634671648,62.95896527517415,3,up
LGR4,9,-0.8406405592444617,0.48545029716009647,0.08333202557899445,-1.4019716813048044,0.08208808372425021,2.132092926168417e-65,95.17761882960174,0.6383046027074318,41.47328735183392,3,down
PTEN,9,-0.6460787355740827,0.18678382354927378,0.0005422550689255631,-0.8055530944463519,0.07182924246299972,3.4482932879750137e-29,72.4913881513015,0.06920137249831093,7.270450472020547,3,down
FOXO1,10,-0.5925062117277774,0.28891459504485695,0.040286373546274776,-0.7359957240935721,0.0811271820242063,1.1672089682163752e-19,88.62885154374366,0.21533243193838167,17.58837295717138,3,down
IDO1,10,0.7927491829386485,0.650723122862788,0.22312563413654363,0.907598096776982,0.17520397691485054,2.2160434860757668e-07,92.67571956541501,1.1766086921117889,27.306436691802123,3,up
PDGFRA,10,-0.8561665538252903,0.39549303736292485,0.030402379789849485,-1.0367820418543627,0.12033631343102386,6.951320866550046e-18,90.06714164641129,0.41884288595426494,20.135190987369768,3,down
PLCG1,10,0.6537575576148859,0.40070991678958817,0.10278521322990831,0.19772947246674372,0.04536187080074095,1.3069657684713947e-05,97.82757999149173,0.46837273874555435,92.06322866512967,3,up
SMAD2,10,-0.5902409980369394,0.14756005090440205,6.334104267766543e-05,-0.647415682553684,0.07305092769789182,7.822217198579913e-19,54.52943094912446,0.034115637853449475,4.398449462469372,3,down
TEK,10,-0.645249296714109,0.31177151510997675,0.03848772313200174,-0.7820109964354169,0.09607799992305124,3.9745590792783285e-16,89.75085171904078,0.25949594120862784,19.51381661357738,3,down
ATR,11,0.837185911829945,0.14344162568215252,5.333359652110285e-09,0.8283676498719447,0.05182522556252765,1.6554251465672617e-57,69.6482851083555,0.03942460733503561,6.5894135047722715,3,up
CDK2,11,0.9885520358333931,0.16502028308411595,2.0921223282449306e-09,1.0391382921033694,0.07356633400572402,2.656901832454999e-45,79.08422587216417,0.06422411082441339,9.562161016733743,3,up
CDK8,11,0.7674372616578767,0.15517288969778134,7.587398862572914e-07,0.7248505166702442,0.06990504882644023,3.4283623510508284e-25,68.19799246078024,0.04384002461652223,6.288911156107062,3,up
HDAC2,11,0.8093630909899935,0.10677248754256596,3.4486627335267685e-14,0.807727778635468,0.05542197987787001,4.102472332334646e-48,63.86806577073133,0.021333413462030975,5.535269679473457,3,up
NKD1,11,0.9354787573745482,0.3869562735205412,0.01562620616873556,0.890210966618739,0.0974456761788548,6.512997569263709e-20,93.63199609922013,0.42049607458310123,31.40701593720868,3,up
POT1,11,0.820980764312667,0.21310040934161717,0.00011689234434426775,0.8385281600453814,0.06791354043663705,5.056493036618707e-35,80.9019181609928,0.09947873186156765,10.472255888625778,3,up
PTK2,11,0.6265290759353113,0.1957070260904545,0.0013677947957062276,0.666508662195318,0.060316162331974656,2.18605690700708e-28,82.81729930862288,0.08763899757543264,11.639613794842337,3,up
SLC1A5,11,0.7470241837084334,0.07064161237511553,3.89816700476011e-26,0.7470241837084334,0.07064161237511553,3.89816700476011e-26,0.0,0.0,1.6713638282473033,3,up
SMARCA4,11,0.8761407923452443,0.06833546262264407,1.2479800926745656e-37,0.8761407923452443,0.06833546262264407,1.2479800926745656e-37,0.0,0.0,0.05604811140644532,3,up
SMC1A,11,0.8179862366161036,0.22716085980033174,0.00031710305925488594,0.8065790644376457,0.06582201183180564,1.6002569095782366e-34,88.6657497214413,0.1315781340278779,17.645631169654443,3,up
TOP1,11,0.5480842638620782,0.11613150284295694,2.3640867260429533e-06,0.5545850279305378,0.061137034489565194,1.1773526270610391e-19,59.09770941500157,0.022814451327236127,4.88970170470974,3,up
ACLY,12,0.9825496455939652,0.20735324073774816,2.1527368206398355e-06,0.9798616525200253,0.057055740523002475,4.174714789757567e-66,88.0741529882495,0.10440541571801187,16.770297304915992,3,up
DNMT1,12,1.040035298792846,0.07015993606880692,1.0283466483752406e-49,1.040035298792846,0.07015993606880692,1.0283466483752406e-49,0.0,0.0,1.9803287551432547,3,up
FGFR4,12,1.0860095497415376,0.23790214115021152,4.996317187882902e-06,1.1000816283939552,0.08929786533078549,7.136569108646275e-35,85.19098998264005,0.14360396965779998,13.505291695092968,3,up
RHEB,12,1.0113935114737713,0.24121916676128533,2.7548304260727464e-05,1.0126776300577707,0.056920219534492104,8.27257200318411e-71,92.61537707771483,0.15515470212843965,27.08330568869588,3,up
TNFRSF10B,12,0.9095945262006969,0.24179955635139944,0.00016871457740407888,0.8717738619095771,0.09071527770789224,7.25486512238955e-22,77.69401004091908,0.12621404411421971,8.96620147175215,3,up
ALCAM,14,0.7039792787213655,0.1993870451861986,0.0004144345248514125,0.625913629947758,0.09608581483236035,7.312158176215155e-11,71.50809623298623,0.08077615372689567,7.019537958412878,3,up
BUB1B,14,1.1516781811621049,0.11816173929044889,1.907027116655053e-22,1.1516781811621049,0.11816173929044889,1.907027116655053e-22,0.0,0.0,0.36097147624612513,3,up
CCNA2,14,1.0105869682907895,0.11807755659630158,1.1417595811819778e-17,1.0105869682907895,0.11807755659630158,1.1417595811819778e-17,0.0,0.0,1.294086505211709,3,up
CCNE2,14,0.9430462236311254,0.14917540813184313,2.5865584771660983e-10,0.9287423147898236,0.10685095802765243,3.562964164859462e-18,41.85643193975977,0.028371505114138183,3.4397613815648187,3,up
EPHB3,14,1.0474470283712594,0.12009904068966124,2.7447472120426974e-18,1.0474470283712594,0.12009904068966124,2.7447472120426974e-18,0.0,0.0,0.48703173325960814,3,up
