gene,engine_direction,in_dataset,log2fc,p_value,replication_direction,concordant,significant
COL3A1,up,True,2.2161,0.000000,up,True,True
CTSK,up,True,1.4901,0.000000,up,True,True
MMP10,up,True,3.6934,0.000000,up,True,True
SLN,up,True,4.1608,0.000000,up,True,True
ADAMTS14,up,True,2.7310,0.000000,up,True,True
DCLK1,up,True,2.1281,0.000000,up,True,True
COL17A1,up,True,5.5398,0.000000,up,True,True
LRRN1,up,True,1.3709,0.000000,up,True,True
ABCA3,down,True,-1.4741,0.000000,down,True,True
GPR4,down,True,-1.3205,0.000000,down,True,True
NPR1,down,True,-1.2061,0.000000,down,True,True
PAPSS2,down,True,-1.3170,0.000000,down,True,True
PLLP,down,True,-2.0767,0.000000,down,True,True
COL14A1,up,True,2.1343,0.000000,up,True,True
IL13RA2,up,True,3.8417,0.000000,up,True,True
KRT5,up,True,4.8094,0.000000,up,True,True
MMP1,up,True,5.3705,0.000000,up,True,True
MMP7,up,True,3.5945,0.000000,up,True,True
MSMB,up,True,4.5940,0.000000,up,True,True
SFRP2,up,True,3.5140,0.000000,up,True,True
AGER,down,True,-3.0980,0.000000,down,True,True
CACNA2D2,down,True,-1.5622,0.000000,down,True,True
CDH13,down,True,-1.3460,0.000000,down,True,True
STX11,down,True,-1.2620,0.000000,down,True,True
TIMP3,down,True,-1.0630,0.000000,down,True,True
AOC3,down,True,-0.7107,0.000000,down,True,True
KDR,down,True,-0.9285,0.000000,down,True,True
LIN7A,down,True,-1.1505,0.000000,down,True,True
AFF3,down,True,-1.8152,0.000000,down,True,True
CRTAC1,down,True,-2.4253,0.000000,down,True,True
FAM107A,down,True,-2.1852,0.000000,down,True,True
GPX3,down,True,-1.4435,0.000000,down,True,True
HHIP,down,True,-1.9386,0.000000,down,True,True
HSD17B6,down,True,-1.6490,0.000000,down,True,True
PTPRB,down,True,-1.6596,0.000000,down,True,True
SLC39A8,down,True,-1.6180,0.000000,down,True,True
CA4,down,True,-3.8782,0.000000,down,True,True
HIF3A,down,True,-1.9085,0.000000,down,True,True
IL18RAP,down,True,-1.2889,0.000000,down,True,True
