gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ABCA3,3,3,-1.2255807044183005,True
ABCA13,3,3,1.4013054992642395,True
ACADL,3,3,-1.345169549760037,True
ACVRL1,3,2,-1.0791288974477131,True
ADAM17,3,2,-0.26583007116900054,True
ADAMTS14,3,2,0.28005969325536867,True
AFF3,3,3,-1.5543685456895429,True
AGER,3,3,-1.124482715418768,True
AKAP13,3,2,-0.37348837526610534,True
ANXA3,3,2,-1.115486341664331,True
AOC3,3,3,-0.7936028241718018,True
ASPN,3,3,2.7390692264383745,True
ATP11A,3,2,-0.31580098626237124,True
BCHE,3,3,1.231137462229692,True
BMP4,3,3,0.8135979158352006,True
BMP7,2,2,0.15414169640686287,False
BMPR2,3,2,-0.34557556349486457,True
C12orf75,3,3,1.478779151118114,True
CA2,3,2,-0.955354476896825,True
CA4,3,3,-2.0580998757950506,True
CACNA2D2,3,3,-1.0969893468492067,True
DNAI7,3,3,1.117496093873016,True
CCL2,3,2,0.6185351622530347,True
CCL18,3,3,1.0816233150485532,True
CCL21,3,2,0.8635966715667599,True
CDH2,3,2,1.0742225272264232,True
CDH3,3,3,1.9314253226321192,True
CDH5,3,2,-0.5636214475298785,True
CDH13,3,3,-1.0874218488832863,True
CFH,3,3,1.1921934108426706,True
CHI3L2,3,3,-1.4578807073781517,True
CLCA2,3,3,1.225215855474323,True
CLDN1,3,3,1.706925831428104,True
CLEC4E,3,3,-2.0020201009304377,True
COL1A1,3,3,1.8007004759850602,True
COL1A2,3,3,1.024410318473391,True
COL3A1,3,3,1.4701479717553696,True
COL5A1,3,2,0.6729002270882353,True
COL5A2,3,3,0.9113183669743226,True
COL6A3,3,3,1.066056235121382,True
COL14A1,3,3,2.30754654220028,True
COL15A1,3,3,1.9303192423711482,True
COL17A1,3,3,1.624649433871148,True
COMP,3,3,2.0458511309915965,True
CPA3,3,2,1.1334929947871142,True
CRTAC1,3,3,-1.3542657143608776,True
CSF3R,3,3,-1.2828831666676008,True
CTSK,3,3,1.4800853316083098,True
CXCL1,3,2,0.6039517383912232,True
CXCL8,3,2,-0.3117508449271705,False
CXCL12,3,3,1.5051464746353869,True
CXCL13,3,2,1.7397698457212887,True
CXCL14,3,3,2.8185915602170866,True
CXCR2,3,2,-1.3431029613730152,True
DCLK1,3,3,1.2438720957530347,True
DIO2,3,3,1.886462047774976,True
DNAH7,3,2,0.9468019730177399,True
DNAH9,3,2,1.0222856044299726,True
DPP9,3,2,-0.13110508795284778,True
DSP,3,2,0.5492061791956112,True
DZIP3,3,2,1.0039902218580765,True
EDNRA,3,2,0.4965369312992524,True
EDNRB,3,3,-1.3711381566022414,True
EGFR,3,2,-0.2459301202955185,True
ENG,3,3,-0.08222123813165261,False
EPHA3,3,3,1.640849424037348,True
EZH1,3,2,-0.24394953811671258,True
FAM13A,3,2,-0.017995475520542332,False
FAM81B,3,3,1.69394916776704,True
SACK1D,3,2,1.0698584700438845,True
FAM107A,3,3,-1.8718504636834732,True
FANK1,3,3,1.3247581165224085,True
FAP,3,2,1.3659723810126048,True
FCN3,3,2,-2.117171281148926,True
FGF1,3,3,0.46530693870074735,True
FGF7,3,2,0.3242494706806725,True
FKBP5,3,3,-2.034609136797387,True
FMO5,3,3,-1.94774392148506,True
FN1,3,2,0.4322616325490191,True
FNDC1,3,3,1.9971738545214759,True
FPR1,3,3,-1.4334825290877669,True
GEM,3,2,1.2594021722464996,True
GPNMB,3,3,0.7555182516876765,True
GPR4,3,3,-1.275199688633987,True
GPR87,3,3,1.7539726144929972,True
GPX3,3,3,-1.6390439418814198,True
TAMALIN,3,3,-1.0904893450718958,True
GREM1,3,2,1.3084286726045748,True
GREM2,3,2,0.6765762859444449,True
GSTA1,3,3,1.7831189192035481,True
HECTD2,3,2,0.30688064284920485,True
HGF,3,2,0.615149733755369,True
HHIP,3,3,-1.5078308785933698,True
HHLA2,3,3,1.003731479621382,True
HIF3A,3,3,-2.0151877580018662,True
HMCN1,3,3,1.1360128047054154,True
HRAS,2,2,0.1043182477794115,False
HS6ST2,3,2,1.0411794635154061,True
HSD17B6,3,3,-1.3506029457581696,True
HSPA4L,3,3,1.0741417237245565,True
ID1,3,3,-1.138305895873015,True
IFNG,3,2,0.023010503157329814,True
IGFL2,3,3,0.7954782468258643,True
IGF1,3,2,1.2030187297983201,True
IL1R2,3,3,-3.4012213708786185,True
IL1RL1,3,3,-2.4376763730410835,True
IL1RN,3,2,0.8248000444421103,True
IL6,3,2,-0.9634137056386548,True
IL10,3,2,-0.39204257947432297,True
IL13RA2,3,3,2.322476578346872,True
IL18R1,3,3,-1.8377394661932775,True
IL18RAP,3,3,-2.066016586302054,True
IL33,3,3,1.0158303987810466,True
INMT,2,2,-1.1989249014509817,True
ITGA3,3,2,-0.03864872340336182,False
ITGA5,3,2,-0.33988986297572393,True
ITGA11,3,2,0.2818092539150327,True
ITGAV,3,3,0.4601800979038277,True
