gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCA3,5,True,True,True,True,4,True,-1.2255807044183005,down
ABCA13,0,True,True,True,True,4,True,1.4013054992642395,up
ACADL,10,True,True,True,True,4,True,-1.345169549760037,down
ACVRL1,23,True,True,True,True,4,True,-1.0791288974477131,down
ADAM17,12,True,True,True,True,4,True,-0.26583007116900054,down
ADAMTS14,2,True,True,True,True,4,True,0.28005969325536867,up
AFF3,10,True,True,True,True,4,True,-1.5543685456895429,down
AGER,8,True,True,True,True,4,True,-1.124482715418768,down
AKAP13,24,True,True,True,True,4,True,-0.37348837526610534,down
ANXA3,23,True,True,True,True,4,True,-1.115486341664331,down
AOC3,9,True,True,True,True,4,True,-0.7936028241718018,down
ASPN,7,True,True,True,True,4,True,2.7390692264383745,up
BCHE,3,True,True,True,True,4,True,1.231137462229692,up
BMP4,16,True,True,True,True,4,True,0.8135979158352006,up
C12orf75,0,True,True,True,True,4,True,1.478779151118114,up
CA2,12,True,True,True,True,4,True,-0.955354476896825,down
CA4,11,True,True,True,True,4,True,-2.0580998757950506,down
CACNA2D2,8,True,True,True,True,4,True,-1.0969893468492067,down
CCL21,2,True,True,True,True,4,True,0.8635966715667599,up
CDH2,22,True,True,True,True,4,True,1.0742225272264232,up
CDH3,15,True,True,True,True,4,True,1.9314253226321192,up
CDH5,24,True,True,True,True,4,True,-0.5636214475298785,down
CDH13,8,True,True,True,True,4,True,-1.0874218488832863,down
CFH,3,True,True,True,True,4,True,1.1921934108426706,up
CHI3L2,10,True,True,True,True,4,True,-1.4578807073781517,down
CLCA2,3,True,True,True,True,4,True,1.225215855474323,up
CLDN1,20,True,True,True,True,4,True,1.706925831428104,up
CLEC4E,11,True,True,True,True,4,True,-2.0020201009304377,down
COL1A1,19,True,True,True,True,4,True,1.8007004759850602,up
COL1A2,17,True,True,True,True,4,True,1.024410318473391,up
COL3A1,0,True,True,True,True,4,True,1.4701479717553696,up
COL5A1,2,True,True,True,True,4,True,0.6729002270882353,up
COL5A2,16,True,True,True,True,4,True,0.9113183669743226,up
COL6A3,17,True,True,True,True,4,True,1.066056235121382,up
COL14A1,7,True,True,True,True,4,True,2.30754654220028,up
COL15A1,15,True,True,True,True,4,True,1.9303192423711482,up
COL17A1,4,True,True,True,True,4,True,1.624649433871148,up
COMP,15,True,True,True,True,4,True,2.0458511309915965,up
CPA3,22,True,True,True,True,4,True,1.1334929947871142,up
CRTAC1,10,True,True,True,True,4,True,-1.3542657143608776,down
CSF3R,5,True,True,True,True,4,True,-1.2828831666676008,down
CTSK,0,True,True,True,True,4,True,1.4800853316083098,up
CXCL1,26,True,True,True,True,4,True,0.6039517383912232,up
CXCL8,26,True,True,True,True,4,True,-0.3117508449271705,down
CXCL12,0,True,True,True,True,4,True,1.5051464746353869,up
CXCL13,28,True,True,True,True,4,True,1.7397698457212887,up
CXCL14,7,True,True,True,True,4,True,2.8185915602170866,up
DCLK1,3,True,True,True,True,4,True,1.2438720957530347,up
DIO2,15,True,True,True,True,4,True,1.886462047774976,up
EDNRB,10,True,True,True,True,4,True,-1.3711381566022414,down
ENG,9,True,True,True,True,4,True,-0.08222123813165261,down
EPHA3,4,True,True,True,True,4,True,1.640849424037348,up
SACK1D,22,True,True,True,True,4,True,1.0698584700438845,up
FAM107A,10,True,True,True,True,4,True,-1.8718504636834732,down
FAP,27,True,True,True,True,4,True,1.3659723810126048,up
FCN3,18,True,True,True,True,4,True,-2.117171281148926,down
FGF1,16,True,True,True,True,4,True,0.46530693870074735,up
FGF7,25,True,True,True,True,4,True,0.3242494706806725,up
FKBP5,11,True,True,True,True,4,True,-2.034609136797387,down
FMO5,11,True,True,True,True,4,True,-1.94774392148506,down
FN1,2,True,True,True,True,4,True,0.4322616325490191,up
FNDC1,15,True,True,True,True,4,True,1.9971738545214759,up
FPR1,10,True,True,True,True,4,True,-1.4334825290877669,down
GEM,27,True,True,True,True,4,True,1.2594021722464996,up
GPNMB,16,True,True,True,True,4,True,0.7555182516876765,up
GPR4,5,True,True,True,True,4,True,-1.275199688633987,down
GPR87,19,True,True,True,True,4,True,1.7539726144929972,up
