gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCA3,5,True,True,True,True,4,True,-1.493511229411764,down
ABCA13,0,True,True,True,True,4,True,1.2009593340336142,up
ACADL,8,True,True,True,True,4,True,-1.335066446218487,down
ACVRL1,9,True,True,True,True,4,True,-1.2146371794117647,down
ADAM17,6,True,True,True,True,4,True,-0.3868764121848744,down
AFF3,7,True,True,True,True,4,True,-1.058861032352942,down
AGER,9,True,True,True,True,4,True,-1.1776205071428572,down
AKAP13,12,True,True,True,True,4,True,-0.42662213907562885,down
ANXA3,8,True,True,True,True,4,True,-1.291761978991596,down
AOC3,13,True,True,True,True,4,True,-0.7993873815126054,down
ASPN,14,True,True,True,True,4,True,2.810243460084033,up
BCHE,15,True,True,True,True,4,True,1.100321761344538,up
BMP4,21,True,True,True,True,4,True,0.7380155785714285,up
C12orf75,0,True,True,True,True,4,True,1.2215298306722693,up
CA2,6,True,True,True,True,4,True,-1.152340903781511,down
CA4,17,True,True,True,True,4,True,-2.0444199760504196,down
CACNA2D2,8,True,True,True,True,4,True,-1.2869484134453784,down
CDH2,3,True,True,True,True,4,True,1.3147811319327727,up
CDH3,23,True,True,True,True,4,True,1.96769439789916,up
CDH5,13,True,True,True,True,4,True,-0.7767756600840332,down
CDH13,7,True,True,True,True,4,True,-1.1093921348739495,down
CFH,0,True,True,True,True,4,True,1.2264336516806718,up
CLDN1,23,True,True,True,True,4,True,1.9269208823529405,up
CLEC4E,19,True,True,True,True,4,True,-1.8111326563025198,down
COL1A1,23,True,True,True,True,4,True,1.932028327310924,up
COL1A2,10,True,True,True,True,4,True,1.062643636974792,up
COL6A3,0,True,True,True,True,4,True,1.1996468512605032,up
COL14A1,14,True,True,True,True,4,True,2.3983968201680668,up
COL15A1,1,True,True,True,True,4,True,1.6409882021008402,up
COL17A1,24,True,True,True,True,4,True,1.9916583873949578,up
COMP,23,True,True,True,True,4,True,1.862200268487395,up
CPA3,0,True,True,True,True,4,True,1.2581197016806716,up
CRTAC1,5,True,True,True,True,4,True,-1.5206121773109245,down
CSF3R,9,True,True,True,True,4,True,-1.161267864285715,down
CTSK,2,True,True,True,True,4,True,1.5175005747899157,up
CXCL1,26,True,True,True,True,4,True,1.2000334621848743,up
CXCL12,2,True,True,True,True,4,True,1.5049678802521005,up
CXCL13,2,True,True,True,True,4,True,1.5210742239495803,up
CXCL14,14,True,True,True,True,4,True,2.581016236134454,up
DCLK1,10,True,True,True,True,4,True,1.0327690831932779,up
DIO2,24,True,True,True,True,4,True,2.025140692436974,up
EDNRB,9,True,True,True,True,4,True,-1.2078016260504212,down
EPHA3,0,True,True,True,True,4,True,1.273047930252101,up
SACK1D,3,True,True,True,True,4,True,1.352755512605042,up
FAM107A,19,True,True,True,True,4,True,-1.6785554953781507,down
FAP,1,True,True,True,True,4,True,1.6291220134453779,up
FCN3,18,True,True,True,True,4,True,-2.360372337394958,down
FGF1,20,True,True,True,True,4,True,0.23545436848739507,up
FKBP5,17,True,True,True,True,4,True,-1.9846937000000016,down
FMO5,19,True,True,True,True,4,True,-1.8341238655462178,down
FNDC1,23,True,True,True,True,4,True,1.9181384226890759,up
FPR1,7,True,True,True,True,4,True,-1.0655198163865536,down
GEM,1,True,True,True,True,4,True,1.5977271802521014,up
GPR4,9,True,True,True,True,4,True,-1.186928835294117,down
GPR87,2,True,True,True,True,4,True,1.5478166899159662,up
GPX3,19,True,True,True,True,4,True,-1.8432335710084033,down
TAMALIN,8,True,True,True,True,4,True,-1.3361059176470589,down
GREM1,15,True,True,True,True,4,True,1.1293924323529407,up
GREM2,20,True,True,True,True,4,True,1.0226537205882358,up
GSTA1,2,True,True,True,True,4,True,1.5285634936974788,up
HGF,20,True,True,True,True,4,True,0.6346821865546219,up
HHIP,19,True,True,True,True,4,True,-1.688378460924369,down
HHLA2,10,True,True,True,True,4,True,1.0462594218487395,up
HIF3A,17,True,True,True,True,4,True,-2.053918816806722,down
HMCN1,16,True,True,True,True,4,True,1.1491593928571424,up
HSD17B6,5,True,True,True,True,4,True,-1.435604308823529,down
HSPA4L,16,True,True,True,True,4,True,1.139412976890756,up
ID1,8,True,True,True,True,4,True,-1.263721433613445,down
IFNG,26,True,True,True,True,4,True,0.3287568365546221,up
IGFL2,20,True,True,True,True,4,True,0.8089506298319329,up
IGF1,20,True,True,True,True,4,True,1.1960080289915973,up
IL1R2,18,True,True,True,True,4,True,-2.8346038840336125,down
IL1RL1,18,True,True,True,True,4,True,-2.491669969747899,down
IL1RN,20,True,True,True,True,4,True,0.925737505462185,up
IL13RA2,14,True,True,True,True,4,True,2.46627876302521,up
IL18R1,5,True,True,True,True,4,True,-1.5456121071428572,down
IL18RAP,5,True,True,True,True,4,True,-1.5338277596638663,down
IL33,21,True,True,True,True,4,True,0.8527953117647069,up
ITGA5,6,True,True,True,True,4,True,-0.4443194373949583,down
ITGA11,11,True,True,True,True,4,True,0.4388929558823525,up
ITGAV,11,True,True,True,True,4,True,0.4702510697478981,up
ITGB8,21,True,True,True,True,4,True,0.778794378151261,up
IVD,26,True,True,True,True,4,True,-0.3654429794117634,down
KDR,13,True,True,True,True,4,True,-0.7752289180672274,down
KRT5,14,True,True,True,True,4,True,2.348023582352942,up
KRT14,11,True,True,True,True,4,True,0.4670636424369756,up
KRT15,1,True,True,True,True,4,True,1.6907894810924384,up
KRT17,23,True,True,True,True,4,True,1.961212456722689,up
LAMA3,7,True,True,True,True,4,True,-1.0749465504201678,down
LIN7A,13,True,True,True,True,4,True,-0.7498814567226894,down
LOXL2,20,True,True,True,True,4,True,0.5015358243697472,up
LPL,7,True,True,True,True,4,True,-1.0137237978991605,down
LRRC17,2,True,True,True,True,4,True,1.5136831172268905,up
LRRN1,2,True,True,True,True,4,True,1.548978407983193,up
LTBP1,10,True,True,True,True,4,True,1.0842903029411761,up
LUM,16,True,True,True,True,4,True,1.1413893945378155,up
MARCKS,26,True,True,True,True,4,True,0.31615604201680736,up
MME,9,True,True,True,True,4,True,-1.2120376298319324,down
MMP1,14,True,True,True,True,4,True,3.513554586554622,up
MMP3,21,True,True,True,True,4,True,0.6522724869747898,up
MMP7,14,True,True,True,True,4,True,3.506376832773109,up
MMP10,0,True,True,True,True,4,True,1.2044644466386556,up
MMP13,4,True,True,True,True,4,True,1.409429977310925,up
MS4A2,4,True,True,True,True,4,True,1.3865133222689079,up
MXRA5,4,True,True,True,True,4,True,1.4677615987394965,up
NEK11,21,True,True,True,True,4,True,0.8524351731092434,up
NELL2,3,True,True,True,True,4,True,1.335074806302521,up
NPR1,8,True,True,True,True,4,True,-1.3685885088235294,down
OGN,0,True,True,True,True,4,True,1.2858829172268897,up
P2RY1,5,True,True,True,True,4,True,-1.537646939915966,down
PAPSS2,8,True,True,True,True,4,True,-1.36181993277311,down
PDGFRA,7,True,True,True,True,4,True,-1.0212270457983184,down
PECAM1,12,True,True,True,True,4,True,-0.434505753781512,down
PEBP4,19,True,True,True,True,4,True,-1.7254152680672257,down
PGC,17,True,True,True,True,4,True,-2.018696143697479,down
PLA2G1B,17,True,True,True,True,4,True,-2.1890591189075623,down
PLA2G4F,9,True,True,True,True,4,True,-1.220476977310924,down
PLLP,8,True,True,True,True,4,True,-1.3480770168067222,down
PLOD2,26,True,True,True,True,4,True,0.5043725999999988,up
POSTN,1,True,True,True,True,4,True,1.623082505462186,up
PPP1R14A,13,True,True,True,True,4,True,-0.7552397252100831,down
PRSS12,16,True,True,True,True,4,True,1.1679327130252104,up
PSD3,10,True,True,True,True,4,True,1.0641615760504197,up
PTPRB,5,True,True,True,True,4,True,-1.4923426882352933,down
S100A8,5,True,True,True,True,4,True,-1.480511689915966,down
S100A12,17,True,True,True,True,4,True,-2.033734993697479,down
SCN7A,8,True,True,True,True,4,True,-1.2629530273109244,down
SERPINB3,23,True,True,True,True,4,True,1.76620088907563,up
SERPIND1,3,True,True,True,True,4,True,1.3370664894957982,up
SFRP2,14,True,True,True,True,4,True,3.2698154596638664,up
SFRP4,23,True,True,True,True,4,True,1.8203590134453784,up
SFTPA2,6,True,True,True,True,4,True,-0.5829970084033599,down
SLAMF7,24,True,True,True,True,4,True,2.057954702521009,up
SLC6A4,18,True,True,True,True,4,True,-2.7155972550420175,down
SLC27A2,3,True,True,True,True,4,True,1.3123408768907563,up
SLC39A8,8,True,True,True,True,4,True,-1.4013367352941186,down
SLCO2A1,5,True,True,True,True,4,True,-1.4818245647058823,down
SLCO4A1,18,True,True,True,True,4,True,-2.3931474756302524,down
SLN,4,True,True,True,True,4,True,1.4629452920168073,up
SMAD6,8,True,True,True,True,4,True,-1.323229846218488,down
SMAD7,12,True,True,True,True,4,True,-0.6407579063025205,down
SOX2,4,True,True,True,True,4,True,1.386562880672268,up
SPP1,14,True,True,True,True,4,True,2.670992408823528,up
STX11,7,True,True,True,True,4,True,-0.9579109894957987,down
SULF1,24,True,True,True,True,4,True,2.0033658046218497,up
SYNPO2,3,True,True,True,True,4,True,1.3296727231092444,up
SYTL2,21,True,True,True,True,4,True,0.8260288470588233,up
TDO2,24,True,True,True,True,4,True,2.001006884033613,up
TGFB2,21,True,True,True,True,4,True,0.8141136050420175,up
THBS2,4,True,True,True,True,4,True,1.4393263819327728,up
THY1,24,True,True,True,True,4,True,2.050146281932773,up
TIMP3,7,True,True,True,True,4,True,-1.054319136974789,down
TMEM45A,4,True,True,True,True,4,True,1.449523005462184,up
TMEM100,18,True,True,True,True,4,True,-2.4023922382352936,down
TMPRSS4,24,True,True,True,True,4,True,2.0107660810924366,up
TNNC1,6,True,True,True,True,4,True,-0.9680891193277315,down
TP63,24,True,True,True,True,4,True,2.013753095378151,up
TRIM2,15,True,True,True,True,4,True,1.1139942113445385,up
TSPAN1,2,True,True,True,True,4,True,1.5541640193277324,up
VCAM1,23,True,True,True,True,4,True,1.9105556079831936,up
VIPR1,18,True,True,True,True,4,True,-2.4159341592436987,down
VSIG1,4,True,True,True,True,4,True,1.4211288163865539,up
WDR49,3,True,True,True,True,4,True,1.355466924369748,up
WNT5A,11,True,True,True,True,4,True,0.5282038399159666,up
ZBTB16,17,True,True,True,True,4,True,-2.0347361894958005,down
ATP11A,25,True,False,True,True,4,False,-0.36550312310924393,down
BMPR2,25,True,False,True,True,4,False,-0.5096283155462178,down
DNAI7,22,True,False,True,True,4,False,0.9283546865546218,up
CCL2,26,True,False,True,True,4,False,1.456409821428572,up
CCL18,21,True,False,True,True,4,False,0.7536657369747899,up
CHI3L2,7,True,False,True,True,4,False,-1.1067646533613456,down
CLCA2,22,True,True,True,True,4,False,0.9003472718487396,up
COL3A1,2,True,False,True,True,4,False,1.521594415966387,up
COL5A2,22,True,False,True,True,4,False,0.919966092436974,up
DNAH7,16,True,False,True,True,4,False,1.149529650840336,up
DPP9,25,True,False,True,True,4,False,-0.20107173445378201,down
DSP,20,True,False,True,True,4,False,0.5327447840336135,up
EDNRA,20,True,False,True,True,4,False,0.49729810504201666,up
EGFR,25,True,False,True,True,4,False,-0.3651183243697481,down
ENG,6,True,False,True,True,4,False,-0.4919356672268907,down
EZH1,26,True,False,True,True,4,False,-0.36391367100840344,down
FAM13A,25,True,False,True,True,4,False,-0.04718916722689137,down
FAM81B,4,True,False,True,True,4,False,1.3861866063025208,up
FANK1,0,True,False,True,True,4,False,1.2372294281512604,up
FGF7,25,True,True,True,True,4,False,0.606139943697479,up
GPNMB,26,True,False,True,True,4,False,0.59764875672269,up
HECTD2,11,True,False,True,True,4,False,0.29830811932772944,up
LAMC2,26,True,False,True,True,4,False,0.32811288991596554,up
LRRC32,13,True,False,True,True,4,False,-0.8686391508403364,down
MGAM,5,True,False,True,True,4,False,-1.4522598403361344,down
MNS1,16,True,False,True,True,4,False,1.1341916936974787,up
MSMB,23,True,False,True,True,4,False,1.8066128655462181,up
MUC5B,22,True,True,True,True,4,False,0.9672519684873944,up
NOTCH1,12,True,False,True,True,4,False,-0.37968676638655485,down
S100A9,7,True,False,True,True,4,False,-1.0678998626050418,down
SERPINI2,22,True,False,True,True,4,False,0.879575470588235,up
SFTPD,12,True,False,True,True,4,False,-0.5762561647058826,down
SPATA17,10,True,False,True,True,4,False,1.0279054008403359,up
SPATA18,2,True,False,True,True,4,False,1.5579126088235298,up
STOML3,15,True,False,True,True,4,False,1.1242034764705882,up
