gene,cluster_id,max_level_survived,mean_log2fc,direction
ABCA13,0,4,1.2009593340336142,up
C12orf75,0,4,1.2215298306722693,up
CFH,0,4,1.2264336516806718,up
COL6A3,0,4,1.1996468512605032,up
CPA3,0,4,1.2581197016806716,up
EPHA3,0,4,1.273047930252101,up
MMP10,0,4,1.2044644466386556,up
OGN,0,4,1.2858829172268897,up
COL15A1,1,4,1.6409882021008402,up
FAP,1,4,1.6291220134453779,up
GEM,1,4,1.5977271802521014,up
KRT15,1,4,1.6907894810924384,up
POSTN,1,4,1.623082505462186,up
CTSK,2,4,1.5175005747899157,up
CXCL12,2,4,1.5049678802521005,up
CXCL13,2,4,1.5210742239495803,up
GPR87,2,4,1.5478166899159662,up
GSTA1,2,4,1.5285634936974788,up
LRRC17,2,4,1.5136831172268905,up
LRRN1,2,4,1.548978407983193,up
TSPAN1,2,4,1.5541640193277324,up
CDH2,3,4,1.3147811319327727,up
NELL2,3,4,1.335074806302521,up
SACK1D,3,4,1.352755512605042,up
SERPIND1,3,4,1.3370664894957982,up
SLC27A2,3,4,1.3123408768907563,up
SYNPO2,3,4,1.3296727231092444,up
WDR49,3,4,1.355466924369748,up
MMP13,4,4,1.409429977310925,up
MS4A2,4,4,1.3865133222689079,up
MXRA5,4,4,1.4677615987394965,up
SLN,4,4,1.4629452920168073,up
SOX2,4,4,1.386562880672268,up
THBS2,4,4,1.4393263819327728,up
TMEM45A,4,4,1.449523005462184,up
VSIG1,4,4,1.4211288163865539,up
ABCA3,5,4,-1.493511229411764,down
CRTAC1,5,4,-1.5206121773109245,down
HSD17B6,5,4,-1.435604308823529,down
IL18R1,5,4,-1.5456121071428572,down
IL18RAP,5,4,-1.5338277596638663,down
P2RY1,5,4,-1.537646939915966,down
PTPRB,5,4,-1.4923426882352933,down
S100A8,5,4,-1.480511689915966,down
SLCO2A1,5,4,-1.4818245647058823,down
ADAM17,6,4,-0.3868764121848744,down
CA2,6,4,-1.152340903781511,down
ITGA5,6,4,-0.4443194373949583,down
SFTPA2,6,4,-0.5829970084033599,down
TNNC1,6,4,-0.9680891193277315,down
AFF3,7,4,-1.058861032352942,down
CDH13,7,4,-1.1093921348739495,down
FPR1,7,4,-1.0655198163865536,down
LAMA3,7,4,-1.0749465504201678,down
LPL,7,4,-1.0137237978991605,down
PDGFRA,7,4,-1.0212270457983184,down
STX11,7,4,-0.9579109894957987,down
TIMP3,7,4,-1.054319136974789,down
ACADL,8,4,-1.335066446218487,down
ANXA3,8,4,-1.291761978991596,down
CACNA2D2,8,4,-1.2869484134453784,down
ID1,8,4,-1.263721433613445,down
NPR1,8,4,-1.3685885088235294,down
PAPSS2,8,4,-1.36181993277311,down
PLLP,8,4,-1.3480770168067222,down
SCN7A,8,4,-1.2629530273109244,down
SLC39A8,8,4,-1.4013367352941186,down
SMAD6,8,4,-1.323229846218488,down
TAMALIN,8,4,-1.3361059176470589,down
ACVRL1,9,4,-1.2146371794117647,down
AGER,9,4,-1.1776205071428572,down
CSF3R,9,4,-1.161267864285715,down
EDNRB,9,4,-1.2078016260504212,down
GPR4,9,4,-1.186928835294117,down
MME,9,4,-1.2120376298319324,down
PLA2G4F,9,4,-1.220476977310924,down
COL1A2,10,4,1.062643636974792,up
DCLK1,10,4,1.0327690831932779,up
HHLA2,10,4,1.0462594218487395,up
LTBP1,10,4,1.0842903029411761,up
PSD3,10,4,1.0641615760504197,up
ITGA11,11,4,0.4388929558823525,up
ITGAV,11,4,0.4702510697478981,up
KRT14,11,4,0.4670636424369756,up
WNT5A,11,4,0.5282038399159666,up
AKAP13,12,4,-0.42662213907562885,down
PECAM1,12,4,-0.434505753781512,down
SMAD7,12,4,-0.6407579063025205,down
AOC3,13,4,-0.7993873815126054,down
CDH5,13,4,-0.7767756600840332,down
KDR,13,4,-0.7752289180672274,down
LIN7A,13,4,-0.7498814567226894,down
PPP1R14A,13,4,-0.7552397252100831,down
ASPN,14,4,2.810243460084033,up
COL14A1,14,4,2.3983968201680668,up
CXCL14,14,4,2.581016236134454,up
IL13RA2,14,4,2.46627876302521,up
KRT5,14,4,2.348023582352942,up
MMP1,14,4,3.513554586554622,up
MMP7,14,4,3.506376832773109,up
SFRP2,14,4,3.2698154596638664,up
SPP1,14,4,2.670992408823528,up
BCHE,15,4,1.100321761344538,up
GREM1,15,4,1.1293924323529407,up
TRIM2,15,4,1.1139942113445385,up
HMCN1,16,4,1.1491593928571424,up
HSPA4L,16,4,1.139412976890756,up
LUM,16,4,1.1413893945378155,up
PRSS12,16,4,1.1679327130252104,up
CA4,17,4,-2.0444199760504196,down
FKBP5,17,4,-1.9846937000000016,down
HIF3A,17,4,-2.053918816806722,down
PGC,17,4,-2.018696143697479,down
PLA2G1B,17,4,-2.1890591189075623,down
S100A12,17,4,-2.033734993697479,down
ZBTB16,17,4,-2.0347361894958005,down
FCN3,18,4,-2.360372337394958,down
IL1R2,18,4,-2.8346038840336125,down
IL1RL1,18,4,-2.491669969747899,down
SLC6A4,18,4,-2.7155972550420175,down
SLCO4A1,18,4,-2.3931474756302524,down
TMEM100,18,4,-2.4023922382352936,down
VIPR1,18,4,-2.4159341592436987,down
CLEC4E,19,4,-1.8111326563025198,down
FAM107A,19,4,-1.6785554953781507,down
FMO5,19,4,-1.8341238655462178,down
GPX3,19,4,-1.8432335710084033,down
HHIP,19,4,-1.688378460924369,down
PEBP4,19,4,-1.7254152680672257,down
FGF1,20,4,0.23545436848739507,up
GREM2,20,4,1.0226537205882358,up
HGF,20,4,0.6346821865546219,up
IGF1,20,4,1.1960080289915973,up
IGFL2,20,4,0.8089506298319329,up
IL1RN,20,4,0.925737505462185,up
LOXL2,20,4,0.5015358243697472,up
BMP4,21,4,0.7380155785714285,up
IL33,21,4,0.8527953117647069,up
ITGB8,21,4,0.778794378151261,up
MMP3,21,4,0.6522724869747898,up
NEK11,21,4,0.8524351731092434,up
SYTL2,21,4,0.8260288470588233,up
TGFB2,21,4,0.8141136050420175,up
CDH3,23,4,1.96769439789916,up
CLDN1,23,4,1.9269208823529405,up
COL1A1,23,4,1.932028327310924,up
COMP,23,4,1.862200268487395,up
FNDC1,23,4,1.9181384226890759,up
KRT17,23,4,1.961212456722689,up
SERPINB3,23,4,1.76620088907563,up
SFRP4,23,4,1.8203590134453784,up
VCAM1,23,4,1.9105556079831936,up
COL17A1,24,4,1.9916583873949578,up
DIO2,24,4,2.025140692436974,up
SLAMF7,24,4,2.057954702521009,up
SULF1,24,4,2.0033658046218497,up
TDO2,24,4,2.001006884033613,up
THY1,24,4,2.050146281932773,up
TMPRSS4,24,4,2.0107660810924366,up
TP63,24,4,2.013753095378151,up
CXCL1,26,4,1.2000334621848743,up
IFNG,26,4,0.3287568365546221,up
IVD,26,4,-0.3654429794117634,down
MARCKS,26,4,0.31615604201680736,up
PLOD2,26,4,0.5043725999999988,up
