gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ABCA3,2,2,-1.1411310566274508,True
ABCA13,2,2,1.5760794988963593,True
ACADL,2,2,-1.2664618246400559,True
ADAMTS14,2,2,0.39497203988305296,True
AFF3,2,2,-1.9209415685343143,True
AGER,2,2,-1.278265323128152,True
AOC3,2,2,-0.6715842362577029,True
ASPN,2,2,2.735135089657562,True
BCHE,2,2,1.207921193344538,True
BMP4,2,2,0.817920623752801,True
C12orf75,2,2,1.5463349766771715,True
CA4,2,2,-1.502036063692576,True
CACNA2D2,2,2,-0.86721152027381,True
DNAI7,2,2,1.3904716408095243,True
CCL18,2,2,1.4727849725728301,True
CDH3,2,2,1.7566242339481786,True
CDH13,2,2,-1.0180390233249295,True
CFH,2,2,1.1414113662640055,True
CHI3L2,2,2,-1.7629423110672273,True
CLCA2,2,2,1.5411275332114849,True
CLDN1,2,2,1.392601247142156,True
CLEC4E,2,2,-2.0827251513956573,True
COL1A1,2,2,1.6556844639775905,True
COL1A2,2,2,1.0072104777100863,True
COL3A1,2,2,1.4919569576330547,True
COL5A1,2,2,0.7703803406323528,True
COL5A2,2,2,0.8257250504614837,True
COL6A3,2,2,0.904811852682073,True
COL14A1,2,2,2.0931623133004202,True
COL15A1,2,2,1.9212426135567222,True
COL17A1,2,2,1.0616866508067222,True
COMP,2,2,1.766470446487395,True
CRTAC1,2,2,-1.1915585715413162,True
CSF3R,2,2,-1.4842235000014012,True
CTSK,2,2,1.2689629974124648,True
CXCL12,2,2,1.2471934619530805,True
CXCL14,2,2,2.24870234032563,True
CXCR2,2,2,-1.635698192059523,True
DCLK1,2,2,1.555918143629552,True
DIO2,2,2,1.4511455716624646,True
DNAH9,2,2,1.095464656644959,True
DZIP3,2,2,1.365400332787115,True
EDNRB,2,2,-1.2853597349033619,True
ENG,2,2,0.1453031428025211,False
EPHA3,2,2,1.8455941360560222,True
FAM81B,2,2,1.89294250165056,True
FAM107A,2,2,-1.5527219455252097,True
FANK1,2,2,1.4745484247836127,True
FGF1,2,2,0.572461658051121,True
FKBP5,2,2,-1.7389287051960802,True
FMO5,2,2,-1.8799583822275903,True
FN1,2,2,0.5029174488235286,True
FNDC1,2,2,1.8921407817822136,True
FPR1,2,2,-1.8097475436316501,True
GPNMB,2,2,0.7196111275315147,True
GPR4,2,2,-1.3187195329509804,True
GPR87,2,2,1.5268864217394957,True
GPX3,2,2,-1.3207371628221298,True
TAMALIN,2,2,-0.9517890176078434,True
GSTA1,2,2,2.007152128805322,True
HHIP,2,2,-1.2640650678900545,True
HHLA2,2,2,1.3228247194320732,True
HIF3A,2,2,-1.4748566370027993,True
HMCN1,2,2,1.2660829570581233,True
HS6ST2,2,2,1.5498141952731093,True
HSD17B6,2,2,-1.0943606686372545,True
HSPA4L,2,2,1.3079688355868346,True
ID1,2,2,-1.0492013438095227,True
IGFL2,2,2,0.4720561202387965,True
IL1R2,2,2,-3.640147056317928,True
IL1RL1,2,2,-1.9551195595616253,True
IL6,2,2,-2.0329793084579824,True
IL10,2,2,-0.6101438692114844,True
IL13RA2,2,2,1.788607367520308,True
IL18R1,2,2,-1.9621029492899158,True
