gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ABTB1,3,2,-0.08193093619117302,True
ATP2B3,3,2,0.053790575249607876,True
BBS7,3,2,-0.12841670109114092,True
CRYM,3,2,-0.45726952536909504,True
DUSP18,3,2,0.6167962513027937,True
EPB41L3,3,2,0.06285621916242452,True
EXTL2,3,2,0.018489209565863973,True
GAPVD1,3,2,0.26639726279187875,True
HCCS,3,2,0.022386539360573554,True
HERC3,3,2,-0.09468819469581409,True
HSP90AA1,3,2,0.47346432621308726,True
HSPD1,3,2,0.6412061539203403,True
MADD,3,2,-0.027140585412402274,True
MKNK2,3,3,0.7266210076814046,True
NEFM,3,2,-0.03187959560694805,False
NOS2,2,2,-0.34864669611186505,False
PAM,3,2,0.24328142832087973,False
PDS5B,3,2,0.12983501569018005,True
PHACTR3,3,2,0.5023582951499007,True
PIEZO1,3,2,0.6963493001663285,True
PMP2,3,2,0.8355271311540212,True
PPARA,2,2,0.6545049673564671,True
PPP2R1A,3,2,0.1143648957238046,True
PSEN2,3,2,-0.006919838312675471,True
PTN,3,2,0.4478372728741773,True
RETREG2,3,2,-0.16058714502301394,True
RNF175,3,2,0.13317395327436068,False
SAMD1,3,2,0.21479350475236694,True
SCARA3,3,2,0.6944593844327711,True
SNU13,3,2,-0.0334845409236495,True
SOWAHC,3,2,0.6550193248627191,True
STK40,3,2,0.4927747213293528,True
SYT11,3,2,0.09706882962558083,True
TFPI,2,2,1.0775407870985907,True
TNFSF12,3,2,0.33089709920666416,True
TXNIP,2,2,0.7214544982694329,True
VAT1,3,2,0.34488869777356906,True
ZFP14,3,2,0.191819827675315,False
