gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
EPB41L3,0,True,True,True,True,4,True,0.06285621916242452,up
SNU13,0,True,True,True,True,4,True,-0.0334845409236495,down
CRYM,0,True,False,True,True,4,False,-0.45726952536909504,down
DUSP18,1,True,False,True,True,4,False,0.6167962513027937,up
HERC3,0,True,False,True,True,4,False,-0.09468819469581409,down
MKNK2,1,True,False,True,True,4,False,0.7266210076814046,up
NOS2,0,True,False,True,True,4,False,-0.34864669611186505,down
PMP2,1,True,False,True,True,4,False,0.8355271311540212,up
TFPI,1,True,False,True,True,4,False,1.0775407870985907,up
BBS7,0,True,True,True,False,3,True,-0.12841670109114092,down
EXTL2,0,True,True,True,False,3,True,0.018489209565863973,up
RETREG2,0,True,True,True,False,3,True,-0.16058714502301394,down
ATP2B3,0,True,False,True,False,3,False,0.053790575249607876,up
HSPD1,1,True,True,True,False,3,False,0.6412061539203403,up
PIEZO1,1,True,False,True,False,3,False,0.6963493001663285,up
PPP2R1A,0,True,False,True,False,3,False,0.1143648957238046,up
PSEN2,0,True,False,True,False,3,False,-0.006919838312675471,down
SCARA3,1,True,False,True,False,3,False,0.6944593844327711,up
SOWAHC,1,True,False,True,False,3,False,0.6550193248627191,up
SYT11,0,True,False,True,False,3,False,0.09706882962558083,up
TXNIP,1,True,True,True,False,3,False,0.7214544982694329,up
ABTB1,0,True,False,False,False,1,False,-0.08193093619117302,down
GAPVD1,0,True,False,False,False,1,False,0.26639726279187875,up
HCCS,0,True,False,False,False,1,False,0.022386539360573554,up
HSP90AA1,0,True,False,False,False,1,False,0.47346432621308726,up
MADD,0,True,False,False,False,1,False,-0.027140585412402274,down
NEFM,0,True,False,False,False,1,False,-0.03187959560694805,down
PAM,0,True,False,False,False,1,False,0.24328142832087973,up
PDS5B,0,True,False,False,False,1,False,0.12983501569018005,up
PHACTR3,2,True,False,False,False,1,False,0.5023582951499007,up
PPARA,2,True,False,False,False,1,False,0.6545049673564671,up
PTN,2,True,False,False,False,1,False,0.4478372728741773,up
RNF175,0,True,False,False,False,1,False,0.13317395327436068,up
SAMD1,2,True,False,False,False,1,False,0.21479350475236694,up
STK40,2,True,False,False,False,1,False,0.4927747213293528,up
TNFSF12,2,True,False,False,False,1,False,0.33089709920666416,up
VAT1,2,True,False,False,False,1,False,0.34488869777356906,up
ZFP14,0,True,False,False,False,1,False,0.191819827675315,up
