trial,seed_file,phase1_study_genes,phase4_core_genes,phase4_significant_clusters,phase5_survived,phase6_significant,qc_status,wall_seconds,status
1,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_001.csv,44,14,1,14,4,PASSED,113.7,OK
2,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_002.csv,45,15,1,15,13,PASSED,109.6,OK
3,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_003.csv,29,4,1,4,1,PASSED,102.8,OK
4,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_004.csv,50,11,1,11,7,PASSED,101.5,OK
5,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_005.csv,37,4,1,4,0,PASSED,100.2,OK
6,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_006.csv,49,13,1,13,10,PASSED,101.6,OK
7,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_007.csv,43,11,1,11,7,PASSED,100.7,OK
8,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_008.csv,50,10,1,10,4,PASSED,101.0,OK
9,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_009.csv,45,9,1,9,5,PASSED,101.3,OK
10,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_010.csv,48,14,1,13,4,PASSED,101.8,OK
11,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_011.csv,41,16,1,16,11,PASSED,100.9,OK
12,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_012.csv,46,14,1,14,9,PASSED,101.3,OK
13,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_013.csv,49,15,1,15,8,PASSED,101.9,OK
14,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_014.csv,56,8,1,8,4,PASSED,102.2,OK
15,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_015.csv,48,9,1,9,7,PASSED,102.3,OK
16,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_016.csv,50,19,1,19,10,PASSED,101.3,OK
17,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_017.csv,41,4,1,4,1,PASSED,98.9,OK
18,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_018.csv,56,15,1,15,7,PASSED,101.5,OK
19,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_019.csv,31,4,0,4,4,PASSED,100.8,OK
20,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_020.csv,52,8,1,8,4,PASSED,100.6,OK
21,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_021.csv,50,13,1,13,5,PASSED,102.8,OK
22,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_022.csv,48,14,1,14,10,PASSED,99.5,OK
23,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_023.csv,52,16,1,16,10,PASSED,102.3,OK
24,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_024.csv,61,13,1,12,5,PASSED,102.8,OK
25,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_025.csv,45,13,1,13,6,PASSED,101.6,OK
26,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_026.csv,47,8,1,8,4,PASSED,101.8,OK
27,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_027.csv,49,13,1,13,11,PASSED,99.4,OK
28,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_028.csv,46,11,1,10,2,PASSED,99.5,OK
29,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_029.csv,42,12,1,11,6,PASSED,99.0,OK
30,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_030.csv,55,15,1,15,11,PASSED,101.1,OK
31,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_031.csv,38,14,1,14,11,PASSED,99.5,OK
32,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_032.csv,42,10,0,10,4,PASSED,102.6,OK
33,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_033.csv,46,13,1,13,8,PASSED,109.0,OK
34,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_034.csv,41,13,1,13,7,PASSED,104.0,OK
35,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_035.csv,50,16,1,15,9,PASSED,102.5,OK
36,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_036.csv,51,14,0,14,8,PASSED,102.4,OK
37,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_037.csv,41,12,0,12,7,PASSED,101.4,OK
38,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_038.csv,46,3,1,3,1,PASSED,100.8,OK
39,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_039.csv,49,11,0,11,8,PASSED,101.8,OK
40,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_040.csv,55,13,0,13,7,PASSED,101.7,OK
41,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_041.csv,62,13,1,12,8,PASSED,103.3,OK
42,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_042.csv,46,13,1,13,8,PASSED,99.3,OK
43,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_043.csv,52,15,1,15,10,PASSED,100.2,OK
44,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_044.csv,45,9,1,9,5,PASSED,101.3,OK
45,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_045.csv,40,12,1,12,5,PASSED,98.1,OK
46,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_046.csv,40,8,1,8,4,PASSED,99.5,OK
47,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_047.csv,47,12,1,11,7,PASSED,99.9,OK
48,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_048.csv,44,4,1,4,1,PASSED,100.3,OK
49,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_049.csv,31,4,0,4,3,PASSED,99.9,OK
50,/home/kai001/riker-engine/data/seeds/negative_control_trials/trial_050.csv,48,10,1,10,5,PASSED,101.3,OK
