gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
APOC1,0,True,True,True,True,4,True,0.9050275732561341,0.9050275732561341,up
ATP5F1A,2,True,True,True,True,4,True,0.1947665866426466,0.1947665866426466,up
CHSY1,0,True,True,True,True,4,True,0.5153773718276226,0.3836273291695136,up
MAPKAPK2,0,True,True,True,True,4,True,0.4883339900103964,0.6539921268768489,up
NCKIPSD,3,True,True,True,True,4,True,0.006878943084226208,-0.37235084732933466,down
PARN,3,True,True,True,True,4,True,0.0075917023313119,-0.22865956628747286,down
PIK3AP1,0,True,True,True,True,4,True,0.953136840672439,0.953136840672439,up
PNP,2,True,True,True,True,4,True,0.9351798081040412,0.9351798081040412,up
UBLCP1,2,True,True,True,True,4,True,0.10474986505346469,0.10474986505346469,up
VAMP1,3,True,True,True,True,4,True,-0.313094602301879,-0.9075396805426736,down
CHN1,2,True,False,True,True,4,False,0.0233658620431522,0.1560262130647283,up
ELOVL4,3,True,False,True,True,4,False,-0.022203075288304674,-0.45390668946432466,down
FNDC5,2,True,False,True,True,4,False,0.03492985000926888,0.17200839312608274,up
FUCA1,2,True,False,True,True,4,False,0.13183619583706566,0.23986786589085551,up
GHITM,2,True,False,True,True,4,False,0.2531205705989971,0.45328241518054657,up
GHR,0,True,False,True,True,4,False,0.9516382874496573,0.9516382874496573,up
HERC3,3,True,False,True,True,4,False,-0.09468819469581409,-0.3474194010705176,down
JAM2,2,True,False,True,True,4,False,0.5210411181096575,0.8262626825411035,up
PGP,3,True,False,True,True,4,False,0.02969870189107689,-0.2780367043154204,down
PREX1,0,True,False,True,True,4,False,0.42303525260844044,0.48921834532653596,up
RRP15,2,True,False,True,True,4,False,0.41322618007055967,0.7479222581734266,up
SOX9,0,True,False,True,True,4,False,0.714067261531817,0.5508290755857739,up
USP11,3,True,False,True,True,4,False,-0.05343883787234146,-0.3731875733030954,down
SLC45A1,2,True,True,True,False,3,True,-0.04806255805905598,-0.04806255805905598,down
CUTA,2,True,False,True,False,3,False,0.33350710108385595,0.5465169510103993,up
FBXO40,3,True,False,True,False,3,False,-0.3907390015059853,-0.3907390015059853,down
KLHL42,4,True,False,True,False,3,False,-0.006684818052767365,-0.29766008790802534,down
NIPSNAP2,4,True,False,True,False,3,False,0.13727301422820778,-0.2125862112398913,down
NR3C1,3,True,False,True,False,3,False,0.07705681276307381,-0.29349212862691987,down
OAS3,0,True,False,True,False,3,False,0.7548494767919145,0.7548494767919145,up
RTN4IP1,4,True,False,True,False,3,False,-0.006962757789995629,-0.2825686147272479,down
SNAP23,0,True,False,True,False,3,False,0.5618373238952247,0.481361234699893,up
UBTD1,1,True,True,True,False,3,False,0.33599912131321,0.3479733381964438,up
VPS45,4,True,False,True,False,3,False,0.1690592134925799,-0.22658864938225554,down
BAX,1,True,False,False,False,1,False,0.34706096998805425,0.3296681899275744,up
CREB3L2,0,True,False,False,False,1,False,0.6714425915670835,0.9427094609477411,up
IL13RA1,0,True,False,False,False,1,False,0.5582445229942823,0.7614299465606242,up
IRF9,0,True,False,False,False,1,False,0.8692778219245376,0.8692778219245376,up
LRPPRC,4,True,False,False,False,1,False,0.1472873317596418,-0.3074020635885599,down
OGA,2,True,False,False,False,1,False,0.35715075681132574,0.5934378457474927,up
PCGF3,1,True,False,False,False,1,False,0.27749979622905174,0.27749979622905174,up
PDCD4,2,True,False,False,False,1,False,0.3672758913393401,0.4718407012397785,up
PPARA,0,True,False,False,False,1,False,0.6545049673564671,0.6545049673564671,up
RAMAC,4,True,False,False,False,1,False,-0.005937153371331642,-0.20872590163994698,down
SEC61B,1,True,False,False,False,1,False,0.4674861426306401,0.16914646436854142,up
SMARCC1,1,True,False,False,False,1,False,0.4551965231984279,0.25842464364843254,up
STX2,1,True,False,False,False,1,False,0.39311581993096567,0.22263598910675064,up
TEAD2,0,True,False,False,False,1,False,0.6862414761145077,0.6862414761145077,up
TIMCC,4,True,False,False,False,1,False,0.1808450089687462,-0.2508760455607202,down
TSPAN14,1,True,False,False,False,1,False,0.37118855768203396,0.41885524879111724,up
