gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
BIRC3,0,0.5534435386019315,0.28133458883245577,0.04915928330978273,0.32039408936294644,0.10063668657287025,0.0014542024779976928,81.33587527727353,0.1816148777041065,10.715744936941451,3,up
CXCL16,0,0.7855515194968731,0.1898390612791345,3.503666047549158e-05,0.6941173890397351,0.1136249429096721,1.0035348729836574e-09,35.401640216896055,0.04220419942573028,3.096053842102522,3,up
ERBB2,0,0.5309751768974099,0.19450907100920575,0.006336849525823325,0.3920439322850283,0.08304028193778688,2.3453843998990254e-06,61.88056189068446,0.06513806152739986,5.246667052815883,3,up
HSPB1,0,1.2984895668817211,0.49084872726894496,0.008159521400970628,0.8864977689372446,0.15628558122113664,1.4089787674279589e-08,74.79439490502789,0.5301022715905449,7.9347430560155425,3,up
ITGAV,0,0.40329801631482987,0.1167756482595782,0.0005531284180533227,0.3745018340151965,0.09033518581190897,3.387893544595498e-05,18.78929510616997,0.009721019265551602,2.4627295165270136,3,up
MAPKAPK2,0,0.4851413515576027,0.3295214410239354,0.14095058644365926,0.22487040107105158,0.05838095829061324,0.0001172640430613881,82.25903899886472,0.25593190938645827,11.273346465684781,3,up
MGST1,0,0.7749077862554068,0.25961705687273184,0.0028375380571138502,0.723399415793104,0.13989394479558168,2.3277485114017986e-07,59.63878524942391,0.1154635370251449,4.95525224490785,3,up
NEK6,0,0.5435229223443311,0.24049234354388557,0.023818611956580516,0.3829875316371628,0.07021690120275402,4.9152397811199364e-08,81.88661627572016,0.11666173905509057,11.041559271551932,3,up
SLC16A3,0,0.7473404803104098,0.3081783670162237,0.015307300330256941,0.6382467325796625,0.117301733761284,5.296203414591989e-08,67.93456287278799,0.1911715055221615,6.23724539311744,3,up
ATP6V1C1,4,-0.3030237251216629,0.24658461512335555,0.21911554912925757,-0.3717555305316311,0.08988035217072607,3.5323422870207384e-05,69.13586042356515,0.11372439315962901,6.480012167671198,3,down
IDH3A,4,-0.3459263836581246,0.11780188982851975,0.003319285165508913,-0.3388837964124218,0.05262419663156572,1.197135143709249e-10,51.850348723350834,0.020229964761664,4.153716479707772,3,down
RMND1,4,-0.2490378280153369,0.11820150830438038,0.035126930653854596,-0.26877211829534686,0.059329318504264546,5.8935212232599485e-06,61.19781828385723,0.022457708745058456,5.154349347237723,3,down
SPINT2,4,-0.2766181807816685,0.21096580261189762,0.18979048992240155,-0.3194269422025359,0.0764104836042281,2.9098744019693526e-05,75.16538434752682,0.08703184838012833,8.053275428085104,3,down
