gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ACTR6,3,2,0.1493021103168554,-0.3555935825449845,True
APBA2,3,2,-0.1120479988772356,-0.26454672328367046,True
ARID4B,3,2,0.5272834580794452,0.7611941126322019,True
ARL3,3,2,0.04018304859287388,-0.23586885066873542,True
ATP5MC1,3,2,0.07250522049290427,-0.313207488483213,True
BST2,3,3,0.8618405843978599,0.8618405843978599,True
C10orf88,3,2,-0.06606384191367749,-0.2477895548979867,True
COL4A1,3,2,0.9017655517352563,1.204914814017626,True
CORO2A,3,2,-0.23940610817364436,-0.610684247178841,True
DIPK1B,3,2,0.014464900444779735,-0.21316472861315905,True
DPP8,3,2,0.01739966438109075,-0.391246006286051,True
HMG20B,3,3,0.5584636539721471,0.5584636539721471,True
IL17RD,3,2,0.6019929614957084,0.8478785014775365,True
INO80C,3,2,0.1868456259112589,0.3155824454228644,False
MANF,3,2,0.6389588429198407,0.3830609957079105,True
MRPL15,3,2,0.04071458846213553,-0.33786915273281326,True
MT2A,3,2,0.8593005868952842,0.829672690581889,True
NGFR,2,2,0.28721010586669715,0.28721010586669715,True
NMNAT2,3,2,-0.25216094568366404,-0.5083146875348756,True
NTN4,3,2,-0.057506912097908224,-0.4987694890673431,True
NUP54,3,2,0.24035713834992686,0.45395774498264263,False
PEG3,3,2,0.22600897912016768,0.3850413547924312,False
PGP,3,2,0.02969870189107689,-0.2780367043154204,True
PLK3,3,2,0.40310298325256627,0.5609858175560929,True
PLPP7,3,2,0.05376655054024434,-0.2218684739158001,True
PPARA,2,2,0.6545049673564671,0.6545049673564671,True
PRSS35,2,2,0.34763422243909137,0.34763422243909137,True
PXN,2,2,0.6127616138627969,0.6127616138627969,True
RAB13,3,2,0.5376332718849957,0.685471432928313,True
SLA,3,3,0.6587424625623977,0.6587424625623977,True
SLC35B4,3,2,-0.17812215089565964,-0.3652309893185959,True
SNX14,3,2,0.1657591540444742,-0.27415390903181835,True
SP110,3,3,0.8950186882162559,0.8950186882162559,True
STYXL1,3,2,0.5611699152035912,0.41848098926895605,True
TCEAL9,3,3,0.5034853370089678,0.5034853370089678,True
TLCD3A,3,2,0.4234527086756545,0.66826657691861,True
TNFRSF10B,2,2,1.0331259304913258,1.0331259304913258,True
TRAF3IP2,3,2,0.7410217508290377,0.6065930624831748,True
TRIM68,3,2,0.2066515094036855,0.30110364848052806,False
ZFYVE21,3,2,0.6446734493457775,0.2753867854175054,True
ZNF10,3,2,0.20952439732164585,-0.2120305605477517,True
