gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
AIG1,0.3289687765644354,0.13696470928384574,0.0,0.33333333333333326,0.0
ALG5,0.5158112317497854,0.365147622825359,0.0,0.33333333333333326,0.0
ANXA6,0.0443833862686082,0.4533931950215664,0.0,0.33333333333333326,0.0
ATIC,0.6799384432286181,0.02938659628696577,0.0,0.33333333333333326,0.0
CNN3,0.8698697104612152,0.399104204973451,1.0,1.0,0.0
COPS3,0.1914384506963305,0.137466412857877,0.0,0.33333333333333326,0.0
FSTL3,0.7398676737024118,0.04702786907858024,0.0,1.0,0.0
HMG20A,0.23001038483240932,0.8600417447434667,0.0,0.33333333333333326,0.0
IRX1,0.5417329758274195,0.060141677921798906,0.0,1.0,0.0
JUN,0.700563555215408,1.0,0.0,1.0,0.0
KDM1A,0.2880810505049006,0.0876221335071501,0.0,0.33333333333333326,0.0
KRT222,0.0,0.2525857867674773,0.0,0.33333333333333326,0.0
LDHB,0.5720977079929707,0.27023376060912757,0.0,0.33333333333333326,0.0
LGALS3,0.6618246920634628,0.20840614486774506,0.0,1.0,0.0
LRRC47,0.44786768790309717,0.15408053678773723,1.0,0.33333333333333326,0.0
MLLT11,0.522758615610781,0.19311076228105362,0.0,0.33333333333333326,0.0
MYH11,0.6112642425660991,0.17244804395461832,0.0,0.33333333333333326,0.0
NAV1,0.7080494805450532,0.11919097167432104,0.0,1.0,0.0
NBPF9,1.0,0.3278437634411932,0.0,1.0,0.0
NDRG4,0.15656983724676116,0.45965347974187537,0.0,0.33333333333333326,0.0
NMNAT2,0.07542842018392308,0.27311306904272253,0.0,0.33333333333333326,0.0
PARP14,0.6734883342757639,0.23953322745877337,0.0,1.0,0.0
PEG3,0.5695595090194414,0.1034928843960602,0.0,0.33333333333333326,0.0
POLR3GL,0.6752362598116703,0.041238713698211645,0.0,0.33333333333333326,0.0
PRKD1,0.7121280632633641,0.6529709524074252,1.0,1.0,0.0
PSMG3,0.15263041461377902,0.24705863319492227,0.0,0.33333333333333326,0.0
PXN,0.69551562755781,0.12762943517878542,0.0,1.0,0.0
RETREG2,0.17794310503391828,0.2321334974353208,0.0,0.33333333333333326,0.0
SCFD1,0.5656431640824866,0.05135006891699361,0.0,0.33333333333333326,0.0
SCG5,0.052652381391201895,0.44594812202029893,0.0,0.33333333333333326,0.0
SEC61B,0.45014421184266795,0.0,0.0,1.0,0.0
SLC35A1,0.5949199699657014,0.03905331139089163,0.0,0.33333333333333326,0.0
SPOCK2,0.17386440979670115,0.48965484168208506,0.0,0.33333333333333326,0.0
TBCC,0.14892860467468072,0.36375654530912716,0.0,0.33333333333333326,0.0
TBP,0.27620960663890776,0.10413659505359028,0.0,0.33333333333333326,0.0
TCEAL9,0.6350729785944633,0.198008877011499,1.0,1.0,0.0
TMEM14C,0.6511643847986331,0.2010931883746551,0.0,0.33333333333333326,0.0
TOP1MT,0.5551296794042712,0.18224576777163878,0.0,1.0,0.0
TTC1,0.25667790391013756,0.17656940335005908,0.0,0.33333333333333326,0.0
TTC9C,0.19789705926438125,0.5023124018744891,0.0,0.33333333333333326,0.0
TYMP,0.8035589561719144,0.2863530734800951,0.0,1.0,0.0
UBR3,0.21633929512419534,0.1421203537231351,0.0,0.33333333333333326,0.0
UNC80,0.31690553685983835,0.27268458802142526,0.0,0.0,0.0
YEATS4,0.019804475092464368,0.4428233221241255,0.0,0.33333333333333326,0.0
ZNF7,0.591745853403742,0.18732724987107469,0.0,0.33333333333333326,0.0
