gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ABCA1,0,4,1.0303962813488823,up
CNN3,0,4,0.9279821636024655,up
EFR3A,0,4,0.16132101914295896,up
PARP14,0,3,0.5729377371745161,up
SERP1,0,4,0.27269329384729346,up
TSPO,0,3,0.5675440955882569,up
UBTD1,0,2,0.3479733381964438,up
COQ6,1,4,-0.21533781161079224,down
GRPEL2,1,3,-0.30627673985679715,down
ORC2,1,4,-0.2447153925128549,down
SNAP25,1,4,-0.45084993522007544,down
SNAP47,1,4,-0.25736014903469284,down
UBE4A,1,4,-0.2153001855429264,down
