gene,cluster_id
ACBD6,1
AK2,4
ANAPC5,6
ANKRD37,5
ASB8,7
ATP6V1B2,1
BBS7,3
BCAR3,4
BMPR1A,4
BNIP3,2
BST2,0
CACNG2,3
CAP2,1
CDKN1A,0
CMC1,2
CRYM,7
CTPS1,1
CUL1,2
CUTA,1
DCUN1D2,7
DNAJA2,3
FKBP14,4
HCST,4
HDAC1,5
HYLS1,7
ID3,4
IL13RA1,4
IL1R1,5
KCTD5,4
KIF1C,0
MAPK4,4
MAPKAPK2,5
MAT2A,4
MSX1,5
NBEA,6
NDUFAF5,6
NFE2L2,5
NIF3L1,1
NMNAT2,3
PRR5,5
RABL2A,1
RGN,7
RHOT1,2
S100A16,5
SAMD9L,5
SEMA3E,3
SERP1,5
SH3GLB1,5
SLC2A5,5
SNAPIN,2
SPAG9,1
SUDS3,2
SV2A,3
TCEA2,6
TGFB3,4
TLE1,4
TOPBP1,3
TPK1,6
USP4,2
VRK1,3
WSCD1,0
YBX3,0
