gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
A2M,1,True,True,True,True,4,True,-0.2954593771551707,down
A2ML1,65,True,True,True,True,4,True,1.53385086572959,up
AACS,68,True,True,True,True,4,True,-0.4914974073117407,down
AADAT,327,True,True,True,True,4,True,-0.2768010447039806,down
AAMDC,180,True,True,True,True,4,True,-0.8702541546970063,down
AASS,220,True,True,True,True,4,True,0.8686918600722636,up
AATF,383,True,True,True,True,4,True,0.15447191588489026,up
ABAT,388,True,True,True,True,4,True,-0.5605184496545382,down
ABCA12,155,True,True,True,True,4,True,1.9075556892431564,up
ABCA13,381,True,True,True,True,4,True,-0.5200866010078602,down
ABCA2,188,True,True,True,True,4,True,-0.26577171811612554,down
ABCA3,157,True,True,True,True,4,True,-0.3519570245150859,down
ABCA4,334,True,True,True,True,4,True,-0.08714871003422907,down
ABCA5,784,True,True,True,True,4,True,-0.35197834457403715,down
ABCA6,336,True,True,True,True,4,True,-0.6362113156218308,down
ABCA7,132,True,True,True,True,4,True,0.2926249494009884,up
ABCA8,337,True,True,True,True,4,True,-0.5902155419941673,down
ABCA9,94,True,True,True,True,4,True,-0.9709809328568715,down
ABCB6,71,True,True,True,True,4,True,0.5747570043420394,up
ABCC1,20,True,True,True,True,4,True,0.5279911316081388,up
ABCC2,112,True,True,True,True,4,True,0.07037269559774319,up
ABCC3,225,True,True,True,True,4,True,-0.8971400195708674,down
ABCC9,32,True,True,True,True,4,True,-0.3441342015561613,down
ABCE1,394,True,True,True,True,4,True,0.273082096031947,up
ABCF1,396,True,True,True,True,4,True,0.27974681983709593,up
ABCF2,400,True,True,True,True,4,True,0.35211052638501444,up
ABCF3,550,True,True,True,True,4,True,0.2622713097268007,up
ABCG1,190,True,True,True,True,4,True,0.2280923082688894,up
ABCG4,134,True,True,True,True,4,True,0.4742216968179512,up
ABHD10,114,True,True,True,True,4,True,-0.32374061119739056,down
ABHD11,96,True,True,True,True,4,True,-0.6122966834748991,down
ABHD14A,160,True,True,True,True,4,True,-0.21684798654601956,down
ABHD14B,277,True,True,True,True,4,True,-0.4192022823434338,down
ABHD15,785,True,True,True,True,4,True,-0.18161291742203353,down
ABHD17C,80,True,True,True,True,4,True,1.1006505839091019,up
ABHD2,165,True,True,True,True,4,True,-0.7206452391449036,down
ABHD5,231,True,True,True,True,4,True,0.306660341056034,up
ABHD6,283,True,True,True,True,4,True,-0.5387139960382845,down
ABI2,276,True,True,True,True,4,True,-0.10966682140593131,down
ABI3,75,True,True,True,True,4,True,0.06771203621006652,up
ABI3BP,346,True,True,True,True,4,True,-0.6643803886282962,down
ABITRAM,166,True,True,True,True,4,True,0.5217803367773819,up
ABL1,192,True,True,True,True,4,True,-0.28996272133303624,down
ABLIM3,81,True,True,True,True,4,True,-0.7836876741727954,down
ABRACL,404,True,True,True,True,4,True,0.35425346559647736,up
ABRAXAS1,201,True,True,True,True,4,True,0.017925357314908547,up
ABT1,150,True,True,True,True,4,True,0.32266744710319467,up
ACAA1,386,True,True,True,True,4,True,0.24167381089946724,up
ACAA2,381,True,True,True,True,4,True,-0.4541516679925206,down
ACACB,182,True,True,True,True,4,True,-0.8632873815130563,down
ACADL,168,True,True,True,True,4,True,-1.0091292839756598,down
ACADM,741,True,True,True,True,4,True,-0.3892174946754564,down
ACADSB,287,True,True,True,True,4,True,-0.7653920580153397,down
ACAT1,243,True,True,True,True,4,True,-0.6602382128708162,down
ACE2,200,True,True,True,True,4,True,0.5172385161004052,up
ACKR1,462,True,True,True,True,4,True,-0.37533267908531875,down
ACKR3,177,True,True,True,True,4,True,-0.3207201632384639,down
ACKR4,346,True,True,True,True,4,True,-0.6652659996513695,down
ACO2,150,True,True,True,True,4,True,0.2798778088235293,up
ACOT1,419,True,True,True,True,4,True,-1.8341030646551726,down
ACOT11,202,True,True,True,True,4,True,-0.7523276386758369,down
ACOT4,357,True,True,True,True,4,True,-0.5645791456009128,down
ACOT7,245,True,True,True,True,4,True,0.8368638705153398,up
ACOT8,741,True,True,True,True,4,True,-0.3236501483107251,down
ACOX1,247,True,True,True,True,4,True,-0.2972558867900595,down
ACOX2,363,True,True,True,True,4,True,-1.34588674637107,down
ACOX3,300,True,True,True,True,4,True,0.7315136605286491,up
ACP3,169,True,True,True,True,4,True,1.6893657865745437,up
ACP5,203,True,True,True,True,4,True,1.150194864319219,up
ACSBG1,251,True,True,True,True,4,True,-1.7087207872084182,down
ACSF2,202,True,True,True,True,4,True,-0.7564154043483755,down
ACSL1,364,True,True,True,True,4,True,-0.45150897293356995,down
ACSM3,358,True,True,True,True,4,True,-1.1463989852941179,down
ACSS1,170,True,True,True,True,4,True,-0.4371581003898324,down
ACSS2,164,True,True,True,True,4,True,-0.45028141724771853,down
ACSS3,172,True,True,True,True,4,True,-1.1584359974486567,down
ACTA1,381,True,True,True,True,4,True,-0.6447093557460706,down
ACTA2,208,True,True,True,True,4,True,-0.3924827692063898,down
ACTC1,546,True,True,True,True,4,True,-1.03907330741316,down
ACTG2,50,True,True,True,True,4,True,-0.9857235117583681,down
ACTN1,372,True,True,True,True,4,True,-0.21380056375190093,down
ACTR3,432,True,True,True,True,4,True,0.03358741881655447,up
ACTR3B,523,True,True,True,True,4,True,-0.31515102712981835,down
ACTR3C,525,True,True,True,True,4,True,0.7169249228099644,up
ACTR8,21,True,True,True,True,4,True,0.5297762293832401,up
ACVR1B,186,True,True,True,True,4,True,-0.22583875435788547,down
ACVR1C,358,True,True,True,True,4,True,-0.5206632825177484,down
ACVR2A,743,True,True,True,True,4,True,-0.39421344715073436,down
ACVR2B,403,True,True,True,True,4,True,-0.35249543163666236,down
ADAM10,709,True,True,True,True,4,True,0.1711476892590002,up
ADAM19,569,True,True,True,True,4,True,0.6679394299410513,up
ADAM22,94,True,True,True,True,4,True,-0.9725759591626528,down
ADAM23,433,True,True,True,True,4,True,1.7732170603448292,up
ADAM33,714,True,True,True,True,4,True,-0.6036797301914306,down
ADAM8,716,True,True,True,True,4,True,0.8928864753264459,up
ADAMDEC1,717,True,True,True,True,4,True,3.559269850358138,up
ADAMTS15,463,True,True,True,True,4,True,-0.7528891974676726,down
ADAMTS17,336,True,True,True,True,4,True,-0.6640711758050212,down
ADAMTSL1,358,True,True,True,True,4,True,-0.6356652000824043,down
ADAMTSL3,287,True,True,True,True,4,True,-0.765994516956136,down
ADAMTSL4,611,True,True,True,True,4,True,-0.7388701688324052,down
ADAP2,527,True,True,True,True,4,True,1.964943163967419,up
ADAR,528,True,True,True,True,4,True,0.168218227243914,up
ADAT3,434,True,True,True,True,4,True,0.9863330234533474,up
ADCY1,559,True,True,True,True,4,True,-0.22144613395347368,down
ADCY2,476,True,True,True,True,4,True,-1.2681581889420626,down
ADCY5,358,True,True,True,True,4,True,-0.3866296128137676,down
ADCY6,198,True,True,True,True,4,True,-0.7132195964122721,down
ADCY9,224,True,True,True,True,4,True,-0.4010157978258113,down
ADCYAP1R1,336,True,True,True,True,4,True,-0.6182201210382858,down
ADD1,559,True,True,True,True,4,True,-0.14246982124746302,down
ADD3,531,True,True,True,True,4,True,-0.46508516502915787,down
ADGRA2,68,True,True,True,True,4,True,-0.49014544967038554,down
ADGRA3,642,True,True,True,True,4,True,-0.3808604176914282,down
ADGRD1,685,True,True,True,True,4,True,-1.0651273453980727,down
ADGRF1,766,True,True,True,True,4,True,0.7910531513691688,up
ADGRF5,551,True,True,True,True,4,True,-0.4346109115903912,down
ADGRL3,429,True,True,True,True,4,True,-1.5528824153302478,down
ADGRL4,778,True,True,True,True,4,True,-0.3958528996735551,down
ADH1B,685,True,True,True,True,4,True,-1.0723184260427236,down
ADH7,751,True,True,True,True,4,True,0.49700042642304765,up
ADHFE1,336,True,True,True,True,4,True,-0.827758646963744,down
ADIPOQ,358,True,True,True,True,4,True,-1.3004220912620452,down
ADIPOR1,567,True,True,True,True,4,True,0.3122877892051216,up
ADIPOR2,568,True,True,True,True,4,True,0.30803319524911343,up
ADIRF,137,True,True,True,True,4,True,-0.7274197120943172,down
ADISSP,113,True,True,True,True,4,True,0.12089587828029855,up
ADK,167,True,True,True,True,4,True,0.38802877075938313,up
ADNP,501,True,True,True,True,4,True,-0.13964829246957294,down
ADORA2B,348,True,True,True,True,4,True,0.6850001214661514,up
ADPRH,754,True,True,True,True,4,True,-0.04575765935598396,down
ADPRS,652,True,True,True,True,4,True,0.32936581354589356,up
ADRA1A,756,True,True,True,True,4,True,-1.3201913890720087,down
ADRA2A,611,True,True,True,True,4,True,-0.7377883983107243,down
ADRB1,363,True,True,True,True,4,True,-1.356509803625761,down
ADRB2,616,True,True,True,True,4,True,-1.046868153144016,down
ADRM1,71,True,True,True,True,4,True,0.5745712091626518,up
ADSS1,787,True,True,True,True,4,True,-0.6446033463013433,down
AEBP1,333,True,True,True,True,4,True,-0.44302766044941455,down
AEBP2,516,True,True,True,True,4,True,0.2549403289490367,up
AEN,720,True,True,True,True,4,True,1.226647987227433,up
AFAP1,417,True,True,True,True,4,True,-0.21228050320106484,down
AFAP1L2,721,True,True,True,True,4,True,0.9288214730603457,up
AFF3,573,True,True,True,True,4,True,-1.2767427679069476,down
AGAP1,788,True,True,True,True,4,True,-0.639452669973378,down
AGAP2,46,True,True,True,True,4,True,0.10000274269459933,up
AGAP4,598,True,True,True,True,4,True,-0.23673055181921943,down
AGAP9,655,True,True,True,True,4,True,-0.8026085378264454,down
AGFG1,212,True,True,True,True,4,True,0.17923764531567055,up
AGFG2,117,True,True,True,True,4,True,-0.8183707536606252,down
AGO1,147,True,True,True,True,4,True,-0.20299820911511104,down
AGO3,118,True,True,True,True,4,True,-0.37268988568078043,down
AGO4,100,True,True,True,True,4,True,-0.5001344580375251,down
AGPAT1,83,True,True,True,True,4,True,-0.8406429438545895,down
AGR2,332,True,True,True,True,4,True,-1.0887859959273574,down
AGR3,52,True,True,True,True,4,True,-1.4044866654094827,down
AGT,358,True,True,True,True,4,True,-0.8628191639515717,down
AGTPBP1,237,True,True,True,True,4,True,0.13046231208798215,up
AGTR1,756,True,True,True,True,4,True,-1.3274227141544124,down
AHCY,526,True,True,True,True,4,True,0.6549923523231496,up
AHCYL2,3,True,True,True,True,4,True,-0.30935183278397604,down
AHDC1,62,True,True,True,True,4,True,-0.36670983428942705,down
AHNAK2,13,True,True,True,True,4,True,-0.5055609323339239,down
AHRR,210,True,True,True,True,4,True,-0.6447838097426477,down
AHSA1,85,True,True,True,True,4,True,0.17544893490111454,up
AIDA,5,True,True,True,True,4,True,-0.17597478758874077,down
AIF1L,513,True,True,True,True,4,True,-0.5177543493756352,down
AIFM2,122,True,True,True,True,4,True,-0.6995956721443966,down
AIM2,124,True,True,True,True,4,True,2.2324597481617645,up
AK1,97,True,True,True,True,4,True,0.40085807196057366,up
AK6,447,True,True,True,True,4,True,0.28703789789870643,up
AK7,372,True,True,True,True,4,True,-0.24938982970968562,down
AKAP1,524,True,True,True,True,4,True,-0.31657296348884323,down
AKAP10,61,True,True,True,True,4,True,-0.36576169943268255,down
AKAP11,577,True,True,True,True,4,True,-0.3289770109026363,down
AKAP12,656,True,True,True,True,4,True,-0.7976078307872725,down
AKAP13,285,True,True,True,True,4,True,-0.6728457654348395,down
AKAP19,84,True,True,True,True,4,True,-0.8286777074194982,down
AKAP8L,556,True,True,True,True,4,True,-0.1801986516227183,down
AKAP9,208,True,True,True,True,4,True,-0.36024049397819413,down
AKIP1,789,True,True,True,True,4,True,-0.16435040277953894,down
AKIRIN2,771,True,True,True,True,4,True,0.46190874874809806,up
AKNA,310,True,True,True,True,4,True,0.24543606887043615,up
AKR1B1,265,True,True,True,True,4,True,-0.17798903273960343,down
AKR1B10,718,True,True,True,True,4,True,4.974329513723378,up
AKR1C1,453,True,True,True,True,4,True,-0.318418181129565,down
AKR1C3,446,True,True,True,True,4,True,-0.5093705433253045,down
AKT1,741,True,True,True,True,4,True,-0.2528529082150109,down
AKT2,252,True,True,True,True,4,True,-0.44750146217355447,down
AKT3,782,True,True,True,True,4,True,-0.36033546279158135,down
ALAD,417,True,True,True,True,4,True,-0.22290307287969158,down
ALAS1,245,True,True,True,True,4,True,0.8341370222648337,up
ALCAM,243,True,True,True,True,4,True,-0.6592043996577055,down
ALDH16A1,757,True,True,True,True,4,True,0.41534069463108536,up
ALDH1A1,336,True,True,True,True,4,True,-0.5744473554449796,down
ALDH1A3,688,True,True,True,True,4,True,0.9605890694884636,up
ALDH1B1,723,True,True,True,True,4,True,-0.44157973361435165,down
ALDH1L1,327,True,True,True,True,4,True,-0.34775219127155194,down
ALDH2,286,True,True,True,True,4,True,0.34463258774404393,up
ALDH3A1,725,True,True,True,True,4,True,0.7479492548015957,up
ALDH3A2,657,True,True,True,True,4,True,-0.701893383715771,down
ALDH3B2,689,True,True,True,True,4,True,0.45279241946627724,up
ALDH4A1,725,True,True,True,True,4,True,0.7524455488558572,up
ALDH6A1,138,True,True,True,True,4,True,-0.7338649171684859,down
ALDOA,121,True,True,True,True,4,True,0.2195160739414287,up
ALDOC,579,True,True,True,True,4,True,-0.5630541516544116,down
ALG1,796,True,True,True,True,4,True,0.16916283974074522,up
ALG10B,192,True,True,True,True,4,True,-0.29642729294497894,down
ALG11,189,True,True,True,True,4,True,-0.20890732508240548,down
ALG12,806,True,True,True,True,4,True,0.24855318802294613,up
ALG3,480,True,True,True,True,4,True,0.48173727280362594,up
ALG8,383,True,True,True,True,4,True,0.2572290125348628,up
ALKBH6,481,True,True,True,True,4,True,0.2536875457657213,up
ALMS1,804,True,True,True,True,4,True,-0.21302472524721028,down
ALOX12,807,True,True,True,True,4,True,0.6026540383335433,up
ALOX12B,433,True,True,True,True,4,True,1.7856397179259647,up
ALOX5AP,133,True,True,True,True,4,True,0.5630150282549443,up
ALOXE3,315,True,True,True,True,4,True,0.6900176872622981,up
ALYREF,153,True,True,True,True,4,True,0.5424514979716027,up
AMBRA1,503,True,True,True,True,4,True,0.24466077866696112,up
AMD1,339,True,True,True,True,4,True,0.18350164076762238,up
AMER1,242,True,True,True,True,4,True,-0.09744511479462531,down
AMMECR1,525,True,True,True,True,4,True,0.7172734179291325,up
AMMECR1L,600,True,True,True,True,4,True,-0.13973197469257148,down
AMOTL2,599,True,True,True,True,4,True,-0.1686872511251275,down
AMPD3,80,True,True,True,True,4,True,1.0995546855983762,up
AMPH,635,True,True,True,True,4,True,-0.241647035290948,down
AMT,306,True,True,True,True,4,True,-0.4532586268065414,down
ANAPC16,608,True,True,True,True,4,True,-0.3832359482441662,down
ANG,756,True,True,True,True,4,True,-1.3251918460160992,down
ANGEL2,317,True,True,True,True,4,True,-0.29307062694916286,down
ANGPT1,389,True,True,True,True,4,True,-0.5799352878581387,down
ANGPTL1,358,True,True,True,True,4,True,-0.6473352509825048,down
ANGPTL4,527,True,True,True,True,4,True,2.000725910116634,up
ANK2,333,True,True,True,True,4,True,-0.4658927586682305,down
ANKDD1A,505,True,True,True,True,4,True,-0.797939251251902,down
ANKFN1,164,True,True,True,True,4,True,-0.5254883157486052,down
ANKH,232,True,True,True,True,4,True,-0.5374112770505846,down
ANKRD10,3,True,True,True,True,4,True,-0.2868492007796619,down
ANKRD11,98,True,True,True,True,4,True,0.3386724871165051,up
ANKRD12,789,True,True,True,True,4,True,-0.2946429390054507,down
ANKRD13A,475,True,True,True,True,4,True,0.033176254769902366,up
ANKRD18A,181,True,True,True,True,4,True,-0.879910818870436,down
ANKRD22,184,True,True,True,True,4,True,0.8468068384729979,up
ANKRD27,264,True,True,True,True,4,True,-0.18180059557238826,down
ANKRD33B,299,True,True,True,True,4,True,-1.4723963545100154,down
ANKRD36,691,True,True,True,True,4,True,-0.5932929760712473,down
ANKRD36B,714,True,True,True,True,4,True,-0.603558140371451,down
ANKRD40,662,True,True,True,True,4,True,-0.4426571151591034,down
ANKRD46,617,True,True,True,True,4,True,-0.36516614181351315,down
ANKRD50,232,True,True,True,True,4,True,-0.5338112447546898,down
ANKRD6,663,True,True,True,True,4,True,-0.6547894537747204,down
ANKS1A,335,True,True,True,True,4,True,0.08685553662208431,up
ANKS6,68,True,True,True,True,4,True,-0.4892831455058315,down
ANKZF1,417,True,True,True,True,4,True,-0.21576818963932592,down
ANLN,725,True,True,True,True,4,True,0.7554433244802247,up
ANO1,559,True,True,True,True,4,True,-0.21256240976800161,down
ANO10,665,True,True,True,True,4,True,0.4924512179893509,up
