gene,cluster_id,max_level_survived,mean_log2fc,direction
CERS3,0,4,1.135496477877789,up
DSC2,0,4,1.1268436224486558,up
EPN3,0,4,1.1258099119707163,up
GBP5,0,4,1.1307048931446504,up
MMP9,0,4,1.1309394949131588,up
PI15,0,4,1.132466970889325,up
PRF1,0,4,1.1380124296874987,up
RASGRP1,0,4,1.1383569169783199,up
SHCBP1,0,4,1.1337012904570236,up
A2M,1,4,-0.2954593771551707,down
ARHGEF15,1,4,-0.6285517367837219,down
CACNB1,1,4,-0.5313863049885905,down
CDH11,1,4,-0.5022595448624483,down
DDX19B,1,4,-0.48137352316810367,down
FADS3,1,4,-0.5254522738812114,down
FASN,1,4,-0.7029280894396553,down
FBXL7,1,4,-0.39560444141417334,down
GIMAP1,1,4,-0.4872030467006847,down
GIPC2,1,4,-0.4492539019871965,down
INSYN1,1,4,-0.5512829096570739,down
KANSL1L,1,4,-0.3838680641639199,down
KAT8,1,4,-0.35296012194155857,down
KLB,1,4,-0.7266550250855728,down
LCORL,1,4,-0.48114171543800655,down
LIF,1,4,-0.4356506855508364,down
LOX,1,4,-0.6992974689084694,down
MEST,1,4,-0.7328254973218818,down
MFAP4,1,4,-0.6836769936295627,down
MRAS,1,4,-0.592423455660497,down
MTMR12,1,4,-0.22915854990174933,down
NR1D1,1,4,-0.9250043444155683,down
RARRES2,1,4,-0.4823422196532693,down
SFSWAP,1,4,-0.4331556980381589,down
ST6GAL2,1,4,-0.34968471226863584,down
TSNARE1,1,4,-0.5516280138818459,down
ZBTB47,1,4,-0.4125167457055001,down
ZNF829,1,4,-0.300049744168356,down
CLCN6,2,4,-0.2115483565225667,down
DENND11,2,4,-0.2886542191937107,down
FHIP1B,2,4,-0.2768686337157701,down
NIBAN1,2,4,-0.21484777789046627,down
SLC25A17,2,4,-0.21219174806668334,down
THUMPD1,2,4,-0.23198750419941683,down
AHCYL2,3,4,-0.30935183278397604,down
ANKRD10,3,4,-0.2868492007796619,down
BRD4,3,4,-0.1679992936263935,down
CFAP36,3,4,-0.30494441694662716,down
CINP,3,4,-0.18985822502535477,down
FGFR1OP2,3,4,-0.3315653477275602,down
FNDC3A,3,4,-0.24514721887677585,down
MAN1B1,3,4,-0.25976645344193827,down
MRFAP1,3,4,-0.08372431192951335,down
PHACTR3,3,4,-0.2899403948719573,down
PPP6R2,3,4,-0.2417673260015205,down
ST6GALNAC6,3,4,-0.25897854864984826,down
TRIT1,3,4,-0.17855170258620556,down
USP7,3,4,-0.18228733262550767,down
CDC6,4,4,0.8181858152573525,up
FAAH2,4,4,0.813622956262678,up
FHDC1,4,4,0.8105588515466542,up
IRF8,4,4,0.8181654806985296,up
KCTD11,4,4,0.8139641681826815,up
PITPNC1,4,4,0.8118627345017747,up
RHOG,4,4,0.8124589029063132,up
SEMA7A,4,4,0.8163041098820994,up
SERPINB12,4,4,0.8134593450494424,up
TXNDC17,4,4,0.8092345844320468,up
UBALD2,4,4,0.8146445126774831,up
AIDA,5,4,-0.17597478758874077,down
ARIH2,5,4,-0.2021353363495197,down
CTBP1,5,4,-0.14439547851166684,down
ERVW-1,5,4,-0.11679289357251531,down
FAM149B1,5,4,-0.251777335224392,down
FBXL20,5,4,-0.234249839613972,down
IMPACT,5,4,-0.27851742374492994,down
MBNL2,5,4,-0.19353816396741946,down
POGLUT3,5,4,-0.2077938392019527,down
PPHLN1,5,4,-0.17407930240555408,down
RTF1,5,4,-0.1431890061802718,down
SLC8A3,5,4,-0.11405847811549162,down
STX7,5,4,-0.16373626522883022,down
TUG1,5,4,-0.12317150096665813,down
UFM1,5,4,-0.23536469735674304,down
ZMYM2,5,4,-0.28644928020410754,down
ASXL1,6,4,-0.24432132536764656,down
RNF130,6,4,-0.28790437040441075,down
SEMA5A,6,4,-0.26799384810788407,down
WNT2,6,4,-0.24202971901939677,down
ZSCAN21,6,4,-0.25912011282961567,down
CHAC2,7,4,1.5620854246481999,up
HS3ST3A1,7,4,1.5519962905679512,up
IFIT3,7,4,1.5569263234343307,up
ISG20,7,4,1.5498911378676479,up
IVL,7,4,1.552034298079361,up
NOD2,7,4,1.547365091769144,up
SELE,7,4,1.5608947164363585,up
TTC9,7,4,1.5569780952396048,up
C1orf216,8,4,-0.29786006856934544,down
CBS,8,4,-0.29615655329297647,down
CCDC127,8,4,-0.31487185240238375,down
CLEC14A,8,4,-0.3132557523928745,down
FAM161B,8,4,-0.35630818452079144,down
FBXO17,8,4,-0.3168071938387427,down
G2E3,8,4,-0.3336853829392745,down
ITGA5,8,4,-0.3666831182333927,down
JAM2,8,4,-0.4155720644650107,down
KRT8,8,4,-0.2471980397597602,down
PDE2A,8,4,-0.3450310798364605,down
PDZRN3,8,4,-0.42654551953917264,down
S100A13,8,4,-0.3385112668135151,down
SMIM17,8,4,-0.4465395454646296,down
TINCR,8,4,-0.3595956080438649,down
TPST1,8,4,-0.36487091769142954,down
ZNF618,8,4,-0.35116564480857004,down
CHDH,9,4,-0.6459071623668868,down
CNN1,9,4,-0.6767471875633877,down
MYRIP,9,4,-0.6658515067032195,down
NCS1,9,4,-0.6680798328790569,down
PRB1,9,4,-0.6212121254437123,down
NOS3,10,4,0.525037001299442,up
NUP155,10,4,0.5250658107885409,up
PREP,10,4,0.5244790575240887,up
TIFAB,10,4,0.5252955419149342,up
TMEM65,10,4,0.5249836398326565,up
CPSF6,11,4,-0.009798959970842291,down
GFPT1,11,4,-0.014803546621451558,down
GMPS,11,4,-0.012751584748986744,down
KPNA1,11,4,-0.020747514404793832,down
PDCD6IP,11,4,0.003847897169751313,up
RER1,11,4,-0.005342030441809559,down
SERP1,11,4,-0.008117038808948873,down
TIAL1,11,4,0.0026176561549177413,up
ZNF207,11,4,-0.01606404310344789,down
ATP5F1C,12,4,-0.05071206581199389,down
CALR,12,4,-0.044418927944346154,down
ERGIC2,12,4,-0.052156428340515926,down
GALK2,12,4,-0.04033464111625279,down
GATC,12,4,-0.041259013311359505,down
MED31,12,4,-0.04094518333227659,down
OSER1,12,4,-0.029751813419118006,down
PRPF40A,12,4,-0.051244825193333676,down
USP47,12,4,-0.058433246751393275,down
AHNAK2,13,4,-0.5055609323339239,down
CMBL,13,4,-0.5050993813070502,down
EPHX2,13,4,-0.5055952568299953,down
GATM,13,4,-0.5055350797096845,down
JCAD,13,4,-0.505171043499619,down
LCA5,13,4,-0.5052523896583416,down
MITF,13,4,-0.5065931187880328,down
MYCT1,13,4,-0.5063155246101682,down
RALGPS1,13,4,-0.5056668735262424,down
SPAG16,13,4,-0.5052369929006084,down
TXNIP,13,4,-0.506027276068078,down
ZFHX3,13,4,-0.5043800173681552,down
CD81,14,4,-0.3577500816271529,down
MACIR,14,4,-0.3574755521836962,down
MIB1,14,4,-0.35785196336206915,down
PWWP3A,14,4,-0.35773507229335766,down
SERINC1,14,4,-0.35741954510015167,down
WDFY3,14,4,-0.35748280844320424,down
FUT1,15,4,1.0380157832150103,up
HMBS,15,4,1.0377297153270781,up
NOCT,15,4,1.035259508256212,up
PRSS22,15,4,1.0264979695898835,up
PRSS8,15,4,1.0323589107505065,up
PUSL1,15,4,1.0334432039490358,up
TK1,15,4,1.0325891327174186,up
WDR53,15,4,1.038913667358646,up
XAF1,15,4,1.0330801574860549,up
CLDN1,16,4,-0.7095672952903149,down
CYSTM1,16,4,-0.7099937668927494,down
FABP3,16,4,-0.7112345056890216,down
FNBP1L,16,4,-0.7117029365333414,down
KPNA5,16,4,-0.7094945802960198,down
LYRM9,16,4,-0.7114577074670385,down
RBM20,16,4,-0.711751114271678,down
RECK,16,4,-0.7123557692380832,down
SDC2,16,4,-0.7106175148801985,down
ZFP2,16,4,-0.7106797482251518,down
ZNF385D,16,4,-0.7093711717323784,down
ZNF850,16,4,-0.7101431381687376,down
LRRC56,17,4,0.08419775992013157,up
MINPP1,17,4,0.8719558511187884,up
MOGAT1,17,4,-0.7560629482283214,down
MRPL13,17,4,0.5054398945550211,up
RAN,17,4,0.5055281560439902,up
RND1,17,4,0.5048034163919879,up
SLC17A7,17,4,-0.33156007793483777,down
TFCP2L1,17,4,-0.5188274716341271,down
UBE3B,17,4,-0.06728760707720535,down
ZMAT1,17,4,-0.7769971003581375,down
ZNF662,17,4,0.5061384081674694,up
ZPR1,17,4,0.5047901436834425,up
FZD10,18,4,-0.2924271090739108,down
NEK1,18,4,-0.2500718077142502,down
NGRN,18,4,-0.17204087726610096,down
NPY5R,18,4,-0.14289608956643007,down
PHF21A,18,4,-0.19150494729335504,down
POLDIP3,18,4,-0.20575742662905722,down
ST6GALNAC5,18,4,-0.1568390750507102,down
SUMF2,18,4,-0.14767515861118274,down
ZNF567,18,4,-0.3539350445455117,down
FSCN1,19,4,0.5630058034831388,up
ISOC2,19,4,0.5635652715200299,up
METRNL,19,4,0.5641187570676972,up
RPL26L1,19,4,0.5632998956643024,up
TRIM25,19,4,0.5638716785465261,up
ABCC1,20,4,0.5279911316081388,up
GBP2,20,4,0.5264902134254561,up
HCLS1,20,4,0.5272559976705127,up
NOPCHAP1,20,4,0.5289083054481483,up
RELCH,20,4,0.5272336922857509,up
SLIRP,20,4,0.5266619790504533,up
TUBB2A,20,4,0.5282759046970074,up
ACTR8,21,4,0.5297762293832401,up
BATF2,21,4,0.5335453180147058,up
ENTPD7,21,4,0.5318149791772298,up
IGFBP3,21,4,0.5314114028587738,up
LSM7,21,4,0.5304583152731985,up
NCAPG2,21,4,0.534247049347111,up
EIF4G1,22,4,0.23723936680717492,up
PRPF19,22,4,0.21503755929893387,up
RFWD3,22,4,0.32424370382226064,up
TRABD2A,22,4,0.3070052520600911,up
CD59,23,4,-0.3545323703410247,down
ILK,23,4,-0.35498381890212904,down
MTA1,23,4,-0.3535674121767248,down
NUMB,23,4,-0.35476951499112475,down
PALMD,23,4,-0.3544481298332912,down
TNPO2,23,4,-0.35396761024657647,down
MGAT1,24,4,-0.3563545659070746,down
PLEKHM3,24,4,-0.3564742312214753,down
TMEM106B,24,4,-0.35635298678372285,down
VAMP4,24,4,-0.35601484874175915,down
ZDHHC9,24,4,-0.35559795981237435,down
