gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
HLA-C,2,2,0.0647626597046159,True
IL12B,2,2,1.1813901720017748,True
TRAF3IP2,2,2,0.3600075244833927,True
TNIP1,2,2,0.2235811444757851,False
CARD14,2,2,0.8596554720936859,True
TYK2,2,2,0.08926452605223097,False
STAT3,2,2,0.28842895423428067,True
IFIH1,2,2,0.994637564385777,True
RNF114,2,2,-0.14427905544814942,True
IL36RN,2,2,2.188016111672794,True
NOS2,2,2,0.2097515389515719,True
FBXL19,2,2,0.6406302948466022,True
REL,2,2,0.7099107182745951,True
IL17F,2,2,0.15816508766480758,True
S100A7,2,2,1.6012656786257589,True
S100A9,2,2,4.292045691303244,True
KYNU,2,2,3.0204793206135894,True
CCL20,2,2,3.767165840041837,True
PI3,2,2,3.3778075859691925,True
SPRR1B,2,2,1.4250669680368921,True
IVL,2,2,1.552034298079361,True
KRT16,2,2,2.616949475548301,True
KRT17,2,2,0.8038530706611303,True
KRT6A,2,2,1.3808984416677244,True
IL1B,2,2,1.5194582562119676,True
TNF,2,2,0.37268926446817985,True
IFNG,2,2,0.22943017653397577,True
CXCL1,2,2,3.7315816317666064,True
CXCL8,2,2,4.032964555257986,True
IL36A,2,2,1.7610736871830626,True
IL36G,2,2,4.193194197039804,True
LCE3D,2,2,2.775279722347236,True
FABP5,2,2,1.1459327180210441,True
TGM1,2,2,3.2526996992583674,True
TGM3,2,2,2.1334979145537516,True
KLK7,2,2,0.6183585130578103,True
KLK5,2,2,0.6112303483138942,True
SERPINB3,2,2,4.19742659394016,True
SERPINB4,2,2,5.115658490634507,True
CST6,2,2,-0.6703359504468823,True
SLPI,2,2,0.8485725946374261,True
BCL2,2,2,-0.8553800823402623,True
CASP3,2,2,0.18476816697832107,True
CASP5,2,2,1.0948457861308316,True
GATA3,2,2,-0.7680825947325052,True
IL22,2,2,0.16888010530235836,True
IL19,2,2,2.6267092905996448,True
IL20,2,2,0.6871173996577078,True
IL24,2,2,0.8076491599898584,True
S100A12,2,2,6.392006507638184,True
S100A7A,2,2,3.0049574274530935,True
S100A2,2,2,0.8542358895474145,True
S100A1,2,2,-0.8049500538634631,True
S100A4,2,2,-0.3878169072958926,True
ARG1,2,2,1.1031014626964992,True
CAMP,2,2,0.18875676419878276,True
LTF,2,2,2.985050475437373,True
ELANE,2,2,-0.2447303244960701,True
RNASE7,2,2,0.8239734966246202,True
DEFB4B,2,2,4.01898941764389,True
