gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCC8,0,True,True,True,True,4,True,-0.8625064693932899,down
CACNA1D,0,True,True,True,True,4,True,-0.8696082229059113,down
LRFN2,0,True,True,True,True,4,True,-0.4851534880077657,down
OTULINL,0,True,True,True,True,4,True,-0.708385412302599,down
RASGRP1,0,True,True,True,True,4,True,-0.7025655484728418,down
RNF6,0,True,True,True,True,4,True,-1.0288525666112596,down
SLC2A2,0,True,True,True,True,4,True,-1.3004827528990084,down
GLP1R,3,True,False,True,True,4,False,0.055191881134679356,up
HMGA1,1,True,True,True,True,4,False,0.5613280412266647,up
IGF1R,3,True,True,True,True,4,False,0.29067555997927,up
NKX6-1,3,True,False,True,True,4,False,-0.061685713780471975,down
PABPC4,1,True,False,True,True,4,False,0.3781465626895226,up
PDX1,3,True,True,True,True,4,False,0.28670080642356144,up
PSMD6,3,True,False,True,True,4,False,-0.5921139509187675,down
SCD5,3,True,False,True,True,4,False,-0.1367732137393697,down
SIRPA,3,True,False,True,True,4,False,0.26372072602247726,up
SLC22A3,3,True,False,True,True,4,False,0.25539230776005484,up
TRAF3IP2,3,True,False,True,True,4,False,-0.35478714390206595,down
UBE3C,0,True,False,True,True,4,False,-0.529670439232774,down
WSCD2,3,True,False,True,True,4,False,-0.15327106249122066,down
CASR,0,True,True,True,False,3,True,-0.3921379819851453,down
HMGCR,0,True,False,True,False,3,False,-0.9871960034938585,down
HSD17B12,0,True,False,True,False,3,False,-0.5845036255229008,down
ID4,3,True,False,True,False,3,False,-0.33689609823241656,down
IGF2BP2,1,True,False,True,False,3,False,0.5866731753683826,up
MRAS,2,True,False,True,False,3,False,0.08013256813151177,up
PAM,3,True,False,True,False,3,False,-0.6566848191402487,down
PTEN,0,True,False,True,False,3,False,-0.32549477477902694,down
CPA1,2,True,True,False,False,2,False,0.2853181163110185,up
EBF2,1,True,True,False,False,2,False,0.31219777809543653,up
ADRB1,2,True,False,False,False,1,False,0.4378014159151715,up
AOAH,1,True,False,False,False,1,False,0.3718246948664336,up
BACE2,2,True,False,False,False,1,False,0.441235760928343,up
CAMK1D,1,True,False,False,False,1,False,0.4284922981389873,up
CDKN1B,0,True,False,False,False,1,False,-0.46999777770616813,down
COBLL1,0,True,False,False,False,1,False,-0.3125015853540723,down
CTRB2,1,True,False,False,False,1,False,0.4268280670882672,up
DNMT3A,2,True,False,False,False,1,False,0.08790793429776222,up
EYA1,2,True,False,False,False,1,False,-0.00022754916699740946,down
GP2,1,True,False,False,False,1,False,0.7108968669892596,up
GRM4,2,True,False,False,False,1,False,0.2335581193901287,up
GUCY1B1,0,True,False,False,False,1,False,-0.6798074251341261,down
HEY2,1,True,False,False,False,1,False,0.2873512111369556,up
HNF1A,2,True,False,False,False,1,False,0.14643975787740912,up
HNF1B,1,True,False,False,False,1,False,0.3796562055444195,up
JAZF1,0,True,False,False,False,1,False,-0.4262042571028717,down
MAML3,3,True,False,False,False,1,False,-0.16241493293291734,down
MINDY1,2,True,False,False,False,1,False,0.06425633954867571,up
MYO5C,3,True,False,False,False,1,False,-0.4317616287979777,down
PROX1,2,True,False,False,False,1,False,0.010757974887240174,up
SKI,1,True,False,False,False,1,False,0.20883862157890132,up
SLC1A2,2,True,False,False,False,1,False,0.1851414117542065,up
SLC30A8,0,True,False,False,False,1,False,-0.3662891823622756,down
SLIT2,2,True,False,False,False,1,False,0.3210130195237377,up
TOX3,0,True,False,False,False,1,False,-0.8767205588898985,down
ZEB2,2,True,False,False,False,1,False,0.4543330377637827,up
