gene,appearance_count,appearance_rate,stability_class,total_runs,in_seed_list
DDAH2,50,1.0000,iron-clad,50,no
EPB41L2,50,1.0000,iron-clad,50,no
MCL1,50,1.0000,iron-clad,50,no
PDIA6,50,1.0000,iron-clad,50,no
RPS2,50,1.0000,iron-clad,50,no
YBX1,50,1.0000,iron-clad,50,no
DTNA,50,1.0000,iron-clad,50,no
SERTAD1,50,1.0000,iron-clad,50,no
SLC16A3,50,1.0000,iron-clad,50,no
TRAF3IP2,50,1.0000,iron-clad,50,no
ZFP36L1,50,1.0000,iron-clad,50,no
APBA2,50,1.0000,iron-clad,50,yes
FAM81A,50,1.0000,iron-clad,50,no
GLS2,50,1.0000,iron-clad,50,no
ICA1,50,1.0000,iron-clad,50,yes
NFS1,50,1.0000,iron-clad,50,no
PVALB,50,1.0000,iron-clad,50,no
STAT4,50,1.0000,iron-clad,50,no
UQCRC1,50,1.0000,iron-clad,50,no
ATP6V1C1,50,1.0000,iron-clad,50,no
CIRBP,50,1.0000,iron-clad,50,no
FIBP,50,1.0000,iron-clad,50,no
FOCAD,50,1.0000,iron-clad,50,no
KIFBP,50,1.0000,iron-clad,50,no
POMGNT2,50,1.0000,iron-clad,50,no
SPINT2,50,1.0000,iron-clad,50,no
ATPAF1,50,1.0000,iron-clad,50,no
EFR3A,50,1.0000,iron-clad,50,yes
LCMT1,50,1.0000,iron-clad,50,no
MAT2B,50,1.0000,iron-clad,50,no
BTG3,50,1.0000,iron-clad,50,no
CD84,50,1.0000,iron-clad,50,no
GNG5,50,1.0000,iron-clad,50,no
HSPA5,50,1.0000,iron-clad,50,no
JUN,50,1.0000,iron-clad,50,no
NEK6,50,1.0000,iron-clad,50,no
RPS19,50,1.0000,iron-clad,50,no
SDF2L1,50,1.0000,iron-clad,50,no
SFMBT2,50,1.0000,iron-clad,50,no
SOX4,50,1.0000,iron-clad,50,no
H2AC20,50,1.0000,iron-clad,50,no
PEA15,50,1.0000,iron-clad,50,no
PITPNC1,50,1.0000,iron-clad,50,no
PPP1R14B,50,1.0000,iron-clad,50,no
RPL36,50,1.0000,iron-clad,50,no
SEC14L2,50,1.0000,iron-clad,50,no
SLC16A14,50,1.0000,iron-clad,50,no
SLC35B4,50,1.0000,iron-clad,50,no
SNAP25,50,1.0000,iron-clad,50,yes
ADAP2,50,1.0000,iron-clad,50,no
